seed,data,method,wandb_url,Clust Context Accuracy,Clust Context NMI,Clust Context ARI,Clust Context Acc y=0 s=0,Clust Context Acc y=0 s=1,Clust Context Acc y=1 s=0,Clust Context Acc y=1 s=1,Accuracy,TPR,TNR,Renyi preds and s,Accuracy_colour_1.0,Accuracy_colour_0.0,Accuracy_colour_0.0-colour_1.0,Accuracy_colour_0.0/colour_1.0,prob_pos_colour_1.0,prob_pos_colour_0.0,prob_pos_colour_0.0-colour_1.0,prob_pos_colour_0.0/colour_1.0,TPR_colour_1.0,TPR_colour_0.0,TPR_colour_0.0-colour_1.0,TPR_colour_0.0/colour_1.0,TNR_colour_1.0,TNR_colour_0.0,TNR_colour_0.0-colour_1.0,TNR_colour_0.0/colour_1.0
11,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/1dkgclvo,0.981439393939394,0.9368160678670286,0.9530848521598958,0.9726123595505618,0.9570815450643777,0.9962311557788944,0.9968337730870712,0.5124131082423039,0.0,1.0,1.0,0.5128458498023716,0.5119760479041916,0.0008698018981799782,0.998303970094493,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
15,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/rm35e8uq,0.670196671709531,0.7592166369814235,0.6170481206199182,1.0,0.9458333333333333,0.0,0.5382215288611545,0.5124131082423039,0.0,1.0,1.0,0.5034213098729228,0.5216952573158425,0.01827394744291977,0.9649719885571886,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
4,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/1ec0jymc,0.6425475786696816,0.6569745464104432,0.4994129389949074,0.5267284390591589,0.0,0.9558441558441558,1.0,0.5124131082423039,0.0,1.0,1.0,0.5234765234765235,0.5014807502467917,0.021995773229731785,0.9579813568645773,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
8,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/od89pp1d,0.9734862730349756,0.9118912366498833,0.9385698098919268,0.9501404494382022,0.9546232876712328,0.9922178988326849,0.9943734015345268,0.5124131082423039,0.0,1.0,1.0,0.5124626121635095,0.5123639960435212,9.86161199882929e-05,0.9998075642639139,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
31,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/23g4cmcp,0.6509539842873177,0.7235337413609708,0.5450642982404229,0.5239130434782608,0.0,0.9893475366178429,1.0,0.5124131082423039,0.0,1.0,1.0,0.5171026156941649,0.5078431372549019,0.009259478439263003,0.9820935378042268,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
27,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/2etffa0k,0.6615268898081986,0.5887408122362434,0.5103815814240129,0.36923076923076925,0.9724612736660929,0.015544041450777202,0.9457523029682702,0.5124131082423039,0.0,1.0,1.0,0.5452695829094608,0.481086323957323,0.06418325895213783,0.8822907769590457,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
19,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/18nl6nkn,0.6425084491175366,0.6854942203787558,0.5207018620679394,0.5101327742837177,0.0,0.9670184696569921,1.0,0.5124131082423039,0.0,1.0,1.0,0.5147347740667977,0.5100401606425703,0.00469461342422739,0.9908795487292682,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
23,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/1ibooo7u,0.6424675568929847,0.6564152114272609,0.4901892604467435,0.5223880597014925,0.0,0.9263565891472868,1.0,0.5124131082423039,0.0,1.0,1.0,0.5044955044955045,0.5202369200394866,0.015741415543982118,0.9697418331194423,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
12,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/3e9tfim8,0.7093614616688642,0.6763993712160632,0.6268521851799721,0.9848484848484849,0.4745901639344262,0.0,0.9401444788441693,0.5124131082423039,0.0,1.0,1.0,0.4951923076923077,0.5308008213552361,0.03560851366292839,0.9329154887665527,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
16,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/29zdmvyr,0.7993961124740517,0.7286855516066972,0.7370949445421753,0.46164874551971324,0.9474123539232053,0.7124518613607189,0.987026466009341,0.5124131082423039,0.0,1.0,1.0,0.5272177419354839,0.4980430528375734,0.02917468909791049,0.9446629223993743,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
32,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/ag3fpp04,0.9693935386359342,0.8948054432994353,0.9181250308012356,0.9809456598447425,0.9291204099060631,0.9632446134347274,0.9879958246346555,0.5124131082423039,0.0,1.0,1.0,0.531496062992126,0.49298597194388777,0.03851009104823827,0.927543976842574,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
28,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/1lsq0tkm,0.6453136810279667,0.6930292946445658,0.5169144373926512,0.5289492494639028,0.0,0.9433249370277078,1.0,0.5124131082423039,0.0,1.0,1.0,0.5304878048780488,0.49514563106796117,0.03534217381008764,0.9333779712085705,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
20,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/1qgg5d32,0.626578699340245,0.6812105179950652,0.5631923005981287,0.9331395348837209,0.899488926746167,0.0,0.5012735608762099,0.5124131082423039,0.0,1.0,1.0,0.519,0.5059171597633136,0.013082840236686377,0.9747922153435715,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
24,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/2nl7lc5c,0.8213544614223731,0.741763108865721,0.7366014988173478,0.4937728937728938,0.9380165289256198,0.8371794871794872,0.9722507708119219,0.5124131082423039,0.0,1.0,1.0,0.4900398406374502,0.5346534653465347,0.044613624709084476,0.916555998229305,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
