seed,data,method,wandb_url,Clust Test Accuracy,Clust Test NMI,Clust Test ARI,Clust Test Acc y=0 s=0,Clust Test Acc y=0 s=1,Clust Test Acc y=1 s=0,Clust Test Acc y=1 s=1,Clust Context Accuracy,Clust Context NMI,Clust Context ARI,Clust Context Acc y=0 s=0,Clust Context Acc y=0 s=1,Clust Context Acc y=1 s=0,Clust Context Acc y=1 s=1,Accuracy,TPR,TNR,Renyi preds and s,Accuracy_colour_1.0,Accuracy_colour_0.0,Accuracy_colour_0.0-colour_1.0,Accuracy_colour_0.0/colour_1.0,prob_pos_colour_1.0,prob_pos_colour_0.0,prob_pos_colour_0.0-colour_1.0,prob_pos_colour_0.0/colour_1.0,TPR_colour_1.0,TPR_colour_0.0,TPR_colour_0.0-colour_1.0,TPR_colour_0.0/colour_1.0,TNR_colour_1.0,TNR_colour_0.0,TNR_colour_0.0-colour_1.0,TNR_colour_0.0/colour_1.0
1,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/2j802jd7,0.769116186693148,0.6957157317024453,0.6375874968291373,0.9839679358717435,0.9624765478424016,0.07446808510638298,0.99609375,0.850908409814572,0.7703438366792481,0.8012849410288387,0.9977578475336323,0.9317995069843878,0.0868421052631579,0.9920948616600791,0.5124131082423039,0.0,1.0,1.0,0.5100478468899522,0.5149638802889577,0.004916033399005482,0.990453634541811,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
5,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/gh174sw1,0.9622641509433962,0.8893795052994434,0.9058293491364275,1.0,0.9801587301587301,0.869198312236287,0.9921259842519685,0.9722536806342016,0.9127513124620608,0.9439115856042165,0.9992690058479532,0.9835931091058244,0.8545688545688546,0.9932781799379524,0.5124131082423039,0.0,1.0,1.0,0.5269461077844312,0.4980237154150198,0.02892239236941141,0.9451131872080488,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
9,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/2csm8b24,0.9428997020854022,0.8604062488914938,0.8622951819940666,0.9730769230769231,0.990234375,0.8165322580645161,0.9897119341563786,0.9624244712990937,0.8896138261408653,0.9087145038181292,0.9765291607396871,0.9907640638119227,0.8130601792573624,0.9953076120959332,0.5124131082423039,0.0,1.0,1.0,0.5130260521042084,0.5118110236220472,0.0012150284821611512,0.9976316437007875,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
13,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/zdxcrygu,0.9707050645481629,0.9080368951547516,0.9245954693455891,0.9942965779467681,0.9901185770750988,0.9004065040650406,0.9959183673469387,0.978575455741402,0.9239857457818986,0.9551949754687418,0.9971014492753624,0.980865224625624,0.8942558746736292,0.9969589457678661,0.5124131082423039,0.0,1.0,1.0,0.5080321285140562,0.5166994106090373,0.008667282094981132,0.9832256783789148,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
17,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/1t9gqn9q,0.5218470705064548,0.32898498325232184,0.24716208544408672,0.4481409001956947,0.4472168905950096,0.5477582846003899,0.6567164179104478,0.5575254620897775,0.33871646730167076,0.2854222899553828,0.4571016582552271,0.5895953757225434,0.4683053040103493,0.6452615225271879,0.5124131082423039,0.0,1.0,1.0,0.5262626262626262,0.4990234375,0.02723918876262621,0.9482403130998082,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
25,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/3tbm9qwk,0.5685203574975174,0.49713146240971706,0.3837988115296892,0.2262357414448669,0.7233201581027668,0.7933884297520661,0.5542168674698795,0.5905496987951807,0.4800824835101048,0.36444649589854267,0.7754952311078503,0.7281879194630873,0.21254801536491677,0.5293522267206477,0.5124131082423039,0.0,1.0,1.0,0.5207920792079208,0.5039840637450199,0.016808015462900894,0.9677260539590686,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
21,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/2c7k8lhu,0.7909632571996028,0.6657583364422007,0.5850706704803488,0.9881188118811881,0.7362428842504743,0.494,0.9522821576763485,0.8424128180961358,0.6873466759922744,0.680458771553915,0.9748923959827833,0.77307366638442,0.4468629961587708,0.948178553104156,0.5124131082423039,0.0,1.0,1.0,0.5024875621890548,0.5222993062438057,0.019811744054750946,0.9620682167908089,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
29,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/2l40lyut,0.6782522343594836,0.5932547001595418,0.4877679092075913,0.9461077844311377,0.60075329566855,0.17922606924643583,0.9877800407331976,0.7723669309173273,0.6249323739223872,0.5890363541491506,0.957325746799431,0.6238377007607777,0.16751918158567775,0.9740529320186819,0.5124131082423039,0.0,1.0,1.0,0.5195694716242661,0.5050403225806451,0.014529149043621015,0.9720361764169856,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
2,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/1nl1z8e0,0.8962264150943396,0.8001240031436652,0.7750989282545208,0.9825581395348837,0.9748062015503876,0.6059957173447538,0.9941747572815534,0.928071171682756,0.8247770975205946,0.8360656329352415,0.9794617563739377,0.9675767918088737,0.6319095477386935,0.9894902785076195,0.5124131082423039,0.0,1.0,1.0,0.5249237029501526,0.5004849660523764,0.024438736897776203,0.9534432589718721,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
6,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/3hec45y0,0.7562065541211519,0.7082251408268481,0.6279846892720006,0.9852125693160814,0.9674134419551935,0.0,0.9903846153846154,0.8325485025428517,0.7430944439224534,0.732062238953231,0.9883126369612856,0.9525790349417638,0.0,0.9801121876593575,0.5124131082423039,0.0,1.0,1.0,0.53938185443669,0.4856577645895153,0.05372408984717464,0.9003969276955339,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
