seed,data,method,wandb_url,cluster_test_acc,cluster_context_acc,Accuracy,TPR,TNR,Renyi preds and s,Accuracy_colour_1.0,Accuracy_colour_0.0,Accuracy_colour_0.0-colour_1.0,Accuracy_colour_0.0/colour_1.0,prob_pos_colour_1.0,prob_pos_colour_0.0,prob_pos_colour_0.0-colour_1.0,prob_pos_colour_0.0/colour_1.0,TPR_colour_1.0,TPR_colour_0.0,TPR_colour_0.0-colour_1.0,TPR_colour_0.0/colour_1.0,TNR_colour_1.0,TNR_colour_0.0,TNR_colour_0.0-colour_1.0,TNR_colour_0.0/colour_1.0
1,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/2an0wlly,nan,0.6426297059374415,0.9736842105263158,0.9480651731160896,0.998062015503876,0.04961571892147705,0.9933014354066986,0.9525283797729618,0.04077305563373679,0.9589519815633382,0.48708133971291867,0.4375644994840041,0.04951684022891456,0.8983396895103817,0.990234375,0.902127659574468,0.08810671542553195,0.9110243820554786,0.9962476547842402,1.0,0.0037523452157598447,0.9962476547842402
2,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/3gzqrgtc,nan,0.6293772477758849,0.9438927507447865,0.8869653767820774,0.998062015503876,0.1324902778552445,0.8911495422177009,0.9941804073714839,0.10303086515378301,0.8963660273428777,0.3662258392675483,0.49757516973811833,0.13134933047057,0.7360211311595367,0.7708779443254818,0.9922330097087378,0.221355065383256,0.776912213948382,1.0,0.9961240310077519,0.003875968992248069,0.9961240310077519
4,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/13fgpavs,nan,0.6425475786696816,0.9597815292949354,0.9175152749490835,1.0,0.048301391446805855,0.995004995004995,0.9249753208292202,0.07002967417577477,0.9296187712349894,0.47152847152847155,0.42349457058242845,0.048033900946043095,0.8981314939682433,0.989517819706499,0.8495049504950495,0.1400128692114495,0.8585039436147004,1.0,1.0,0.0,1.0
6,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/3qlpi5s5,nan,0.6455076285552834,0.9046673286991063,0.8054989816700611,0.999031007751938,0.24482690090748263,0.8125623130608175,0.9960435212660732,0.1834812082052557,0.8157899687234226,0.2731804586241276,0.5123639960435212,0.23918353741939363,0.5331765321795232,0.5930735930735931,0.9942307692307693,0.40115717615717617,0.5965150259154127,1.0,0.9979633401221996,0.0020366598778004397,0.9979633401221996
8,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/2gu5lzj7,nan,0.9734862730349756,0.9756703078450845,0.9511201629327902,0.999031007751938,0.04650867568527612,0.9980059820538385,0.9535113748763601,0.04449460717747844,0.9554164925084806,0.48753738783649053,0.4411473788328388,0.046390009003651755,0.9048483046407716,0.9979550102249489,0.9046653144016227,0.09328969582332625,0.9065191367671998,0.9980544747081712,1.0,0.0019455252918287869,0.9980544747081712
5,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/10rvu0fe,nan,0.9731974329935825,0.9632571996027806,0.9287169042769857,0.9961240310077519,0.10315603814692714,0.9301397205588823,0.9960474308300395,0.06590771027115727,0.9338307511960207,0.4031936127744511,0.5059288537549407,0.10273524098048958,0.796937375249501,0.8523206751054853,1.0,0.14767932489451474,0.8523206751054853,1.0,0.9920634920634921,0.007936507936507908,0.9920634920634921
3,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/2w1yqb4t,nan,0.9616901408450704,0.971201588877855,0.9409368635437881,1.0,0.05206763194711677,0.9442148760330579,0.9961759082217974,0.05196103218873949,0.9478395012769467,0.4318181818181818,0.4837476099426386,0.05192942812445678,0.8926518145885736,0.885593220338983,0.9921568627450981,0.10656364240611504,0.8925939572586588,1.0,1.0,0.0,1.0
7,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/3ru63vp7,nan,0.7359454855195912,0.9652432969215492,0.9327902240325866,0.9961240310077519,0.07102973719521552,0.9920792079207921,0.9382470119521913,0.05383219596860078,0.945738006059594,0.49207920792079207,0.4213147410358566,0.07076446688493548,0.8561929344994269,0.9919517102615694,0.8721649484536083,0.1197867618079611,0.8792413374877147,0.9922027290448343,1.0,0.007797270955165692,0.9922027290448343
10,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/hlrr4x21,nan,0.5510550113036925,0.9160873882820258,0.8309572301425662,0.997093023255814,0.13753401619186864,0.9872298624754421,0.8433734939759037,0.14385636849953842,0.8542828028532039,0.47347740667976423,0.33835341365461846,0.13512399302514577,0.7146136412871402,0.9795501022494888,0.6835699797160243,0.2959801225334645,0.6978407517351479,0.994328922495274,1.0,0.005671077504725952,0.994328922495274
11,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/kb4kwarn,nan,0.9676136363636364,0.9826216484607746,0.9674134419551935,0.997093023255814,0.03354607530321967,0.9693675889328063,0.9960079840319361,0.026640395099129854,0.9732528297702123,0.45652173913043476,0.49001996007984033,0.03349822094940558,0.9316390684494819,0.9371196754563894,0.9979550102249489,0.06083533476855951,0.9390400026601935,1.0,0.9941520467836257,0.005847953216374324,0.9941520467836257
