seed,data,method,wandb_url,cluster_test_acc,cluster_context_acc,Accuracy,TPR,TNR,Renyi preds and s,Accuracy_colour_1.0,Accuracy_colour_0.0,Accuracy_colour_0.0-colour_1.0,Accuracy_colour_0.0/colour_1.0,prob_pos_colour_1.0,prob_pos_colour_0.0,prob_pos_colour_0.0-colour_1.0,prob_pos_colour_0.0/colour_1.0,TPR_colour_1.0,TPR_colour_0.0,TPR_colour_0.0-colour_1.0,TPR_colour_0.0/colour_1.0,TNR_colour_1.0,TNR_colour_0.0,TNR_colour_0.0-colour_1.0,TNR_colour_0.0/colour_1.0
1,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/2a7lu1lu,0.0,0.0,0.8818272095332671,0.7596741344195519,0.998062015503876,0.2547984545376874,0.9961722488038277,0.7585139318885449,0.23765831691528283,0.7614284907046392,0.48995215311004786,0.2435500515995872,0.24640210151046066,0.4970894607843137,0.99609375,0.502127659574468,0.49396609042553197,0.5040967876512307,0.9962476547842402,1.0,0.0037523452157598447,0.9962476547842402
2,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/3uzg4ymd,0.0,0.0,0.7924528301886793,0.5814663951120163,0.9932170542635659,0.4943235439259892,0.582909460834181,0.9922405431619786,0.4093310823277976,0.5874678925904601,0.05798575788402848,0.5053346265761397,0.4473488686921112,0.11474724832712738,0.12205567451820129,0.9980582524271845,0.8760025779089832,0.12229313691998767,1.0,0.9864341085271318,0.013565891472868241,0.9864341085271318
4,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/3fo92kab,0.0,0.0,0.9091360476663356,0.814663951120163,0.999031007751938,0.15803456913867978,0.997002997002997,0.8223099703849951,0.1746930266180019,0.824781844043467,0.4755244755244755,0.32082922013820336,0.15469525538627216,0.6746849776435747,0.9958071278825996,0.6435643564356436,0.35224277144695604,0.6462741010943199,0.9980916030534351,1.0,0.001908396946564861,0.9980916030534351
6,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/2nh2vvr0,0.0,0.0,0.7869910625620655,0.5631364562118126,1.0,0.5371382144995335,0.5732801595214357,0.9990108803165183,0.42573072079508256,0.5738477636397737,0.03389830508474576,0.5133531157270029,0.47945481064225715,0.06603311452924464,0.0735930735930736,0.9980769230769231,0.9244838494838494,0.0737348714227327,1.0,1.0,0.0,1.0
8,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/epmm7yh8,0.0,0.0,0.7954319761668321,0.5845213849287169,0.9961240310077519,0.4437737964587108,0.9930209371884346,0.599406528189911,0.3936144089985236,0.6036192246731735,0.4885343968095713,0.08704253214638971,0.40149186466318154,0.17817073416903853,0.9938650306748467,0.17849898580121704,0.8153660448736296,0.17960083139258257,0.9922178988326849,1.0,0.0077821011673151474,0.9922178988326849
5,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/2bpwtuc8,0.0,0.0,0.7671300893743793,0.5234215885947047,0.999031007751938,0.569580948458146,0.5329341317365269,0.9990118577075099,0.46607772597098296,0.5334612673762268,0.005988023952095809,0.5029644268774703,0.49697640292537454,0.011905462160159055,0.012658227848101266,1.0,0.9873417721518988,0.012658227848101266,1.0,0.998015873015873,0.001984126984126977,0.998015873015873
3,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/15zzrjtb,0.0,0.0,0.7676266137040715,0.5234215885947047,1.0,0.5517316200146938,0.5175619834710744,0.9990439770554493,0.48148199358437493,0.5180572580964056,0.005165289256198347,0.48661567877629064,0.4814503895200923,0.010614720161067723,0.01059322033898305,0.9980392156862745,0.9874459953472915,0.010614032166761014,1.0,1.0,0.0,1.0
7,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/2thyl497,0.0,0.0,0.8073485600794439,0.6059063136456212,0.999031007751938,0.4244779505163764,0.995049504950495,0.6185258964143426,0.3765236085361524,0.6216031396800856,0.4891089108910891,0.10159362549800798,0.3875152853930811,0.20771166346758715,0.9919517102615694,0.21030927835051547,0.7816424319110539,0.21201564166370424,0.9980506822612085,1.0,0.0019493177387914784,0.9980506822612085
10,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/x6cpnh8v,0.0,0.0,0.7557100297914597,0.5030549898167006,0.9961240310077519,0.5554091518880585,0.9960707269155207,0.5100401606425703,0.4860305662729504,0.5120521533867224,0.48428290766208254,0.0050200803212851405,0.4792628273407974,0.010366007641112115,1.0,0.010141987829614604,0.9898580121703854,0.010141987829614604,0.9924385633270322,1.0,0.007561436672967825,0.9924385633270322
11,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/fgpw51r9,0.0,0.0,0.7542204568023834,0.5,0.9961240310077519,0.5667742296344259,0.5158102766798419,0.9950099800399201,0.4791997033600782,0.5183970884986977,0.0029644268774703555,0.49101796407185627,0.48805353719438593,0.006037308396799383,0.006085192697768763,0.9979550102249489,0.9918698175271802,0.006097662354936321,1.0,0.9922027290448343,0.007797270955165692,0.9922027290448343
