seed,data,method,wandb_url,cluster_test_acc,cluster_context_acc,Accuracy,TPR,TNR,Renyi preds and s,Accuracy_colour_1.0,Accuracy_colour_0.0,Accuracy_colour_0.0-colour_1.0,Accuracy_colour_0.0/colour_1.0,prob_pos_colour_1.0,prob_pos_colour_0.0,prob_pos_colour_0.0-colour_1.0,prob_pos_colour_0.0/colour_1.0,TPR_colour_1.0,TPR_colour_0.0,TPR_colour_0.0-colour_1.0,TPR_colour_0.0/colour_1.0,TNR_colour_1.0,TNR_colour_0.0,TNR_colour_0.0-colour_1.0,TNR_colour_0.0/colour_1.0
1,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/1gerid3f,0.769116186693148,0.850908409814572,0.8133068520357497,0.6171079429735234,1.0,0.4259025854533899,0.999043062200957,0.6130030959752322,0.3860399662257248,0.6135902636916836,0.48899521531100476,0.09803921568627451,0.39095599962473027,0.20049115536625609,0.998046875,0.20212765957446807,0.7959192154255319,0.20252321272432025,1.0,1.0,0.0,1.0
2,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/1fhhuezz,0.8962264150943396,0.928071171682756,0.9736842105263158,0.9511201629327902,0.9951550387596899,0.07628378146860477,0.9521871820956256,0.9941804073714839,0.04199322527585836,0.9577609607225268,0.427263479145473,0.5033947623666344,0.07613128322116136,0.8487642524065176,0.8993576017130621,0.9980582524271845,0.09870065071412237,0.9011073246735933,1.0,0.9903100775193798,0.009689922480620172,0.9903100775193798
4,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/6b28s7p5,0.4513406156901688,0.5144149236856982,0.971201588877855,0.9429735234215886,0.998062015503876,0.03140747823412474,0.996003996003996,0.9466929911154985,0.04931100488849749,0.9504911575793521,0.47652347652347654,0.4452122408687068,0.03131123565476973,0.934292354527412,0.9958071278825996,0.8930693069306931,0.10273782095190653,0.8968295987493486,0.9961832061068703,1.0,0.003816793893129722,0.9961832061068703
5,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/15dihwit,0.9622641509433962,0.9722536806342016,0.8138033763654419,0.6313645621181263,0.9874031007751938,0.43408991993701046,0.6387225548902196,0.9871541501976284,0.34843159530740886,0.647034259808711,0.11177644710578842,0.5148221343873518,0.40304568728156337,0.21711663046268306,0.23628691983122363,1.0,0.7637130801687764,0.23628691983122363,1.0,0.9742063492063492,0.025793650793650813,0.9742063492063492
6,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/2bpuxvm9,0.7562065541211519,0.8325485025428517,0.836643495531281,0.6670061099796334,0.998062015503876,0.4049837976218783,0.674975074775673,0.9970326409495549,0.3220575661738819,0.6769839291648863,0.13559322033898305,0.5153313550939663,0.3797381347549833,0.263118513939946,0.2943722943722944,0.9980769230769231,0.7037046287046287,0.2949394856909308,1.0,0.9959266802443992,0.004073319755600768,0.9959266802443992
8,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/3g8m1el2,0.9553128103277061,0.9644603234298609,0.9677259185700099,0.9358452138492872,0.998062015503876,0.05846469363096047,0.9950149551345963,0.9406528189910979,0.054362136143498385,0.9453655084650011,0.4865403788634098,0.42828882294757664,0.05825155591583314,0.8802739537221708,0.9938650306748467,0.8782961460446247,0.11556888463022197,0.8837177271930483,0.9961089494163424,1.0,0.0038910505836575737,0.9961089494163424
3,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/2qmius3i,0.9672293942403177,0.9710798122065728,0.964746772591857,0.9276985743380856,1.0,0.07159901018263243,0.9276859504132231,0.9990439770554493,0.07135802664222624,0.9285736881648147,0.4152892561983471,0.48661567877629064,0.07132642257794353,0.853423500949845,0.8516949152542372,0.9980392156862745,0.14634430043203728,0.8533681862075855,1.0,1.0,0.0,1.0
7,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/2pe6pgkh,0.9568023833167825,0.9748249100889647,0.8267130089374379,0.6456211812627292,0.999031007751938,0.37520961264957503,0.995049504950495,0.6573705179282868,0.3376789870222082,0.6606410180174823,0.4891089108910891,0.14043824701195218,0.3486706638791369,0.28713082891107633,0.9919517102615694,0.2907216494845361,0.7012300607770332,0.29308044582923826,0.9980506822612085,1.0,0.0019493177387914784,0.9980506822612085
10,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/4z63ur7r,0.6360476663356505,0.7211755840241145,0.8659384309831182,0.7281059063136456,0.997093023255814,0.2676362460039195,0.9970530451866405,0.7319277108433735,0.265125334343267,0.7340910439788711,0.48330058939096265,0.22690763052208834,0.2563929588688743,0.46949586965749174,1.0,0.45841784989858014,0.5415821501014199,0.45841784989858014,0.994328922495274,1.0,0.005671077504725952,0.994328922495274
20,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/lrppgx0z,0.9592850049652433,0.9745523091423186,0.9473684210526315,0.8930753564154786,0.999031007751938,0.08421452195346724,0.995,0.9003944773175543,0.09460552268244571,0.9049190726809591,0.478,0.39447731755424065,0.08352268244575933,0.8252663547159846,0.9916839916839917,0.7984031936127745,0.19328079807121723,0.8050983985906593,0.9980732177263969,1.0,0.0019267822736031004,0.9980732177263969
11,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/wlbt1fs9,0.9503475670307845,0.9744318181818182,0.7929493545183715,0.5784114052953157,0.997093023255814,0.45370916143640044,0.5928853754940712,0.9950099800399201,0.402124604545849,0.5958587224122962,0.0800395256916996,0.48902195608782434,0.40898243039612475,0.1636726627409857,0.1643002028397566,0.9959100204498977,0.8316098176101412,0.1649749469992628,1.0,0.9941520467836257,0.005847953216374324,0.9941520467836257
21,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/bnl9r7v0,0.5327706057596823,0.6605089538171536,0.7621648460774578,0.5142566191446029,0.998062015503876,0.5216731359433668,0.527363184079602,0.9960356788899901,0.4686724948103881,0.5294621420261875,0.024875621890547265,0.47770069375619423,0.45282507186564697,0.05207365661319957,0.05,0.995850622406639,0.945850622406639,0.050208333333333334,1.0,0.9962049335863378,0.003795066413662229,0.9962049335863378
12,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/h5cxlov7,0.4682224428997021,0.5202486343944246,0.9543197616683218,0.9969450101832994,0.9137596899224806,0.030856730640595815,0.989423076923077,0.9168377823408624,0.07258529458221452,0.926638769324098,0.5153846153846153,0.5462012320328542,0.03081661664823887,0.9435801041064198,1.0,0.9934354485776805,0.006564551422319487,0.9934354485776805,0.9786407766990292,0.8491295938104448,0.12951118288858432,0.8676621841515458
22,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/bapbjket,0.7780536246276067,0.8078372268274303,0.9503475670307845,0.8991853360488798,0.999031007751938,0.11002360397754786,0.9971126082771896,0.9005128205128206,0.09659978776436906,0.9031204831204832,0.4918190567853705,0.38256410256410256,0.10925495422126796,0.77785538662251,0.99609375,0.7936170212765957,0.20247672872340428,0.7967292448894451,0.9981024667931688,1.0,0.00189753320683117,0.9981024667931688
