bias.missing_s,bias.mixing_factor,bias.adult_biased_train,bias.log_dataset,baseline.greyscale,baseline.labelled_context_set,baseline.epochs,baseline.test_batch_size,baseline.batch_size,baseline.lr,baseline.weight_decay,baseline.eta,baseline.c,baseline.method,baseline.oversample,data.log_name,data.data_pcnt,data.context_pcnt,data.test_pcnt,data.root,data.transductive,data.drop_native,data.adult_split,data.drop_discrete,data.adult_balanced_test,data.balance_all_quadrants,misc.cluster_label_file,misc.exp_group,misc.log_method,misc.use_wandb,misc.gpu,misc.use_amp,misc.seed,misc.data_split_seed,misc.save_dir,misc.results_csv,misc.resume,misc.evaluate,misc.num_workers,misc.device,misc.use_gpu,Accuracy (gdro),TPR (gdro),TNR (gdro),Renyi preds and s (gdro),Accuracy_sex_Male_1.0 (gdro),Accuracy_sex_Male_0.0 (gdro),Accuracy_sex_Male_0.0-sex_Male_1.0 (gdro),Accuracy_sex_Male_0.0÷sex_Male_1.0 (gdro),prob_pos_sex_Male_1.0 (gdro),prob_pos_sex_Male_0.0 (gdro),prob_pos_sex_Male_0.0-sex_Male_1.0 (gdro),prob_pos_sex_Male_0.0÷sex_Male_1.0 (gdro),TPR_sex_Male_1.0 (gdro),TPR_sex_Male_0.0 (gdro),TPR_sex_Male_0.0-sex_Male_1.0 (gdro),TPR_sex_Male_0.0÷sex_Male_1.0 (gdro),TNR_sex_Male_1.0 (gdro),TNR_sex_Male_0.0 (gdro),TNR_sex_Male_0.0-sex_Male_1.0 (gdro),TNR_sex_Male_0.0÷sex_Male_1.0 (gdro)
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.5,1.0,gdro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_gdro,True,0,False,2,2,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.6818862275449101,0.4386227544910179,0.9251497005988024,0.3272741344756223,0.7589820359281437,0.6047904191616766,0.1541916167664671,0.796844181459566,0.3997005988023952,0.1137724550898203,0.2859281437125748,0.2846441947565543,0.6586826347305389,0.218562874251497,0.4401197604790419,0.3318181818181818,0.8592814371257484,0.9910179640718564,0.1317365269461078,0.8670694864048338
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.5,1.0,gdro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_gdro,True,0,False,1,1,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.687125748502994,0.4341317365269461,0.940119760479042,0.2707501077017908,0.7529940119760479,0.6212574850299402,0.1317365269461077,0.8250497017892645,0.3637724550898203,0.1302395209580838,0.2335329341317365,0.3580246913580246,0.6167664670658682,0.2514970059880239,0.3652694610778443,0.4077669902912621,0.8892215568862275,0.9910179640718564,0.1017964071856287,0.8972809667673716
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.5,1.0,gdro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_gdro,True,0,False,16,16,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.6781437125748503,0.4311377245508982,0.9251497005988024,0.3477985352663105,0.7694610778443114,0.5868263473053892,0.1826347305389222,0.7626459143968871,0.4041916167664671,0.1017964071856287,0.3023952095808383,0.2518518518518518,0.6736526946107785,0.1886227544910179,0.4850299401197605,0.2799999999999999,0.8652694610778443,0.9850299401197604,0.1197604790419162,0.878419452887538
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.5,1.0,gdro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_gdro,True,0,False,15,15,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.656437125748503,0.3712574850299401,0.9416167664670658,0.3298753639666325,0.7425149700598802,0.5703592814371258,0.1721556886227544,0.7681451612903226,0.3502994011976048,0.0793413173652694,0.2709580838323353,0.2264957264957265,0.592814371257485,0.1497005988023952,0.4431137724550898,0.2525252525252525,0.8922155688622755,0.9910179640718564,0.0988023952095807,0.9003021148036254
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.5,1.0,gdro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_gdro,True,0,False,18,18,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.7005988023952096,0.467065868263473,0.934131736526946,0.3623061753998397,0.812874251497006,0.5883233532934131,0.2245508982035928,0.723756906077348,0.4266467065868263,0.1062874251497006,0.3203592814371258,0.2491228070175438,0.7395209580838323,0.1946107784431137,0.5449101796407185,0.2631578947368421,0.8862275449101796,0.9820359281437124,0.0958083832335329,0.902439024390244
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.5,1.0,gdro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_gdro,True,0,False,17,17,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.6676646706586826,0.374251497005988,0.9610778443113772,0.3142978771675294,0.7559880239520959,0.5793413173652695,0.1766467065868263,0.7663366336633664,0.3338323353293413,0.0793413173652694,0.2544910179640718,0.2376681614349776,0.5898203592814372,0.1586826347305389,0.4311377245508982,0.2690355329949238,0.9221556886227544,1.0,0.0778443113772454,0.9221556886227544
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.5,1.0,gdro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_gdro,True,0,False,19,19,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.6706586826347305,0.4161676646706587,0.9251497005988024,0.393044072656892,0.7739520958083832,0.5673652694610778,0.2065868263473054,0.7330754352030947,0.4146706586826347,0.0763473053892215,0.3383233532934132,0.1841155234657039,0.688622754491018,0.1437125748502994,0.5449101796407185,0.208695652173913,0.8592814371257484,0.9910179640718564,0.1317365269461078,0.8670694864048338
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.5,1.0,gdro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_gdro,True,0,False,20,20,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.6826347305389222,0.4041916167664671,0.9610778443113772,0.2919795866187892,0.7769461077844312,0.5883233532934131,0.188622754491018,0.7572254335260115,0.342814371257485,0.1002994011976047,0.2425149700598802,0.2925764192139738,0.6197604790419161,0.1886227544910179,0.4311377245508981,0.3043478260869565,0.934131736526946,0.9880239520958084,0.0538922155688622,0.9454545454545454
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.5,1.0,gdro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_gdro,True,0,False,21,21,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.6758982035928144,0.4086826347305389,0.94311377245509,0.3560032233501313,0.7784431137724551,0.5733532934131736,0.2050898203592814,0.7365384615384615,0.3832335329341317,0.0823353293413173,0.3008982035928144,0.2148437499999999,0.6616766467065869,0.155688622754491,0.5059880239520959,0.2352941176470588,0.8952095808383234,0.9910179640718564,0.0958083832335329,0.9033232628398792
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.5,1.0,gdro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_gdro,True,0,False,12,12,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.6961077844311377,0.4700598802395209,0.9221556886227544,0.3927258131396971,0.7964071856287425,0.5958083832335329,0.2005988023952095,0.7481203007518797,0.4491017964071856,0.0988023952095808,0.3502994011976048,0.22,0.7455089820359282,0.1946107784431137,0.5508982035928144,0.2610441767068273,0.8473053892215568,0.997005988023952,0.1497005988023952,0.8498498498498498
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.5,1.0,gdro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_gdro,True,0,False,10,10,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.6841317365269461,0.4296407185628742,0.938622754491018,0.2991308871548027,0.7784431137724551,0.5898203592814372,0.1886227544910179,0.7576923076923077,0.374251497005988,0.1167664670658682,0.2574850299401198,0.312,0.6526946107784432,0.2065868263473053,0.4461077844311377,0.3165137614678899,0.9041916167664672,0.9730538922155688,0.0688622754491017,0.9292307692307692
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.5,1.0,gdro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_gdro,True,0,False,13,13,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.6916167664670658,0.4505988023952096,0.9326347305389222,0.3622264955772942,0.7979041916167665,0.5853293413173652,0.2125748502994012,0.7335834896810506,0.4176646706586826,0.1002994011976047,0.3173652694610778,0.2401433691756272,0.7155688622754491,0.18562874251497,0.5299401197604791,0.2594142259414225,0.8802395209580839,0.9850299401197604,0.1047904191616766,0.8936170212765957
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.5,1.0,gdro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_gdro,True,0,False,22,22,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.6714071856287425,0.3847305389221557,0.9580838323353292,0.2612836591075572,0.7395209580838323,0.6032934131736527,0.1362275449101796,0.8157894736842105,0.3203592814371258,0.1062874251497006,0.2140718562874251,0.3317757009345794,0.5598802395209581,0.2095808383233532,0.3502994011976048,0.374331550802139,0.9191616766467066,0.997005988023952,0.0778443113772455,0.921921921921922
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.5,1.0,gdro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_gdro,True,0,False,23,23,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.7050898203592815,0.4356287425149701,0.9745508982035928,0.248803290708302,0.7934131736526946,0.6167664670658682,0.1766467065868263,0.7773584905660377,0.3353293413173652,0.1257485029940119,0.2095808383233532,0.375,0.6287425149700598,0.2425149700598802,0.3862275449101796,0.3857142857142857,0.9580838323353292,0.9910179640718564,0.0329341317365269,0.9667673716012084
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.5,1.0,gdro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_gdro,True,0,False,24,24,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.6758982035928144,0.4296407185628742,0.9221556886227544,0.2631746188086686,0.7335329341317365,0.6182634730538922,0.1152694610778443,0.8428571428571429,0.3682634730538922,0.1392215568862275,0.2290419161676647,0.3780487804878048,0.6017964071856288,0.2574850299401197,0.344311377245509,0.4278606965174129,0.8652694610778443,0.9790419161676648,0.1137724550898203,0.8837920489296636
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.5,1.0,gdro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_gdro,True,0,False,26,26,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.686377245508982,0.4461077844311377,0.9266467065868264,0.3294537276629751,0.7634730538922155,0.6092814371257484,0.1541916167664671,0.7980392156862745,0.4041916167664671,0.1152694610778443,0.2889221556886228,0.2851851851851852,0.6676646706586826,0.2245508982035928,0.4431137724550898,0.3363228699551569,0.8592814371257484,0.994011976047904,0.1347305389221557,0.8644578313253012
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.5,1.0,gdro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_gdro,True,0,False,25,25,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.6796407185628742,0.4146706586826347,0.9446107784431138,0.3106865094768399,0.7649700598802395,0.594311377245509,0.1706586826347305,0.776908023483366,0.3667664670658682,0.1032934131736526,0.2634730538922155,0.2816326530612245,0.6317365269461078,0.1976047904191616,0.4341317365269461,0.3127962085308057,0.8982035928143712,0.9910179640718564,0.092814371257485,0.9063444108761328
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.5,1.0,gdro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_gdro,True,0,False,27,27,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.656437125748503,0.374251497005988,0.938622754491018,0.3282267217555539,0.7574850299401198,0.5553892215568862,0.2020958083832336,0.7332015810276679,0.3532934131736527,0.0823353293413173,0.2709580838323353,0.2330508474576271,0.6107784431137725,0.1377245508982036,0.4730538922155689,0.2254901960784313,0.9041916167664672,0.9730538922155688,0.0688622754491017,0.9292307692307692
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.5,1.0,gdro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_gdro,True,0,False,29,29,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.7080838323353293,0.4565868263473054,0.9595808383233532,0.2424890529798263,0.781437125748503,0.6347305389221557,0.1467065868263473,0.8122605363984674,0.3532934131736527,0.1437125748502994,0.2095808383233533,0.4067796610169491,0.6347305389221557,0.278443113772455,0.3562874251497006,0.4386792452830188,0.9281437125748504,0.9910179640718564,0.0628742514970059,0.9365558912386708
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.5,1.0,gdro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_gdro,True,0,False,28,28,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.6654191616766467,0.3907185628742515,0.9401197604790419,0.3314502154919193,0.7619760479041916,0.5688622754491018,0.19311377245508976,0.7465618860510806,0.36377245508982037,0.08682634730538923,0.27694610778443113,0.23868312757201646,0.625748502994012,0.15568862275449102,0.47005988023952094,0.2488038277511962,0.8982035928143712,0.9820359281437125,0.08383233532934131,0.9146341463414634
