seed,data,method,wandb_url,Accuracy,TPR,TNR,Renyi preds and s,Accuracy_sens_Label_1.0,Accuracy_sens_Label_0.0,Accuracy_sens_Label_0.0-sens_Label_1.0,Accuracy_sens_Label_0.0÷sens_Label_1.0,prob_pos_sens_Label_1.0,prob_pos_sens_Label_0.0,prob_pos_sens_Label_0.0-sens_Label_1.0,prob_pos_sens_Label_0.0÷sens_Label_1.0,TPR_sens_Label_1.0,TPR_sens_Label_0.0,TPR_sens_Label_0.0-sens_Label_1.0,TPR_sens_Label_0.0÷sens_Label_1.0,TNR_sens_Label_1.0,TNR_sens_Label_0.0,TNR_sens_Label_0.0-sens_Label_1.0,TNR_sens_Label_0.0÷sens_Label_1.0,eta
1,baseline,"dro",(None),0.688622754491018,0.49251497005988026,0.8847305389221557,0.4752021100482967,0.7949101796407185,0.5823353293413174,0.21257485029940115,0.7325800376647835,0.5224550898203593,0.08532934131736528,0.437125748502994,0.16332378223495703,0.8173652694610778,0.16766467065868262,0.6497005988023952,0.20512820512820512,0.7724550898203593,0.9970059880239521,0.22455089820359286,0.7747747747747747,0.1
1,baseline,"dro",(None),0.5,1.0,0.0,1.0,0.5,0.5,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,nan,1.0
1,baseline,"dro",(None),0.6833832335329342,0.48502994011976047,0.8817365269461078,0.4778309489255647,0.7904191616766467,0.5763473053892215,0.2140718562874252,0.7291666666666666,0.5209580838323353,0.08233532934131736,0.43862275449101795,0.15804597701149425,0.811377245508982,0.15868263473053892,0.6526946107784432,0.19557195571955718,0.7694610778443114,0.9940119760479041,0.22455089820359275,0.7740963855421688,0.3
1,baseline,"dro",(None),0.686377245508982,0.4940119760479042,0.8787425149700598,0.4784430372120018,0.7919161676646707,0.5808383233532934,0.21107784431137722,0.7334593572778828,0.5284431137724551,0.08682634730538923,0.4416167664670659,0.16430594900849857,0.8203592814371258,0.16766467065868262,0.6526946107784432,0.2043795620437956,0.7634730538922155,0.9940119760479041,0.2305389221556886,0.7680722891566265,0.01
2,baseline,"dro",(None),0.6721556886227545,0.42065868263473055,0.9236526946107785,0.43648029536368743,0.7844311377245509,0.5598802395209581,0.22455089820359275,0.7137404580152672,0.437125748502994,0.059880239520958084,0.3772455089820359,0.136986301369863,0.7215568862275449,0.11976047904191617,0.6017964071856288,0.16597510373443985,0.8473053892215568,1.0,0.15269461077844315,0.8473053892215568,0.01
3,baseline,"dro",(None),0.6788922155688623,0.4535928143712575,0.9041916167664671,0.4712066373726976,0.7964071856287425,0.561377245508982,0.23502994011976042,0.7048872180451129,0.48502994011976047,0.06437125748502993,0.42065868263473055,0.13271604938271603,0.781437125748503,0.12574850299401197,0.655688622754491,0.16091954022988506,0.811377245508982,0.9970059880239521,0.18562874251497008,0.8138138138138138,0.01
4,baseline,"dro",(None),0.686377245508982,0.47754491017964074,0.8952095808383234,0.49592580325760255,0.8068862275449101,0.5658682634730539,0.24101796407185627,0.7012987012987013,0.5164670658682635,0.0658682634730539,0.4505988023952096,0.12753623188405797,0.8233532934131736,0.1317365269461078,0.6916167664670658,0.16,0.7904191616766467,1.0,0.20958083832335328,0.7904191616766467,0.1
2,baseline,"dro",(None),0.6699101796407185,0.42065868263473055,0.9191616766467066,0.4438065229354462,0.781437125748503,0.5583832335329342,0.22305389221556882,0.7145593869731801,0.4431137724550898,0.058383233532934134,0.3847305389221557,0.13175675675675677,0.7245508982035929,0.11676646706586827,0.6077844311377246,0.16115702479338842,0.8383233532934131,1.0,0.16167664670658688,0.8383233532934131,0.1
2,baseline,"dro",(None),0.6684131736526946,0.41916167664670656,0.9176646706586826,0.4438065229354462,0.781437125748503,0.5553892215568862,0.2260479041916168,0.710727969348659,0.4431137724550898,0.058383233532934134,0.3847305389221557,0.13175675675675677,0.7245508982035929,0.11377245508982035,0.6107784431137725,0.15702479338842973,0.8383233532934131,0.9970059880239521,0.158682634730539,0.8408408408408408,0.3
5,baseline,"dro",(None),0.6803892215568862,0.47904191616766467,0.8817365269461078,0.5020906479546873,0.7979041916167665,0.562874251497006,0.23502994011976053,0.7054409005628517,0.5284431137724551,0.0688622754491018,0.45958083832335334,0.13031161473087818,0.8263473053892215,0.1317365269461078,0.6946107784431137,0.15942028985507248,0.7694610778443114,0.9940119760479041,0.22455089820359275,0.7740963855421688,0.01
5,baseline,"dro",(None),0.6781437125748503,0.47005988023952094,0.8862275449101796,0.5004903542293708,0.7979041916167665,0.5583832335329342,0.23952095808383234,0.699812382739212,0.5194610778443114,0.06437125748502993,0.45508982035928147,0.12391930835734868,0.8173652694610778,0.12275449101796407,0.6946107784431137,0.15018315018315018,0.7784431137724551,0.9940119760479041,0.21556886227544902,0.783132530120482,0.3
2,baseline,"dro",(None),0.5,0.0,1.0,1.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0,1.0
3,baseline,"dro",(None),0.6773952095808383,0.4535928143712575,0.9011976047904192,0.47710991280100284,0.7949101796407185,0.5598802395209581,0.23502994011976042,0.704331450094162,0.48952095808383234,0.06287425149700598,0.42664670658682635,0.12844036697247704,0.7844311377245509,0.12275449101796407,0.6616766467065868,0.15648854961832062,0.8053892215568862,0.9970059880239521,0.19161676646706594,0.8078078078078077,0.1
5,baseline,"dro",(None),0.5,0.0,1.0,1.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0,1.0
