seed,data,method,wandb_url,Accuracy,TPR,TNR,Renyi preds and s,Accuracy_sens_Label_1.0,Accuracy_sens_Label_0.0,Accuracy_sens_Label_0.0-sens_Label_1.0,Accuracy_sens_Label_0.0÷sens_Label_1.0,prob_pos_sens_Label_1.0,prob_pos_sens_Label_0.0,prob_pos_sens_Label_0.0-sens_Label_1.0,prob_pos_sens_Label_0.0÷sens_Label_1.0,TPR_sens_Label_1.0,TPR_sens_Label_0.0,TPR_sens_Label_0.0-sens_Label_1.0,TPR_sens_Label_0.0÷sens_Label_1.0,TNR_sens_Label_1.0,TNR_sens_Label_0.0,TNR_sens_Label_0.0-sens_Label_1.0,TNR_sens_Label_0.0÷sens_Label_1.0
2,baseline,"cnn",(None),0.6729041916167665,0.4281437125748503,0.9176646706586826,0.451509631086156,0.7874251497005988,0.5583832335329342,0.22904191616766467,0.7091254752851711,0.45209580838323354,0.058383233532934134,0.3937125748502994,0.1291390728476821,0.7395209580838323,0.11676646706586827,0.6227544910179641,0.15789473684210528,0.8353293413173652,1.0,0.16467065868263475,0.8353293413173652
4,baseline,"cnn",(None),0.6953592814371258,0.4865269461077844,0.9041916167664671,0.47615467488852886,0.8188622754491018,0.5718562874251497,0.24700598802395213,0.6983546617915904,0.5074850299401198,0.0748502994011976,0.4326347305389222,0.14749262536873153,0.8263473053892215,0.1467065868263473,0.6796407185628742,0.17753623188405795,0.811377245508982,0.9970059880239521,0.18562874251497008,0.8138138138138138
3,baseline,"cnn",(None),0.6818862275449101,0.46706586826347307,0.8967065868263473,0.4890551564636439,0.8023952095808383,0.561377245508982,0.24101796407185627,0.6996268656716418,0.5059880239520959,0.06437125748502993,0.44161676646706594,0.1272189349112426,0.8083832335329342,0.12574850299401197,0.6826347305389222,0.15555555555555553,0.7964071856287425,0.9970059880239521,0.20059880239520966,0.7987987987987987
1,baseline,"cnn",(None),0.687874251497006,0.48502994011976047,0.8907185628742516,0.46678491274997974,0.8008982035928144,0.5748502994011976,0.2260479041916168,0.7177570093457943,0.5104790419161677,0.08383233532934131,0.42664670658682635,0.16422287390029325,0.811377245508982,0.15868263473053892,0.6526946107784432,0.19557195571955718,0.7904191616766467,0.9910179640718563,0.20059880239520955,0.797583081570997
5,baseline,"cnn",(None),0.6796407185628742,0.47604790419161674,0.8832335329341318,0.5113792174716288,0.8023952095808383,0.5568862275449101,0.2455089820359282,0.6940298507462686,0.5299401197604791,0.06287425149700598,0.46706586826347307,0.11864406779661016,0.8323353293413174,0.11976047904191617,0.7125748502994012,0.14388489208633093,0.7724550898203593,0.9940119760479041,0.22155688622754488,0.7771084337349398
16,baseline,"cnn",(None),0.6833832335329342,0.5149700598802395,0.8517964071856288,0.4881022199889925,0.7799401197604791,0.5868263473053892,0.19311377245508987,0.7523992322456813,0.561377245508982,0.10179640718562874,0.4595808383233533,0.18133333333333332,0.8413173652694611,0.18862275449101795,0.6526946107784432,0.22419928825622773,0.718562874251497,0.9850299401197605,0.2664670658682635,0.729483282674772
17,baseline,"cnn",(None),0.6946107784431138,0.4940119760479042,0.8952095808383234,0.4772159288362478,0.8173652694610778,0.5718562874251497,0.24550898203592808,0.6996336996336997,0.5179640718562875,0.08083832335329341,0.437125748502994,0.1560693641618497,0.8353293413173652,0.15269461077844312,0.6826347305389221,0.1827956989247312,0.7994011976047904,0.9910179640718563,0.19161676646706582,0.8066465256797584
23,baseline,"cnn",(None),0.6961077844311377,0.4940119760479042,0.8982035928143712,0.48444977198390093,0.8218562874251497,0.5703592814371258,0.25149700598802394,0.6939890710382514,0.5194610778443114,0.07634730538922156,0.4431137724550898,0.14697406340057637,0.8413173652694611,0.1467065868263473,0.6946107784431138,0.17437722419928825,0.8023952095808383,0.9940119760479041,0.19161676646706582,0.8072289156626506
18,baseline,"cnn",(None),0.6803892215568862,0.45209580838323354,0.9086826347305389,0.4829166331186778,0.8038922155688623,0.5568862275449101,0.24700598802395213,0.6927374301675977,0.4865269461077844,0.05688622754491018,0.4296407185628742,0.11692307692307692,0.7904191616766467,0.11377245508982035,0.6766467065868264,0.14393939393939392,0.8173652694610778,1.0,0.1826347305389222,0.8173652694610778
19,baseline,"cnn",(None),0.6729041916167665,0.47155688622754494,0.874251497005988,0.4955487502614668,0.7859281437125748,0.5598802395209581,0.2260479041916167,0.7123809523809524,0.5254491017964071,0.0718562874251497,0.4535928143712574,0.13675213675213677,0.811377245508982,0.1317365269461078,0.6796407185628742,0.16236162361623618,0.7604790419161677,0.9880239520958084,0.22754491017964074,0.7696969696969697
24,baseline,"cnn",(None),0.6586826347305389,0.4565868263473054,0.8607784431137725,0.4811764627137394,0.7514970059880239,0.5658682634730539,0.18562874251497008,0.7529880478087649,0.5179640718562875,0.07784431137724551,0.44011976047904194,0.15028901734104047,0.7694610778443114,0.1437125748502994,0.625748502994012,0.1867704280155642,0.7335329341317365,0.9880239520958084,0.2544910179640719,0.7424242424242423
26,baseline,"cnn",(None),0.6908682634730539,0.5224550898203593,0.8592814371257484,0.4881022199889925,0.7829341317365269,0.5988023952095808,0.18413173652694614,0.7648183556405354,0.561377245508982,0.10179640718562874,0.4595808383233533,0.18133333333333332,0.844311377245509,0.20059880239520958,0.6437125748502994,0.2375886524822695,0.7215568862275449,0.9970059880239521,0.27544910179640725,0.7237237237237236
