bias.missing_s,bias.mixing_factor,bias.adult_biased_train,bias.log_dataset,baseline.greyscale,baseline.labelled_context_set,baseline.epochs,baseline.test_batch_size,baseline.batch_size,baseline.lr,baseline.weight_decay,baseline.eta,baseline.c,baseline.method,baseline.oversample,data.log_name,data.data_pcnt,data.context_pcnt,data.test_pcnt,data.root,data.transductive,data.drop_native,data.adult_split,data.drop_discrete,data.adult_balanced_test,data.balance_all_quadrants,misc.cluster_label_file,misc.exp_group,misc.log_method,misc.use_wandb,misc.gpu,misc.use_amp,misc.seed,misc.data_split_seed,misc.save_dir,misc.results_csv,misc.resume,misc.evaluate,misc.num_workers,misc.device,misc.use_gpu,Accuracy (dro),TPR (dro),TNR (dro),Renyi preds and s (dro),Accuracy_sex_Male_1.0 (dro),Accuracy_sex_Male_0.0 (dro),Accuracy_sex_Male_0.0-sex_Male_1.0 (dro),Accuracy_sex_Male_0.0÷sex_Male_1.0 (dro),prob_pos_sex_Male_1.0 (dro),prob_pos_sex_Male_0.0 (dro),prob_pos_sex_Male_0.0-sex_Male_1.0 (dro),prob_pos_sex_Male_0.0÷sex_Male_1.0 (dro),TPR_sex_Male_1.0 (dro),TPR_sex_Male_0.0 (dro),TPR_sex_Male_0.0-sex_Male_1.0 (dro),TPR_sex_Male_0.0÷sex_Male_1.0 (dro),TNR_sex_Male_1.0 (dro),TNR_sex_Male_0.0 (dro),TNR_sex_Male_0.0-sex_Male_1.0 (dro),TNR_sex_Male_0.0÷sex_Male_1.0 (dro),eta
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.3,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,3,3,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.6534431137724551,0.3338323353293413,0.9730538922155688,0.3367677708737439,0.7559880239520959,0.5508982035928144,0.2050898203592814,0.7287128712871287,0.309880239520958,0.0508982035928143,0.2589820359281437,0.1642512077294686,0.5658682634730539,0.1017964071856287,0.4640718562874251,0.1798941798941799,0.9461077844311376,1.0,0.0538922155688622,0.9461077844311376,0.3
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.3,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,2,2,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.6594311377245509,0.3892215568862275,0.9296407185628742,0.3825265510621863,0.75,0.5688622754491018,0.1811377245508981,0.7584830339321358,0.3907185628742515,0.0688622754491018,0.3218562874251497,0.1762452107279693,0.6407185628742516,0.1377245508982036,0.502994011976048,0.2149532710280373,0.8592814371257484,1.0,0.1407185628742515,0.8592814371257484,0.3
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.3,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,0,0,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.6856287425149701,0.4191616766467065,0.9520958083832336,0.3396831102433786,0.781437125748503,0.5898203592814372,0.1916167664670658,0.7547892720306514,0.3772455089820359,0.0898203592814371,0.2874251497005988,0.2380952380952381,0.6586826347305389,0.1796407185628742,0.4790419161676646,0.2727272727272727,0.9041916167664672,1.0,0.0958083832335329,0.9041916167664672,0.3
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.3,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,1,1,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.6459580838323353,0.3368263473053892,0.9550898203592816,0.3409338272353399,0.7350299401197605,0.5568862275449101,0.1781437125748504,0.7576374745417515,0.3248502994011976,0.0568862275449101,0.2679640718562874,0.1751152073732718,0.5598802395209581,0.1137724550898203,0.4461077844311377,0.2032085561497326,0.9101796407185628,1.0,0.0898203592814371,0.9101796407185628,0.3
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.3,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,5,5,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.6497005988023952,0.3458083832335329,0.9535928143712576,0.3544092618923267,0.7470059880239521,0.5523952095808383,0.1946107784431138,0.7394789579158316,0.3368263473053892,0.0553892215568862,0.281437125748503,0.1644444444444444,0.5838323353293413,0.1077844311377245,0.4760479041916167,0.1846153846153846,0.9101796407185628,0.997005988023952,0.0868263473053893,0.9129129129129128,0.3
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.3,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,4,4,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.6586826347305389,0.3667664670658682,0.9505988023952096,0.3687777955130308,0.7619760479041916,0.5553892215568862,0.2065868263473054,0.7288801571709234,0.3577844311377245,0.0583832335329341,0.2994011976047904,0.1631799163179916,0.6197604790419161,0.1137724550898203,0.5059880239520957,0.1835748792270531,0.9041916167664672,0.997005988023952,0.092814371257485,0.9069069069069068,0.3
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.3,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,6,6,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.6586826347305389,0.3682634730538922,0.9491017964071856,0.3641281171707091,0.7559880239520959,0.561377245508982,0.1946107784431138,0.7425742574257426,0.3577844311377245,0.061377245508982,0.2964071856287425,0.1715481171548117,0.6137724550898204,0.122754491017964,0.4910179640718562,0.1999999999999999,0.8982035928143712,1.0,0.1017964071856287,0.8982035928143712,0.3
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.3,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,7,7,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.6818862275449101,0.4520958083832335,0.9116766467065868,0.4399310330855552,0.7949101796407185,0.5688622754491018,0.2260479041916167,0.7156308851224107,0.4655688622754491,0.0748502994011976,0.3907185628742515,0.1607717041800643,0.7604790419161677,0.1437125748502994,0.6167664670658682,0.1889763779527559,0.8293413173652695,0.994011976047904,0.1646706586826346,0.8343373493975904,0.3
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.3,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,8,8,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.6729041916167665,0.3967065868263473,0.9491017964071856,0.3825204262805688,0.781437125748503,0.5643712574850299,0.217065868263473,0.7222222222222222,0.3832335329341317,0.0643712574850299,0.3188622754491018,0.1679687499999999,0.6646706586826348,0.1287425149700598,0.5359281437125749,0.1936936936936936,0.8982035928143712,1.0,0.1017964071856287,0.8982035928143712,0.3
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.3,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,9,9,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.6654191616766467,0.3712574850299401,0.9595808383233532,0.3128690948570428,0.7544910179640718,0.5763473053892215,0.1781437125748503,0.7638888888888888,0.3323353293413174,0.0793413173652694,0.2529940119760479,0.2387387387387387,0.5868263473053892,0.155688622754491,0.4311377245508981,0.2653061224489796,0.9221556886227544,0.997005988023952,0.0748502994011975,0.924924924924925,0.3
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.3,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,10,10,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.6706586826347305,0.3892215568862275,0.9520958083832336,0.3622332568202595,0.7754491017964071,0.5658682634730539,0.2095808383233532,0.7297297297297297,0.3682634730538922,0.0688622754491018,0.2994011976047904,0.1869918699186991,0.6437125748502994,0.1347305389221557,0.5089820359281437,0.2093023255813953,0.907185628742515,0.997005988023952,0.0898203592814371,0.9099099099099098,0.3
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.3,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,11,11,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.6392215568862275,0.309880239520958,0.968562874251497,0.3302712607940699,0.7320359281437125,0.5464071856287425,0.18562874251497,0.7464212678936605,0.2949101796407186,0.0464071856287425,0.248502994011976,0.1573604060913705,0.5269461077844312,0.092814371257485,0.4341317365269461,0.1761363636363636,0.937125748502994,1.0,0.0628742514970059,0.937125748502994,0.3
