seed,data,method,wandb_url,eta,Accuracy,TPR,TNR,Renyi preds and s,Accuracy_colour_1.0,Accuracy_colour_0.0,Accuracy_colour_0.0-colour_1.0,Accuracy_colour_0.0/colour_1.0,prob_pos_colour_1.0,prob_pos_colour_0.0,prob_pos_colour_0.0-colour_1.0,prob_pos_colour_0.0/colour_1.0,TPR_colour_1.0,TPR_colour_0.0,TPR_colour_0.0-colour_1.0,TPR_colour_0.0/colour_1.0,TNR_colour_1.0,TNR_colour_0.0,TNR_colour_0.0-colour_1.0,TNR_colour_0.0/colour_1.0
1,baseline,"dro",(None),0.01,0.7631578947368421,0.5203665987780041,0.9941860465116279,0.5658979421785557,0.9933014354066986,0.5149638802889577,0.4783375551177409,0.5184366617552608,0.49473684210526314,0.0,0.49473684210526314,0.0,0.998046875,0.0,0.998046875,0.0,0.9887429643527205,1.0,0.011257035647279534,0.9887429643527205
1,baseline,"dro",(None),0.1,0.769116186693148,0.5315682281059063,0.9951550387596899,0.5506536852602654,0.9952153110047847,0.5252837977296182,0.46993151327516647,0.5278092006033183,0.49473684210526314,0.010319917440660475,0.4844169246646027,0.020859407592824366,1.0,0.02127659574468085,0.9787234042553191,0.02127659574468085,0.9906191369606003,1.0,0.009380863039399667,0.9906191369606003
1,baseline,"dro",(None),0.5,0.8336643495531281,0.6659877800407332,0.9932170542635659,0.37253947985438746,0.9933014354066986,0.6615067079463365,0.3317947274603621,0.6659677358419284,0.4966507177033493,0.14654282765737875,0.35010789004597054,0.29506214817333487,1.0,0.3021276595744681,0.6978723404255319,0.3021276595744681,0.9868667917448405,1.0,0.013133208255159512,0.9868667917448405
1,baseline,"dro",(None),1.0,0.7507447864945382,0.5213849287169042,0.9689922480620154,0.5857934694653691,0.969377990430622,0.5149638802889577,0.45441411014166433,0.5312312486692604,0.5205741626794258,0.0,0.5205741626794258,0.0,1.0,0.0,1.0,0.0,0.9399624765478424,1.0,0.060037523452157626,0.9399624765478424
2,baseline,"dro",(None),0.01,0.766137040714995,0.5254582484725051,0.9951550387596899,0.574546463910103,0.525940996948118,0.9951503394762367,0.46920934252811863,0.5285040622353896,0.001017293997965412,0.504364694471387,0.5033474004734215,0.0020169809844275766,0.0021413276231263384,1.0,0.9978586723768736,0.0021413276231263384,1.0,0.9903100775193798,0.009689922480620172,0.9903100775193798
2,baseline,"dro",(None),0.1,0.7666335650446872,0.5254582484725051,0.9961240310077519,0.5737983222437697,0.525940996948118,0.9961202715809894,0.47017927463287135,0.5279894526324339,0.001017293997965412,0.5033947623666344,0.5023774683686689,0.002020867267634566,0.0021413276231263384,1.0,0.9978586723768736,0.0021413276231263384,1.0,0.9922480620155039,0.007751937984496138,0.9922480620155039
2,baseline,"dro",(None),0.5,0.7651439920556107,0.5244399185336049,0.9941860465116279,0.576814785409792,0.5249237029501526,0.9941804073714839,0.4692567044213314,0.5279964270649827,0.0,0.5053346265761397,0.5053346265761397,0.0,0.0,1.0,1.0,0.0,1.0,0.9883720930232558,0.011627906976744207,0.9883720930232558
2,baseline,"dro",(None),1.0,0.5119165839126117,0.5244399185336049,0.5,1.0,0.5249237029501526,0.49951503394762364,0.025408669002528916,0.9515955007180505,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
8,baseline,"dro",(None),0.01,0.7527308838133069,0.4989816700610998,0.9941860465116279,0.5715869341207598,0.9940179461615155,0.5133531157270029,0.4806648304345126,0.5164425025819297,0.4935194416749751,0.0009891196834817012,0.4925303219914934,0.0020042162475396898,1.0,0.002028397565922921,0.9979716024340771,0.002028397565922921,0.9883268482490273,1.0,0.011673151750972721,0.9883268482490273
8,baseline,"dro",(None),0.1,0.7552135054617676,0.5040733197556008,0.9941860465116279,0.5616491924660677,0.9930209371884346,0.5192878338278932,0.4737331033605414,0.5229374471178483,0.49252243270189433,0.006923837784371909,0.48559859491752244,0.014057913558147823,0.9979550102249489,0.014198782961460446,0.9837562272634884,0.01422787882818475,0.9883268482490273,1.0,0.011673151750972721,0.9883268482490273
