seed,data,method,wandb_url,cluster_test_acc,cluster_context_acc,Accuracy,TPR,TNR,Renyi preds and s,Accuracy_colour_2.0,Accuracy_colour_0.0,Accuracy_colour_1.0,Accuracy_colour_0.0-colour_1.0,Accuracy_colour_0.0-colour_2.0,Accuracy_colour_1.0-colour_2.0,Accuracy_colour_0.0/colour_1.0,Accuracy_colour_0.0/colour_2.0,Accuracy_colour_1.0/colour_2.0,prob_pos_colour_2.0,prob_pos_colour_0.0,prob_pos_colour_1.0,prob_pos_colour_0.0-colour_1.0,prob_pos_colour_0.0-colour_2.0,prob_pos_colour_1.0-colour_2.0,prob_pos_colour_0.0/colour_1.0,prob_pos_colour_0.0/colour_2.0,prob_pos_colour_1.0/colour_2.0,TPR_colour_2.0,TPR_colour_0.0,TPR_colour_1.0,TPR_colour_0.0-colour_1.0,TPR_colour_0.0-colour_2.0,TPR_colour_1.0-colour_2.0,TPR_colour_0.0/colour_1.0,TPR_colour_0.0/colour_2.0,TPR_colour_1.0/colour_2.0,TNR_colour_2.0,TNR_colour_0.0,TNR_colour_1.0,TNR_colour_0.0-colour_1.0,TNR_colour_0.0-colour_2.0,TNR_colour_1.0-colour_2.0,TNR_colour_0.0/colour_1.0,TNR_colour_0.0/colour_2.0,TNR_colour_1.0/colour_2.0
1,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/1yvsanu2,0.8103277060575969,0.8741684090477095,0.5139026812313804,0.003054989816700611,1.0,0.03029465719864851,0.5402124430955993,0.48295454545454547,0.5207373271889401,0.03778278173439459,0.05725789764105388,0.01947511590665929,0.9274436846339502,0.8940085546475997,0.9639491534199762,0.0,0.002840909090909091,0.0015360983102918587,0.0013048107806172323,0.002840909090909091,0.0015360983102918587,0.5407066052227343,0.0,0.0,0.0,0.00546448087431694,0.003194888178913738,0.002269592695403202,0.00546448087431694,0.003194888178913738,0.584664536741214,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
2,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/3f0iitb5,0.5188679245283019,0.6088957055214724,0.599304865938431,0.6843177189409368,0.5184108527131783,0.8428522324694099,0.5233644859813084,0.521551724137931,0.7514792899408284,0.2299275658028973,0.22811480395952,0.0018127618433773085,0.6940333966874831,0.6964456545735521,0.9965363300492612,0.0,1.0,0.6997041420118343,0.3002958579881657,0.6997041420118343,1.0,0.6997041420118343,0.0,0.0,0.0,1.0,0.987220447284345,0.012779552715655007,0.987220447284345,1.0,0.987220447284345,0.0,0.0,1.0,0.0,0.5482093663911846,0.5482093663911846,0.45179063360881544,1.0,0.0,0.5482093663911846,0.0
8,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/18t30iq6,0.9419066534260179,0.9214610143830432,0.5273088381330685,0.06619144602851323,0.9660852713178295,0.3368405002947593,0.523121387283237,0.4890829694323144,0.573228346456693,0.05010695917345598,0.08414537702437858,0.0340384178509226,0.9125881344089436,0.8532079274437352,0.9349320852131535,0.0,0.0,0.15748031496062992,0.15748031496062992,0.15748031496062992,0.0,0.0,0.0,nan,0.0,0.0,0.2159468438538206,0.2159468438538206,0.2159468438538206,0.0,0.0,0.0,nan,1.0,1.0,0.8952095808383234,0.10479041916167664,0.10479041916167664,0.0,0.8952095808383234,0.8952095808383234,1.0
5,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/xvvui6z4,0.8008937437934459,0.8836231607108733,0.5079443892750745,0.0,0.9912790697674418,0.09342472665800096,0.5061728395061729,0.5087976539589443,0.5087719298245614,0.002599090318388564,0.002624814452771407,2.5724134382842934e-05,0.9948914431673053,0.994841142775821,0.9999494413266596,0.0,0.0,0.013157894736842105,0.013157894736842105,0.0,0.013157894736842105,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,1.0,1.0,0.9747899159663865,0.025210084033613467,0.0,0.025210084033613467,0.9747899159663865,1.0,0.9747899159663865
3,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/15ez5am5,0.9428997020854022,0.952056092476786,0.4816285998013903,0.2790224032586558,0.6744186046511628,0.9314788214104108,0.503030303030303,0.5175953079178885,0.42410714285714285,0.0934881650607457,0.014565004887585498,0.0789231601731602,0.8193798057466612,0.9718602455146366,0.843104561101549,0.0,0.0,0.9077380952380952,0.9077380952380952,0.0,0.9077380952380952,0.0,nan,0.0,0.0,0.0,0.8430769230769231,0.8430769230769231,0.0,0.8430769230769231,0.0,nan,0.0,1.0,1.0,0.03170028818443804,0.968299711815562,0.0,0.968299711815562,0.03170028818443804,1.0,0.03170028818443804
6,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/290ib2ed,0.9319761668321748,0.9242337711783742,0.5124131082423039,0.0,1.0,1.0,0.5378787878787878,0.4971671388101983,0.5030864197530864,0.005919280942888128,0.04071164906858954,0.03479236812570141,0.9882340673282469,0.924310736942904,0.9353155972874283,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
4,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/3yba0hyf,0.8277060575968223,0.9100589465677885,0.48808341608738826,0.2637474541751528,0.7015503875968992,0.8757875813995637,0.5087719298245614,0.522342064714946,0.434654919236417,0.0741170105881444,0.01357013489038461,0.08768714547852902,0.8543217378095093,0.9740205972157534,0.8321269692756185,0.0,0.0,0.8325991189427313,0.8325991189427313,0.0,0.8325991189427313,0.0,nan,0.0,0.0,0.0,0.7708333333333334,0.7708333333333334,0.0,0.7708333333333334,0.0,nan,0.0,1.0,1.0,0.1072463768115942,0.8927536231884058,0.0,0.8927536231884058,0.1072463768115942,1.0,0.1072463768115942
7,x_zero_s,"pytorch_classifier",https://wandb.ai/predictive-analytics-lab/fdm/runs/1p1k6jhy,0.8152929493545183,0.8790049001130795,0.49205561072492554,0.14562118126272913,0.8217054263565892,0.638499133647183,0.5346687211093991,0.5097765363128491,0.42989214175654855,0.07988439455630059,0.024892184796549977,0.10477657935285056,0.8432952698566816,0.9534437235361356,0.8040345821325648,0.0,0.0,0.5038520801232665,0.5038520801232665,0.0,0.5038520801232665,0.0,nan,0.0,0.0,0.0,0.43465045592705165,0.43465045592705165,0.0,0.43465045592705165,0.0,nan,0.0,1.0,1.0,0.425,0.575,0.0,0.575,0.425,1.0,0.425
