seed,data,method,wandb_url,eta,Accuracy,TPR,TNR,Renyi preds and s,Accuracy_colour_2.0,Accuracy_colour_0.0,Accuracy_colour_1.0,Accuracy_colour_0.0-colour_1.0,Accuracy_colour_0.0-colour_2.0,Accuracy_colour_1.0-colour_2.0,Accuracy_colour_0.0/colour_1.0,Accuracy_colour_0.0/colour_2.0,Accuracy_colour_1.0/colour_2.0,prob_pos_colour_2.0,prob_pos_colour_0.0,prob_pos_colour_1.0,prob_pos_colour_0.0-colour_1.0,prob_pos_colour_0.0-colour_2.0,prob_pos_colour_1.0-colour_2.0,prob_pos_colour_0.0/colour_1.0,prob_pos_colour_0.0/colour_2.0,prob_pos_colour_1.0/colour_2.0,TPR_colour_2.0,TPR_colour_0.0,TPR_colour_1.0,TPR_colour_0.0-colour_1.0,TPR_colour_0.0-colour_2.0,TPR_colour_1.0-colour_2.0,TPR_colour_0.0/colour_1.0,TPR_colour_0.0/colour_2.0,TPR_colour_1.0/colour_2.0,TNR_colour_2.0,TNR_colour_0.0,TNR_colour_1.0,TNR_colour_0.0-colour_1.0,TNR_colour_0.0-colour_2.0,TNR_colour_1.0-colour_2.0,TNR_colour_0.0/colour_1.0,TNR_colour_0.0/colour_2.0,TNR_colour_1.0/colour_2.0
1,baseline,"dro",(None),0.01,0.8604766633565045,0.7169042769857433,0.997093023255814,0.4563169514393142,0.5796661608497724,0.9971590909090909,0.9969278033794163,0.00023128752967460642,0.41749293005931853,0.41726164252964393,0.9997680535314944,0.5813176313935039,0.5814524972468441,0.03945371775417299,0.5198863636363636,0.4838709677419355,0.03601539589442815,0.48043264588219065,0.4444172499877625,0.9307244843997885,0.0758891183031087,0.08153768335862417,0.0858085808580858,0.9972677595628415,1.0,0.002732240437158473,0.9114591787047557,0.9141914191419142,0.9972677595628415,0.08604367286043672,0.0858085808580858,1.0,0.9970414201183432,0.9940828402366864,0.00295857988165682,0.00295857988165682,0.00591715976331364,0.9970326409495549,0.9970414201183432,0.9940828402366864
2,baseline,"dro",(None),0.01,0.8490566037735849,0.6945010183299389,0.9961240310077519,0.478761009346829,0.5342679127725857,0.9971264367816092,0.9955621301775148,0.0015643066040943454,0.46129421740492915,0.4628585240090235,0.9984311853077095,0.5366494933644397,0.5358075897546393,0.010903426791277258,0.5244252873563219,0.46449704142011833,0.05992824593620355,0.45359361462884107,0.5135218605650447,0.8857258652832941,0.02347361946147588,0.020791191908846495,0.02287581699346405,1.0,0.9968051118210862,0.0031948881789137795,0.9739292948276221,0.9771241830065359,0.9968051118210862,0.022949136919725156,0.02287581699346405,1.0,0.993993993993994,0.9944903581267218,0.0004963641327278001,0.0055096418732781816,0.006006006006005982,0.9995008859274787,0.9944903581267218,0.993993993993994
1,baseline,"dro",(None),0.1,0.8798411122144985,0.7566191446028513,0.997093023255814,0.3936610160533796,0.6388467374810318,0.9971590909090909,0.9969278033794163,0.00023128752967460642,0.3583123534280591,0.3580810658983845,0.9997680535314944,0.6406668136561915,0.6408154485364433,0.09863429438543247,0.5198863636363636,0.4838709677419355,0.03601539589442815,0.42125206925093117,0.385236673356503,0.9307244843997885,0.18972279575777176,0.20384420839656045,0.2145214521452145,0.9972677595628415,1.0,0.002732240437158473,0.7827463074176271,0.7854785478547854,0.9972677595628415,0.21510918215109182,0.2145214521452145,1.0,0.9970414201183432,0.9940828402366864,0.00295857988165682,0.00295857988165682,0.00591715976331364,0.9970326409495549,0.9970414201183432,0.9940828402366864
2,baseline,"dro",(None),0.1,0.8709036742800397,0.7403258655804481,0.9951550387596899,0.4031099031985,0.6059190031152648,0.9956896551724138,0.9940828402366864,0.001606814935727452,0.38816383712142155,0.389770652057149,0.9983862291554598,0.6095256638480938,0.6085420291027768,0.08255451713395638,0.5258620689655172,0.4630177514792899,0.06284431748622732,0.3804632343453335,0.44330755183156084,0.8804927733048792,0.17829665681327322,0.1569889178285072,0.17320261437908496,1.0,0.9936102236421726,0.006389776357827448,0.8204076092630876,0.826797385620915,0.9936102236421726,0.1743164575583717,0.17320261437908496,1.0,0.990990990990991,0.9944903581267218,0.0034993671357308465,0.0055096418732781816,0.009009009009009028,0.996481245788725,0.9944903581267218,0.990990990990991
1,baseline,"dro",(None),0.5,0.9354518371400199,0.8706720977596741,0.997093023255814,0.22401872140936832,0.8088012139605463,0.9971590909090909,0.9969278033794163,0.00023128752967460642,0.18835787694854467,0.18812658941887006,0.9997680535314944,0.8111054909233968,0.8112936676245233,0.26858877086494687,0.5198863636363636,0.4838709677419355,0.03601539589442815,0.2512975927714168,0.21528219687698863,0.9307244843997885,0.5166297669096246,0.5550834597875568,0.5841584158415841,0.9972677595628415,1.0,0.002732240437158473,0.4131093437212574,0.4158415841584159,0.9972677595628415,0.5857588498575884,0.5841584158415841,1.0,0.9970414201183432,0.9940828402366864,0.00295857988165682,0.00295857988165682,0.00591715976331364,0.9970326409495549,0.9970414201183432,0.9940828402366864
2,baseline,"dro",(None),0.5,0.9016881827209533,0.8054989816700611,0.9932170542635659,0.3039229263534797,0.705607476635514,0.9942528735632183,0.992603550295858,0.0016493232673603364,0.28699607366034396,0.2886453969277043,0.9983411430721347,0.7108653564912183,0.7096861325698234,0.1822429906542056,0.5272988505747126,0.46449704142011833,0.06280180915459427,0.2822540507659127,0.345055859920507,0.8808990213307967,0.39234478242752546,0.34561613486465154,0.38235294117647056,1.0,0.9936102236421726,0.006389776357827448,0.611257282465702,0.6176470588235294,0.9936102236421726,0.3848118025345186,0.38235294117647056,1.0,0.987987987987988,0.9917355371900827,0.0037475492020946355,0.008264462809917328,0.012012012012011963,0.9962212212212213,0.9917355371900827,0.987987987987988
1,baseline,"dro",(None),1.0,0.6499503475670307,0.6904276985743381,0.6114341085271318,0.8154933894942963,0.5402124430955993,0.9090909090909091,0.4807987711213518,0.4282921379695573,0.3688784659953097,0.05941367197424757,0.528878648233487,0.5942336874051592,0.8900179499128394,0.0,0.6079545454545454,1.0,0.3920454545454546,0.6079545454545454,1.0,0.6079545454545454,0.0,0.0,0.0,0.9972677595628415,1.0,0.002732240437158473,0.9972677595628415,1.0,0.9972677595628415,0.0,0.0,1.0,0.8136094674556213,0.0,0.8136094674556213,0.18639053254437865,1.0,0.0,0.8136094674556213,0.0
2,baseline,"dro",(None),1.0,0.8470705064548163,0.7016293279022403,0.9854651162790697,0.4188036146030591,0.5903426791277259,0.9798850574712644,0.9541420118343196,0.02574304563694485,0.3637993327065937,0.38954237834353855,0.9737285047458745,0.6187157381245623,0.6024611505467701,0.06697819314641744,0.5416666666666666,0.42011834319526625,0.12154832347140038,0.3531401500488488,0.4746884735202492,0.7756030951297224,0.1594269667851345,0.12365204888569374,0.14052287581699346,1.0,0.9041533546325878,0.09584664536741216,0.7636304788155943,0.8594771241830066,0.9041533546325878,0.15541929374812352,0.14052287581699346,1.0,0.9579579579579579,0.9972451790633609,0.03928722110540295,0.0027548209366391463,0.042042042042042094,0.9606042506594993,0.9972451790633609,0.9579579579579579
8,baseline,"dro",(None),0.01,0.8212512413108243,0.6425661914460286,0.9912790697674418,0.49114021200332286,0.9898843930635838,0.4890829694323144,0.9968503937007874,0.006966000637203651,0.5077674242684731,0.5008014236312694,0.99301198988211,0.4906282552757024,0.49408089758709717,0.4869942196531792,0.0,0.47716535433070867,0.009828865322470515,0.47716535433070867,0.4869942196531792,0.9798172854505947,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9806629834254144,1.0,0.9940119760479041,0.013348992622489786,0.005988023952095856,0.01933701657458564,0.9865705917593024,0.9940119760479041,0.9806629834254144
8,baseline,"dro",(None),0.1,0.8212512413108243,0.6425661914460286,0.9912790697674418,0.49114021200332286,0.9898843930635838,0.4890829694323144,0.9968503937007874,0.006966000637203651,0.5077674242684731,0.5008014236312694,0.99301198988211,0.4906282552757024,0.49408089758709717,0.4869942196531792,0.0,0.47716535433070867,0.009828865322470515,0.47716535433070867,0.4869942196531792,0.9798172854505947,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9806629834254144,1.0,0.9940119760479041,0.013348992622489786,0.005988023952095856,0.01933701657458564,0.9865705917593024,0.9940119760479041,0.9806629834254144
