"Name","misc.seed","Runtime","Group","Hostname","State","bias.log_dataset","fdm.balanced_context","fdm.lr","misc.data_split_seed","misc.exp_group","misc.log_method","Accuracy (pytorch_classifier)","Accuracy Discriminator (zy)","Accuracy Predictor s","Accuracy Predictor y","Accuracy_colour_0.0 (pytorch_classifier)","Accuracy_colour_0.0-colour_1.0 (pytorch_classifier)","Accuracy_colour_0.0-colour_2.0 (pytorch_classifier)","Accuracy_colour_0.0÷colour_1.0 (pytorch_classifier)","Accuracy_colour_0.0÷colour_2.0 (pytorch_classifier)","Accuracy_colour_1.0 (pytorch_classifier)","Accuracy_colour_1.0-colour_2.0 (pytorch_classifier)","Accuracy_colour_1.0÷colour_2.0 (pytorch_classifier)","Accuracy_colour_2.0 (pytorch_classifier)","ELBO","Learning rate","Loss Adversarial","Loss Generator","Loss Predictor s","Loss Predictor y","Loss reconstruction","Prior Loss","Renyi preds and s (pytorch_classifier)","TNR (pytorch_classifier)","TNR_colour_0.0 (pytorch_classifier)","TNR_colour_0.0-colour_1.0 (pytorch_classifier)","TNR_colour_0.0-colour_2.0 (pytorch_classifier)","TNR_colour_0.0÷colour_1.0 (pytorch_classifier)","TNR_colour_0.0÷colour_2.0 (pytorch_classifier)","TNR_colour_1.0 (pytorch_classifier)","TNR_colour_1.0-colour_2.0 (pytorch_classifier)","TNR_colour_1.0÷colour_2.0 (pytorch_classifier)","TNR_colour_2.0 (pytorch_classifier)","TPR (pytorch_classifier)","TPR_colour_0.0 (pytorch_classifier)","TPR_colour_0.0-colour_1.0 (pytorch_classifier)","TPR_colour_0.0-colour_2.0 (pytorch_classifier)","TPR_colour_0.0÷colour_1.0 (pytorch_classifier)","TPR_colour_0.0÷colour_2.0 (pytorch_classifier)","TPR_colour_1.0 (pytorch_classifier)","TPR_colour_1.0-colour_2.0 (pytorch_classifier)","TPR_colour_1.0÷colour_2.0 (pytorch_classifier)","TPR_colour_2.0 (pytorch_classifier)","prob_pos_colour_0.0 (pytorch_classifier)","prob_pos_colour_0.0-colour_1.0 (pytorch_classifier)","prob_pos_colour_0.0-colour_2.0 (pytorch_classifier)","prob_pos_colour_0.0÷colour_1.0 (pytorch_classifier)","prob_pos_colour_0.0÷colour_2.0 (pytorch_classifier)","prob_pos_colour_1.0 (pytorch_classifier)","prob_pos_colour_1.0-colour_2.0 (pytorch_classifier)","prob_pos_colour_1.0÷colour_2.0 (pytorch_classifier)","prob_pos_colour_2.0 (pytorch_classifier)"
"fanciful-salad-139","30","3791",".same_as_for2.zs2.even_longer.3dig_4miss","turing","finished","3dig_4miss","false","0.0003","30","same_as_for2.zs2.even_longer","","0.97442799461642","100","100","100","0.9980879541108988","0.05756376056251156","0.014147911284346226","0.942325964034112","0.9858249854373312","0.9405241935483872","0.04341584927816533","0.9558755133560322","0.9839400428265525","0.9555076360702516","","-0.0006269931909628212","1.0369120836257937","0.06548270583152771","0.016548670828342438","0.012414542492479086","0.0066956100054085255","0.032295799951021845","0.9804020100502512","0.998529411764706","0.05170518724476491","0.0016889694266332134","0.9482186637313106","0.9983085431368032","0.946824224519941","0.0500162178181317","0.949825252172936","0.9968404423380728","0.9938900203665988","0.9972677595628416","0.002732240437158473","0.013879055243904648","0.9972677595628416","0.986082919947208","1","0.01661129568106312","0.9833887043189368","0.9833887043189368","0.34990439770554493","0.00392624745574538","0.0308465818597205","0.9889035969341896","0.9118428288927114","0.3538306451612903","0.03477282931546588","0.9017246533306492","0.31905781584582443"
"fancy-pond-136","29","3837",".same_as_for2.zs2.even_longer.3dig_4miss","turing","finished","3dig_4miss","false","0.0003","29","same_as_for2.zs2.even_longer","","0.9784656796769852","85","100","100","0.9929577464788732","0.02213279678068414","0.02141303103171877","0.977710233029382","0.9784351034999712","0.9708249496981892","0.000719765748965373","0.9992591532458348","0.9715447154471544","1.0369672775268557","","-0.019876282662153244","1.1035515069961548","0.061394236981868744","0.025066282600164413","0.01382161770015955","0.006917728576809168","0.050256570839923465","0.992462311557789","0.9969230769230768","0.016471949103528005","0.003076923076923088","0.983477211547387","0.9969230769230768","0.9804511278195488","0.019548872180451093","0.9804511278195488","1","0.9786150712830958","0.9912790697674418","0.005681416554746632","0.04629525099721532","0.994301262053318","0.9532974594045688","0.9969604863221884","0.05197666755196195","0.9478648669981844","0.9449838187702264","0.34507042253521125","0.0020120724346076035","0.04832245505553645","0.9941690962099128","0.8599634975941597","0.34305835010060365","0.04631038262092885","0.8650072717735975","0.2967479674796748"
"toasty-firebrand-132","28","3777",".same_as_for2.zs2.even_longer.3dig_4miss","turing","finished","3dig_4miss","false","0.0003","28","same_as_for2.zs2.even_longer","","0.8718034993270525","95","100","100","0.998062015503876","0.3368879681300345","0.04966160270717834","0.6624578804755382","0.9502419669963028","0.6611740473738414","0.2872263654228562","0.6971465200274781","0.9484004127966976","0.8613569736480713","","-0.007026460021734238","0.9380506873130798","0.06549252569675446","0.01822761818766594","0.009851155336946247","0.007375984452664852","0.3851088187596449","0.8879396984924623","0.9970760233918128","0.33143185161267175","0.0016631793551156182","0.6675962074735081","0.9983319432860718","0.6656441717791411","0.32976867225755613","0.6687116564417178","0.9954128440366972","0.9684317718940936","1","0","0.0984126984126984","1","0.9015873015873016","1","0.0984126984126984","0.9015873015873016","0.9015873015873016","0.3391472868217054","0.21389081822463857","0.0429656562747498","0.6132439767297504","0.873312693498452","0.553038105046344","0.25685647449938837","0.5355537490895603","0.2961816305469556"
"ancient-pond-127","27","3800",".same_as_for2.zs2.even_longer.3dig_4miss","turing","finished","3dig_4miss","false","0.0003","27","same_as_for2.zs2.even_longer","","0.8435397039030955","95","100","100","0.9980392156862744","0.13306856989371096","0.3475015812776724","0.8666699987312523","0.6518157044172634","0.8649706457925636","0.21443301138396145","0.7520921519972753","0.6505376344086021","1.1425776481628418","","-0.01199602521955967","1.2766637802124023","0.07133488357067108","0.07474733889102936","0.01347382040694356","0.009377731010317802","0.37125504553464334","0.9944723618090452","0.9985443959243084","0.01299526297633169","0.0014556040756914523","0.9869857934916328","0.9985443959243084","0.9855491329479767","0.014450867052023142","0.9855491329479767","1","0.6741344195519349","0.996996996996997","0.009118209118209042","0.9844578120440188","0.9908543263964952","0.012576953582354496","0.987878787878788","0.97533960292581","0.012693039983075943","0.012539184952978056","0.3264705882352941","0.002296535052377091","0.32216951296647695","0.993014705882353","0.013174464787368011","0.3287671232876712","0.32446604801885404","0.013082437275985664","0.004301075268817204"
"ruby-brook-122","26","3773",".same_as_for2.zs2.even_longer.3dig_4miss","turing","finished","3dig_4miss","false","0.0003","26","same_as_for2.zs2.even_longer","","0.9616419919246298","95","100","100","0.9929718875502008","0.02484439751036016","0.07013238137736133","0.9749797574112046","0.929371231696813","0.9681274900398408","0.04528798386700117","0.9532210537011634","0.9228395061728396","1.0358753204345703","","-0.014565156772732736","1.1159474849700928","0.07216154783964157","0.02247573621571064","0.014222967438399792","0.00649453978985548","0.06282370226296839","0.9919597989949748","0.9955555555555556","0.014645129711209017","0.004444444444444473","0.9852894902454372","0.9955555555555556","0.9809104258443464","0.019089574155653488","0.9809104258443464","1","0.929735234215886","0.9906542056074766","0.00315384392812712","0.1800033180335121","0.9968265059539406","0.8182985374567378","0.9938080495356038","0.18315716196163925","0.8157016719202197","0.8106508875739645","0.32228915662650603","0.010380166082657294","0.040396152511279704","0.9687973450688984","0.8746586669743471","0.33266932270916333","0.050776318593937","0.8473669944062493","0.28189300411522633"
"wild-serenity-115","25","3787",".same_as_for2.zs2.even_longer.3dig_4miss","turing","finished","3dig_4miss","false","0.0003","25","same_as_for2.zs2.even_longer","","0.7257738896366084","95","100","100","0.9938335046248716","0.6652475432820435","0.1404870479319581","0.33062475738011554","0.8586412640767371","0.3285859613428281","0.5247604953500853","0.38505575170047673","0.8533464566929134","1.033460021018982","","-0.007442835718393326","1.10687518119812","0.06288229674100876","0.01797563210129738","0.014591953717172146","0.006077247206121683","0.5867528144700026","0.6407035175879398","0.9955089820359282","0.969355135882082","0.11306850584545204","0.026271833429728164","0.886421410669531","0.026153846153846153","0.85628663003663","0.029638085354780127","0.8824404761904762","0.9582484725050916","0.99672131147541","0.035760350514448924","0.07520968356843316","0.9641220167535955","0.9245429161566708","0.960960960960961","0.03944933305398424","0.9589480377906976","0.9215116279069768","0.31551901336073995","0.6539621667002977","0.07424476616681908","0.3254514062262407","0.8095134282184642","0.9694811800610376","0.5797174005334786","0.40203336335319045","0.38976377952755903"
"northern-sunset-113","24","3789",".same_as_for2.zs2.even_longer.3dig_4miss","turing","finished","3dig_4miss","false","0.0003","24","same_as_for2.zs2.even_longer","","0.8209959623149394","100","100","100","0.9823284823284824","0.3416878416878417","0.13663115295162775","0.6521653929061336","0.8609109321275493","0.6406406406406406","0.20505668873621397","0.7575294592838452","0.8456973293768546","0.8500099182128906","","-5.245073566584324e-7","0.9278727769851683","0.0655224472284317","0.012340955436229706","0.01143201533704996","0.005568182561546564","0.28524799970376047","0.8140703517587939","0.9925149700598802","0.403284200829111","0.13834830339321358","0.5936744401902773","0.8606083459024635","0.5892307692307692","0.2649358974358974","0.6898311444652908","0.8541666666666666","0.980651731160896","0.9727891156462584","0.02434555484084755","0.0022876407200047577","0.9755844866682304","0.9976483693297852","0.997134670487106","0.026633195560852307","0.9732902722679958","0.9705014749262536","0.3024948024948025","0.31312081312081314","0.11985930235188395","0.49136960600375235","0.7162113473588884","0.6156156156156156","0.19326151076892917","0.6860678873851053","0.4223541048466865"
"logical-sound-111","23","3775",".same_as_for2.zs2.even_longer.3dig_4miss","turing","finished","3dig_4miss","false","0.0003","23","same_as_for2.zs2.even_longer","","0.8048452220726783","100","100","100","0.9927760577915375","0.5192526362029429","0.04762424584246816","0.4769690182113808","0.952029215986121","0.47352342158859473","0.4716283903604748","0.5010025009761194","0.9451518119490696","1.1475805044174194","","-0.003302976256236434","1.209444284439087","0.050465501844882965","0.01470122579485178","0.017176405526697636","0.005775203462690115","0.30572880875569225","0.8296482412060302","1","0.4813153961136024","0.024853801169590684","0.5186846038863976","0.9751461988304092","0.5186846038863976","0.4564615949440118","0.5319044513617631","0.9751461988304092","0.960285132382892","0.9879518072289156","0.019900689018052975","0.06213578349004323","0.9798566196524586","0.9371064630527612","0.9680511182108626","0.04223509447199025","0.9563710080206832","0.9258160237388724","0.3384932920536636","0.29796291975896366","0.01626018725444711","0.5318406604747162","0.9519630443610998","0.6364562118126272","0.3142231070134108","0.5062926542605289","0.32223310479921646"
"major-bush-105","22","3790",".same_as_for2.zs2.even_longer.3dig_4miss","turing","finished","3dig_4miss","false","0.0003","22","same_as_for2.zs2.even_longer","","0.8246971736204576","90","100","100","0.9970238095238096","0.4240014971505843","0.0962058136137891","0.5747328267385184","0.9035070048530354","0.5730223123732252","0.3277956835367952","0.6361133047684612","0.9008179959100204","0.9261431097984314","","-0.016769055277109146","1.00168776512146","0.06725681573152542","0.025056827813386917","0.01087321899831295","0.00764964334666729","0.42616170085809857","0.8567839195979899","0.9970282317979198","0.4245206789278292","0.002971768202080227","0.5742139837281236","0.9970282317979198","0.5725075528700906","0.4274924471299094","0.5725075528700906","1","0.9287169042769856","1","0","0.21671826625386992","1","0.7832817337461301","1","0.21671826625386992","0.7832817337461301","0.7832817337461301","0.3343253968253968","0.28129326443220964","0.07563419028142954","0.5430722261447138","0.7737707305528755","0.6156186612576064","0.3569274547136392","0.4202133931669716","0.25869120654396727"
"whole-darkness-103","21","3810",".same_as_for2.zs2.even_longer.3dig_4miss","turing","finished","3dig_4miss","false","0.0003","21","same_as_for2.zs2.even_longer","","0.7526917900403769","85","100","100","0.9990089197224976","0.654598043589567","0.08457593003177588","0.34475255358941165","0.9153401652757324","0.34441087613293053","0.5700221135577911","0.3766387258725396","0.9144329896907216","1.123327612876892","","-0.027920184656977657","1.211137294769287","0.07079154253005981","0.04493820667266846","0.014968824107199907","0.007497727870941162","0.602592711583594","0.6844221105527638","0.9985652797704448","0.9233440408323916","0.001434720229555264","0.0753293154307802","0.9985652797704448","0.0752212389380531","0.9247787610619468","0.0752212389380531","1","0.9470468431771896","1","0","0.14647887323943665","1","0.8535211267605634","1","0.14647887323943665","0.8535211267605634","0.8535211267605634","0.31020812685827553","0.6384323565254102","0.0021630071623430225","0.32700283436334143","0.9930755216255024","0.9486404833836858","0.6362693493630672","0.329282947008996","0.31237113402061856"
