seed,data,method,wandb_url,Accuracy,TPR,TNR,Renyi preds and s,Accuracy_colour_2.0,Accuracy_colour_1.0,Accuracy_colour_0.0,Accuracy_colour_0.0-colour_1.0,Accuracy_colour_0.0-colour_2.0,Accuracy_colour_1.0-colour_2.0,Accuracy_colour_0.0÷colour_1.0,Accuracy_colour_0.0÷colour_2.0,Accuracy_colour_1.0÷colour_2.0,prob_pos_colour_2.0,prob_pos_colour_1.0,prob_pos_colour_0.0,prob_pos_colour_0.0-colour_1.0,prob_pos_colour_0.0-colour_2.0,prob_pos_colour_1.0-colour_2.0,prob_pos_colour_0.0÷colour_1.0,prob_pos_colour_0.0÷colour_2.0,prob_pos_colour_1.0÷colour_2.0,TPR_colour_2.0,TPR_colour_1.0,TPR_colour_0.0,TPR_colour_0.0-colour_1.0,TPR_colour_0.0-colour_2.0,TPR_colour_1.0-colour_2.0,TPR_colour_0.0÷colour_1.0,TPR_colour_0.0÷colour_2.0,TPR_colour_1.0÷colour_2.0,TNR_colour_2.0,TNR_colour_1.0,TNR_colour_0.0,TNR_colour_0.0-colour_1.0,TNR_colour_0.0-colour_2.0,TNR_colour_1.0-colour_2.0,TNR_colour_0.0÷colour_1.0,TNR_colour_0.0÷colour_2.0,TNR_colour_1.0÷colour_2.0
1,baseline,"cnn",(None),0.5642664872139973,0.6619144602851323,0.678391959798995,0.8633123576516771,0.3659244917715392,0.3395252837977296,1.0,0.6604747162022704,0.6340755082284608,0.02639920797380957,0.3395252837977296,0.3659244917715392,0.9278561327064939,0.0,0.9979360165118679,0.33298969072164947,0.6649463257902184,0.33298969072164947,0.9979360165118679,0.33367839742427957,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.003115264797507788,1.0,0.9968847352024922,0.0,0.9968847352024922,0.003115264797507788,1.0,0.003115264797507788
2,baseline,"cnn",(None),0.6063257065948856,0.6680244399185336,0.7040201005025125,0.8210124551183637,0.42744323790720634,0.9969604863221885,0.39609053497942387,0.6008699513427647,0.5695172484149822,0.03135270292778247,0.3972981280738733,0.428746418510582,0.9266506049287676,0.0019743336623889436,0.3434650455927052,0.9300411522633745,0.5865761066706693,0.34149071193031627,0.9280668186009855,0.36930091185410335,0.005748281194035066,0.002122845486550944,0.0061162079510703364,0.9970414201183432,1.0,0.00295857988165682,0.9909252121672728,0.9938837920489296,0.9970414201183432,0.00613435693608835,0.0061162079510703364,1.0,0.9969183359013868,0.10381679389312977,0.893101542008257,0.0030816640986132127,0.8961832061068702,0.10413771133947639,0.9969183359013868,0.10381679389312977
3,baseline,"cnn",(None),0.5629205921938089,0.6415478615071283,0.6934673366834171,0.8594900284836319,0.995136186770428,0.33114035087719296,0.3372093023255814,0.6639958358932351,0.6579268844448467,0.006068951448388427,0.332758827665449,0.3388574416331355,0.9820024198427102,0.32490272373540857,0.993421052631579,0.0,0.6685183288961705,0.32490272373540857,0.993421052631579,0.32705439740253045,0.0,0.0,0.9881305637982196,1.0,0.0,0.011869436201780381,0.9881305637982196,1.0,0.9881305637982196,0.0,0.0,0.9985528219971056,0.00975609756097561,1.0,0.98879672443613,0.0014471780028944004,0.9902439024390244,0.009770236832803111,0.9985528219971056,0.00975609756097561
4,baseline,"cnn",(None),0.5494616419919246,0.6741344195519349,0.6628140703517588,0.8605902336007816,0.31794871794871793,0.9959758551307847,0.3320039880358923,0.6639718670948924,0.6780271371820668,0.014055270087174387,0.3333454182905828,0.3192333592333592,0.9576653576653577,0.0010256410256410256,0.33601609657947684,0.9950149551345963,0.6589988585551194,0.33499045555383583,0.9939893141089552,0.33769954395712953,0.003052356824811915,0.0010307795077334155,0.0031446540880503146,0.9910714285714286,1.0,0.008928571428571397,0.9879267744833783,0.9968553459119497,0.9910714285714286,0.0031729843050597767,0.0031446540880503146,1.0,0.9984802431610942,0.007407407407407408,0.9910728357536868,0.001519756838905817,0.9925925925925926,0.007418682000112747,0.9984802431610942,0.007407407407407408
5,baseline,"cnn",(None),0.5750336473755047,0.6629327902240326,0.678894472361809,0.8488445939537912,0.35,0.9961089494163424,0.35477178423236516,0.6461089494163424,0.6413371651839772,0.004771784232365184,0.35136718749999996,0.35615761151452285,0.9865497076023391,0.9836734693877551,0.31712062256809337,0.0,0.6665528468196618,0.31712062256809337,0.9836734693877551,0.3223840353908003,0.0,0.0,1.0,0.9938650306748467,0.0,0.006134969325153339,0.9938650306748467,1.0,0.9938650306748467,0.0,0.0,0.02450229709035222,0.9971509971509972,1.0,0.972648700060645,0.002849002849002802,0.9754977029096478,0.024572303653467513,0.9971509971509972,0.02450229709035222
6,baseline,"cnn",(None),0.5528263795423957,0.6476578411405295,0.6658291457286433,0.8589077621692582,0.9940298507462687,0.32451678535096645,0.33028455284552843,0.6695130653953023,0.6637452979007403,0.005767767494561982,0.3264658351128341,0.33226824385360965,0.9825369747241569,0.3144278606965174,1.0,0.0020325203252032522,0.6855721393034826,0.31239534037131417,0.9979674796747967,0.3144278606965174,0.006464186477307812,0.0020325203252032522,0.9905660377358491,1.0,0.005797101449275362,0.009433962264150941,0.9847689362865737,0.9942028985507246,0.9905660377358491,0.005852311939268461,0.005797101449275362,0.9985443959243085,0.0,1.0,0.9985443959243085,0.0014556040756914523,1.0,0.0,0.9985443959243085,0.0
7,baseline,"cnn",(None),0.5770524899057874,0.6558044806517311,0.6703517587939698,0.8481937085782313,0.3333333333333333,0.99581589958159,0.42151162790697677,0.6624825662482567,0.5743042716746132,0.08817829457364346,0.33473389355742295,0.4232826851670901,0.7908045977011493,0.9888211382113821,0.34205020920502094,0.0,0.6467709290063611,0.34205020920502094,0.9888211382113821,0.34591716943241585,0.0,0.0,1.0,0.9969418960244648,0.0,0.003058103975535187,0.9969418960244648,1.0,0.9969418960244648,0.0,0.0,0.016516516516516516,0.9984101748807631,1.0,0.9818936583642466,0.0015898251192368873,0.9834834834834835,0.01654281670205237,0.9984101748807631,0.016516516516516516
8,baseline,"cnn",(None),0.5501345895020189,0.6710794297352343,0.6547738693467337,0.863837790311116,0.9939759036144579,0.33783783783783783,0.31382978723404253,0.65613806577662,0.6801461163804153,0.024008050603795295,0.33988533988533987,0.31573178594455187,0.928936170212766,0.3112449799196787,1.0,0.0,0.6887550200803213,0.3112449799196787,1.0,0.3112449799196787,0.0,0.0,0.9903846153846154,1.0,0.0,0.009615384615384581,0.9903846153846154,1.0,0.9903846153846154,0.0,0.0,0.9985380116959064,0.0,1.0,0.9985380116959064,0.0014619883040936088,1.0,0.0,0.9985380116959064,0.0
9,baseline,"cnn",(None),0.5656123822341858,0.6619144602851323,0.6874371859296482,0.8627956007035104,0.34124629080118696,0.995004995004995,0.3541666666666667,0.6408383283383283,0.653758704203808,0.012920375865479727,0.35594461178045517,0.3429593745903496,0.9635189387327632,0.0,0.3256743256743257,0.9854166666666667,0.6597423409923411,0.3256743256743257,0.9854166666666667,0.3304940302826138,0.0,0.0,0.0,0.9938650306748467,1.0,0.006134969325153339,0.9938650306748467,1.0,0.9938650306748467,0.0,0.0,1.0,0.997037037037037,0.022082018927444796,0.9749550181095923,0.002962962962962945,0.9779179810725552,0.02214764156913111,0.997037037037037,0.022082018927444796
10,baseline,"cnn",(None),0.5713324360699865,0.6435845213849287,0.6648241206030151,0.8497622195294904,0.3179959100204499,0.3953953953953954,0.9969849246231156,0.6789890146026657,0.6015895292277202,0.07739948537494551,0.3189575911999472,0.3965911475992121,0.804247883823872,1.0,0.001001001001001001,0.32160804020100503,0.6783919597989949,0.32060703920000405,0.998998998998999,0.32160804020100503,0.0031124874874874876,0.001001001001001001,1.0,0.002857142857142857,0.9968847352024922,0.0031152647975077885,0.9940275923453493,0.9971428571428571,0.9968847352024922,0.0028660714285714288,0.002857142857142857,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
