seed,data,method,wandb_url,Accuracy,TPR,TNR,Renyi preds and s,Accuracy_colour_2.0,Accuracy_colour_1.0,Accuracy_colour_0.0,Accuracy_colour_0.0-colour_1.0,Accuracy_colour_0.0-colour_2.0,Accuracy_colour_1.0-colour_2.0,Accuracy_colour_0.0÷colour_1.0,Accuracy_colour_0.0÷colour_2.0,Accuracy_colour_1.0÷colour_2.0,prob_pos_colour_2.0,prob_pos_colour_1.0,prob_pos_colour_0.0,prob_pos_colour_0.0-colour_1.0,prob_pos_colour_0.0-colour_2.0,prob_pos_colour_1.0-colour_2.0,prob_pos_colour_0.0÷colour_1.0,prob_pos_colour_0.0÷colour_2.0,prob_pos_colour_1.0÷colour_2.0,TPR_colour_2.0,TPR_colour_1.0,TPR_colour_0.0,TPR_colour_0.0-colour_1.0,TPR_colour_0.0-colour_2.0,TPR_colour_1.0-colour_2.0,TPR_colour_0.0÷colour_1.0,TPR_colour_0.0÷colour_2.0,TPR_colour_1.0÷colour_2.0,TNR_colour_2.0,TNR_colour_1.0,TNR_colour_0.0,TNR_colour_0.0-colour_1.0,TNR_colour_0.0-colour_2.0,TNR_colour_1.0-colour_2.0,TNR_colour_0.0÷colour_1.0,TNR_colour_0.0÷colour_2.0,TNR_colour_1.0÷colour_2.0,eta
1,baseline,"dro",(None),0.573014804845222,0.6629327902240326,0.685427135678392,0.8550818164079996,0.377541142303969,0.3539731682146543,1.0,0.6460268317853457,0.622458857696031,0.023567974089314714,0.3539731682146543,0.377541142303969,0.9375750840147126,0.000968054211035818,0.9834881320949432,0.33298969072164947,0.6504984413732937,0.33202163651061367,0.9825200778839074,0.338580283640376,0.0029071597049682464,0.0009843069574960207,0.0030120481927710845,1.0,1.0,0.0,0.9969879518072289,0.9969879518072289,1.0,0.0030120481927710845,0.0030120481927710845,1.0,0.024922118380062305,1.0,0.9750778816199377,0.0,0.9750778816199377,0.024922118380062305,1.0,0.024922118380062305,0.01
1,baseline,"dro",(None),0.5831090174966352,0.6670061099796334,0.7045226130653266,0.8381679918851275,0.3697967086156825,0.3931888544891641,1.0,0.6068111455108359,0.6302032913843175,0.023392145873481596,0.3931888544891641,0.3697967086156825,0.9405065896288618,0.00484027105517909,0.9442724458204335,0.33298969072164947,0.611282755098784,0.3281494196664704,0.9394321747652544,0.3526415413216157,0.01453579852484123,0.005125926396140478,0.015060240963855422,1.0,1.0,0.0,0.9849397590361446,0.9849397590361446,1.0,0.015060240963855422,0.015060240963855422,1.0,0.08411214953271028,1.0,0.9158878504672897,0.0,0.9158878504672897,0.08411214953271028,1.0,0.08411214953271028,0.3
1,baseline,"dro",(None),0.5423956931359354,0.5926680244399185,0.699497487437186,0.8573840393556892,0.3543078412391094,0.38080495356037153,0.9041237113402062,0.5233187577798346,0.5498158701010968,0.026497112321262117,0.4211867787383813,0.391879824403576,0.9304181521970109,0.0,0.9545923632610939,0.26288659793814434,0.6917057653229495,0.26288659793814434,0.9545923632610939,0.275391473948175,0.0,0.0,0.0,1.0,0.7894736842105263,0.21052631578947367,0.7894736842105263,1.0,0.7894736842105263,0.0,0.0,1.0,0.06853582554517133,1.0,0.9314641744548287,0.0,0.9314641744548287,0.06853582554517133,1.0,0.06853582554517133,0.1
1,baseline,"dro",(None),0.5740242261103634,0.6741344195519349,0.6763819095477387,0.8450401739744083,0.4036786060019361,0.33746130030959753,0.9917525773195877,0.6542912770099901,0.5880739713176515,0.06621730569233858,0.3402676312893031,0.40703560064644284,0.8359652835007536,0.017424975798644726,1.0,0.3288659793814433,0.6711340206185568,0.3114410035827986,0.9825750242013552,0.3288659793814433,0.05298503612754039,0.017424975798644726,0.05421686746987952,1.0,0.9814241486068112,0.018575851393188847,0.9272072811369316,0.9457831325301205,0.9814241486068112,0.05524305423587093,0.05421686746987952,1.0,0.0,0.9969088098918083,0.9969088098918083,0.0030911901081916993,1.0,0.0,0.9969088098918083,0.0,1.0
2,baseline,"dro",(None),0.5810901749663526,0.670061099796334,0.6758793969849246,0.8469848356168492,0.40868706811451133,0.9979736575481256,0.3374485596707819,0.6605250978773437,0.5892865894336143,0.07123850844372942,0.3381337344112302,0.4095168895726119,0.8256893501123239,0.003948667324777887,0.342451874366768,0.9886831275720165,0.6462312532052485,0.3385032070419901,0.9847344602472387,0.346371718922475,0.011530575886259688,0.003993865389889809,0.012232415902140673,0.9970414201183432,1.0,0.00295857988165682,0.9848090042162025,0.9877675840978594,0.9970414201183432,0.0122687138721767,0.012232415902140673,1.0,0.9984591679506933,0.016793893129770993,0.9816652748209224,0.0015408320493066618,0.983206106870229,0.016819809631514467,0.9984591679506933,0.016793893129770993,0.01
2,baseline,"dro",(None),0.6450201884253028,0.675152749490835,0.7336683417085427,0.7614681539176387,0.4827245804540967,0.9959473150962512,0.45781893004115226,0.538128385055099,0.5132227346421545,0.024905650412944458,0.4596818758398955,0.48468887172756203,0.9484060861588697,0.008884501480750246,0.3444782168186423,0.8683127572016461,0.5238345403830038,0.33559371533789206,0.8594282557208959,0.39672135870582975,0.025791185180883806,0.010231914027593885,0.027522935779816515,0.9970414201183432,1.0,0.00295857988165682,0.9695184843385267,0.9724770642201834,0.9970414201183432,0.027604606212397572,0.027522935779816515,1.0,0.9953775038520801,0.19541984732824427,0.7999576565238359,0.0046224961479198745,0.8045801526717558,0.19632736983905655,0.9953775038520801,0.19541984732824427,0.3
2,baseline,"dro",(None),0.740578734858681,0.7311608961303462,0.8276381909547739,0.61452082831618,0.5804540967423495,0.9979736575481256,0.6460905349794238,0.3518831225687018,0.4175195608057761,0.06563643823707432,0.6474023939336968,0.5816326837408111,0.89840984400249,0.06219151036525173,0.3444782168186423,0.676954732510288,0.3324765156916457,0.2822867064533906,0.6147632221450363,0.5088644783400006,0.18053829626618664,0.09186952594988554,0.1926605504587156,1.0,1.0,0.0,0.8073394495412844,0.8073394495412844,1.0,0.1926605504587156,0.1926605504587156,1.0,0.9969183359013868,0.47938931297709925,0.5175290229242875,0.0030816640986132127,0.5206106870229008,0.48087119647934684,0.9969183359013868,0.47938931297709925,0.1
2,baseline,"dro",(None),0.5632570659488559,0.6588594704684317,0.6673366834170854,0.858464420268923,0.3830207305034551,0.9817629179331308,0.32613168724279834,0.6556312306903325,0.5987421874296757,0.056889043260656746,0.3321898609996305,0.3901356666737979,0.8514726782911204,0.0,0.3414387031408308,1.0,0.6585612968591692,0.3414387031408308,1.0,0.3414387031408308,0.0,0.0,0.0,0.9763313609467456,1.0,0.023668639053254448,0.9763313609467456,1.0,0.9763313609467456,0.0,0.0,1.0,0.9892141756548536,0.0,0.9892141756548536,0.01078582434514641,1.0,0.0,0.9892141756548536,0.0,1.0
3,baseline,"dro",(None),0.5629205921938089,0.6425661914460286,0.692964824120603,0.8604185363474873,0.9961089494163424,0.3300438596491228,0.3372093023255814,0.6660650897672196,0.6588996470907611,0.007165442676458578,0.3313330934758772,0.33852652616279066,0.978750756200847,0.32587548638132297,0.9945175438596491,0.0,0.6686420574783261,0.32587548638132297,0.9945175438596491,0.3276719333845276,0.0,0.0,0.9910979228486647,1.0,0.0,0.008902077151335286,0.9910979228486647,1.0,0.9910979228486647,0.0,0.0,0.9985528219971056,0.008130081300813009,1.0,0.9904227406962925,0.0014471780028944004,0.991869918699187,0.008141864027335927,0.9985528219971056,0.008130081300813009,0.01
3,baseline,"dro",(None),0.6339165545087483,0.6537678207739308,0.7618090452261307,0.7856719504494787,0.9961089494163424,0.48135964912280704,0.40794573643410853,0.5147493002935354,0.5881632129822338,0.07341391268869851,0.483239960252193,0.40953927446705424,0.8474863590612914,0.32782101167315175,0.8432017543859649,0.009689922480620155,0.5153807427128132,0.3181310891925316,0.8335118319053447,0.38878122580743096,0.02955857658776712,0.01149181963891493,0.9940652818991098,1.0,0.028735632183908046,0.005934718100890191,0.9653296497152017,0.9712643678160919,0.9940652818991098,0.028907188196946303,0.028735632183908046,0.9971056439942113,0.23252032520325203,1.0,0.7645853187909593,0.0028943560057886897,0.767479674796748,0.23319527534897988,0.9971056439942113,0.23252032520325203,0.3
3,baseline,"dro",(None),0.6006056527590848,0.6425661914460286,0.7336683417085427,0.8123981484085173,0.9941634241245136,0.42214912280701755,0.36627906976744184,0.5720143013174961,0.6278843543570718,0.05587005303957571,0.4246274933910118,0.3684294361261548,0.8676532769556025,0.32782101167315175,0.9035087719298246,0.0,0.5756877602566728,0.32782101167315175,0.9035087719298246,0.3628310226285369,0.0,0.0,0.9910979228486647,1.0,0.0,0.008902077151335286,0.9910979228486647,1.0,0.9910979228486647,0.0,0.0,0.9956584659913169,0.14308943089430895,1.0,0.852569035097008,0.00434153400868309,0.8569105691056911,0.1437133673662318,0.9956584659913169,0.14308943089430895,0.1
3,baseline,"dro",(None),0.7049125168236877,0.9643584521384929,0.678894472361809,0.6220431139528794,0.9912451361867705,0.3256578947368421,0.7548449612403101,0.6655872414499284,0.23640017494646037,0.429187066503468,0.3285341666236248,0.7615118941658869,0.4314235524626714,0.33073929961089493,1.0,0.3236434108527132,0.6692607003891051,0.007095888758181734,0.6763565891472868,0.33073929961089493,0.978545371637027,0.3236434108527132,0.9910979228486647,1.0,0.9080459770114943,0.008902077151335286,0.08305194583717046,0.09195402298850575,0.9910979228486647,0.9162020786014178,0.9080459770114943,0.9913169319826338,0.0,0.9736842105263158,0.9913169319826338,0.017632721456318,0.9736842105263158,0.0,0.9822128313484442,0.0,1.0
4,baseline,"dro",(None),0.5561911170928667,0.6731160896130346,0.6708542713567839,0.8561328434804196,0.3230769230769231,0.9959758551307847,0.3469591226321037,0.649016732498681,0.6728989320538616,0.023882199555180617,0.3483609776730415,0.3243822843822844,0.9311671087533157,0.0,0.33601609657947684,0.9790628115653041,0.6430467149858272,0.33601609657947684,0.9790628115653041,0.34320177685256137,0.0,0.0,0.0,0.9910714285714286,1.0,0.008928571428571397,0.9910714285714286,1.0,0.9910714285714286,0.0,0.0,1.0,0.9984802431610942,0.03111111111111111,0.9673691320499831,0.001519756838905817,0.9688888888888889,0.031158464400473533,0.9984802431610942,0.03111111111111111,0.01
4,baseline,"dro",(None),0.6197846567967699,0.7077393075356415,0.6683417085427136,0.8034700618447391,0.522051282051282,0.9949698189134809,0.34297108673978066,0.6519987321737002,0.47291853686219887,0.17908019531150138,0.34470501538861675,0.52469057063597,0.6569681916921143,0.03487179487179487,0.33702213279678067,0.9830508474576272,0.6460287146608465,0.3021503379249858,0.9481790525858322,0.34283285922431134,0.10347034060466896,0.035473032714412024,0.1069182389937107,0.9910714285714286,1.0,0.008928571428571397,0.8841531895777179,0.8930817610062893,0.9910714285714286,0.10788146637203241,0.1069182389937107,1.0,0.9969604863221885,0.025185185185185185,0.9717753011370033,0.003039513677811523,0.9748148148148148,0.02526196928635953,0.9969604863221885,0.025185185185185185,0.3
4,baseline,"dro",(None),0.5572005383580081,0.6731160896130346,0.671356783919598,0.8537477162672849,0.3261538461538461,0.9949698189134809,0.34795613160518446,0.6470136873082964,0.6688159727596348,0.021802285451338332,0.3497152627053118,0.3278027533639262,0.9373418558518843,0.0020512820512820513,0.3329979879275654,0.9790628115653041,0.6460648236377386,0.33094670587628333,0.977011529514022,0.34011912616226897,0.006160043380587187,0.0020951485717269833,0.006289308176100629,0.9851190476190477,1.0,0.014880952380952328,0.978829739442947,0.9937106918238994,0.9851190476190477,0.0063843128313287355,0.006289308176100629,1.0,1.0,0.03111111111111111,0.9688888888888889,0.0,0.9688888888888889,0.03111111111111111,1.0,0.03111111111111111,0.1
4,baseline,"dro",(None),0.5440780619111709,0.6710794297352343,0.6597989949748744,0.8655728095906493,0.31076923076923074,0.9919517102615694,0.3270189431704885,0.6649327670910808,0.6811824794923387,0.016249712401257776,0.32967224088383934,0.31329068497425494,0.9503095684803001,0.0,0.335010060362173,1.0,0.6649899396378269,0.335010060362173,1.0,0.335010060362173,0.0,0.0,0.0,0.9851190476190477,1.0,0.014880952380952328,0.9851190476190477,1.0,0.9851190476190477,0.0,0.0,1.0,0.9969604863221885,0.0,0.9969604863221885,0.003039513677811523,1.0,0.0,0.9969604863221885,0.0,1.0
