bias.missing_s,bias.mixing_factor,bias.adult_biased_train,bias.subsample_context.0,bias.subsample_context.1,bias.subsample_context.2,bias.subsample_context.3,bias.subsample_train.0,bias.subsample_train.1,bias.subsample_train.2,bias.subsample_train.3,bias.log_dataset,baselines.greyscale,baselines.labelled_context_set,baselines.epochs,baselines.test_batch_size,baselines.batch_size,baselines.lr,baselines.weight_decay,baselines.eta,baselines.c,baselines.method,baselines.oversample,data.log_name,data.data_pcnt,data.context_pcnt,data.test_pcnt,data.root,data.transductive,data.quant_level,data.input_noise,data.scale,data.greyscale,data.background,data.black,data.binarize,data.rotate_data,data.shift_data,data.color_correlation,data.padding,data.filter_map_labels.2,data.filter_map_labels.4,data.colors,misc.cluster_label_file,misc.exp_group,misc.log_method,misc.use_wandb,misc.gpu,misc.use_amp,misc.seed,misc.data_split_seed,misc.save_dir,misc.results_csv,misc.resume,misc.evaluate,misc.num_workers,misc.device,misc.use_gpu,Accuracy (dro),TPR (dro),TNR (dro),Renyi preds and s (dro),Accuracy_colour_0.0 (dro),Accuracy_colour_1.0 (dro),Accuracy_colour_0.0-colour_1.0 (dro),Accuracy_colour_0.0÷colour_1.0 (dro),prob_pos_colour_0.0 (dro),prob_pos_colour_1.0 (dro),prob_pos_colour_0.0-colour_1.0 (dro),prob_pos_colour_0.0÷colour_1.0 (dro),TPR_colour_0.0 (dro),TPR_colour_1.0 (dro),TPR_colour_0.0-colour_1.0 (dro),TPR_colour_0.0÷colour_1.0 (dro),TNR_colour_0.0 (dro),TNR_colour_1.0 (dro),TNR_colour_0.0-colour_1.0 (dro),TNR_colour_0.0÷colour_1.0 (dro),eta
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.1,0.0,dro,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro,True,0,False,0,0,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.6911618669314796,0.5478615071283096,0.8275193798449613,0.2504285994937818,0.3855302279484638,0.9980099502487564,0.6124797223002925,0.3862989821417807,0.2358771060455897,0.4756218905472636,0.2397447845016739,0.4959340827945976,0.1225296442687747,1.0,0.8774703557312253,0.1225296442687747,0.6500994035785288,0.996219281663516,0.3461198780849872,0.6525665739905916,0.1
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.1,0.0,dro,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro,True,0,False,1,1,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.76266137040715,0.5132382892057027,1.0,0.5568810150708452,0.5082474226804123,0.9990421455938696,0.4907947229134574,0.5087347164701347,0.0,0.4827586206896552,0.4827586206896552,0.0,0.0,0.998019801980198,0.998019801980198,0.0,1.0,1.0,0.0,1.0,0.1
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.1,0.0,dro,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro,True,0,False,2,2,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7567030784508441,0.5020366598778004,0.999031007751938,0.5561059934661667,0.5020366598778004,0.999031007751938,0.4969943478741375,0.5025236013519787,0.0,0.4786821705426357,0.4786821705426357,0.0,0.0,1.0,1.0,0.0,1.0,0.9981447124304268,0.0018552875695733,0.9981447124304268,0.1
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.1,0.0,dro,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro,True,0,False,3,3,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7581926514399205,0.5040733197556008,1.0,0.5491557672365851,0.496900826446281,1.0,0.503099173553719,0.496900826446281,0.0,0.4732313575525813,0.4732313575525813,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.1
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.1,0.0,dro,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro,True,0,False,4,4,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.766137040714995,0.5203665987780041,1.0,0.5871511789871734,0.5355029585798816,1.0,0.4644970414201184,0.5355029585798816,0.0,0.511,0.511,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.1
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.1,0.0,dro,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro,True,0,False,5,5,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7353525322740815,0.6384928716904277,0.8275193798449613,0.1546930184747804,0.4684684684684684,0.9980295566502464,0.5295610881817778,0.4693933815355335,0.3233233233233233,0.4748768472906404,0.151553523967317,0.6808572057534713,0.2928286852589641,1.0,0.7071713147410359,0.2928286852589641,0.6458752515090543,0.9962616822429906,0.3503864307339362,0.648298798419032,0.1
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.1,0.0,dro,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro,True,0,False,6,6,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7616683217477657,0.5122199592668024,0.999031007751938,0.5760139005600906,0.5229083665338645,0.999009900990099,0.4761015344562345,0.5234266107028773,0.0,0.499009900990099,0.499009900990099,0.0,0.0,1.0,1.0,0.0,1.0,0.9980276134122288,0.0019723865877712,0.9980276134122288,0.1
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.1,0.0,dro,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro,True,0,False,7,7,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7557100297914597,0.9989816700610998,0.5242248062015504,0.5870821689721505,0.5119521912350598,0.998019801980198,0.4860676107451382,0.5129679693922722,0.9920318725099602,0.4712871287128712,0.5207447437970889,0.4750725674977136,1.0,0.9978991596638656,0.0021008403361344,0.9978991596638656,0.0160642570281124,0.99812734082397,0.9820630837958576,0.0160943963471145,0.1
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.1,0.0,dro,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro,True,0,False,8,8,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7537239324726912,0.5,0.99515503875969,0.5646721607217311,0.5103857566765578,0.9990029910269193,0.4886172343503614,0.5108951236991891,0.0039564787339268,0.4905284147557328,0.486571936021806,0.0080657483132694,0.0,1.0,1.0,0.0,0.9923076923076924,0.998046875,0.0057391826923076,0.994249586030408,0.1
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.1,0.0,dro,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro,True,0,False,9,9,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7557100297914597,0.4989816700610998,1.0,0.5726884888770287,0.5162241887905604,1.0,0.4837758112094396,0.5162241887905604,0.0,0.4914744232698094,0.4914744232698094,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.1
