bias.missing_s,bias.mixing_factor,bias.adult_biased_train,bias.subsample_context.0,bias.subsample_context.1,bias.subsample_context.2,bias.subsample_context.3,bias.subsample_train.0,bias.subsample_train.1,bias.subsample_train.2,bias.subsample_train.3,bias.log_dataset,baselines.greyscale,baselines.labelled_context_set,baselines.epochs,baselines.test_batch_size,baselines.batch_size,baselines.lr,baselines.weight_decay,baselines.eta,baselines.c,baselines.method,baselines.oversample,data.log_name,data.data_pcnt,data.context_pcnt,data.test_pcnt,data.root,data.transductive,data.quant_level,data.input_noise,data.scale,data.greyscale,data.background,data.black,data.binarize,data.rotate_data,data.shift_data,data.color_correlation,data.padding,data.filter_map_labels.2,data.filter_map_labels.4,data.colors,misc.cluster_label_file,misc.exp_group,misc.log_method,misc.use_wandb,misc.gpu,misc.use_amp,misc.seed,misc.data_split_seed,misc.save_dir,misc.results_csv,misc.resume,misc.evaluate,misc.num_workers,misc.device,misc.use_gpu,Accuracy (dro),TPR (dro),TNR (dro),Renyi preds and s (dro),Accuracy_colour_0.0 (dro),Accuracy_colour_1.0 (dro),Accuracy_colour_0.0-colour_1.0 (dro),Accuracy_colour_0.0÷colour_1.0 (dro),prob_pos_colour_0.0 (dro),prob_pos_colour_1.0 (dro),prob_pos_colour_0.0-colour_1.0 (dro),prob_pos_colour_0.0÷colour_1.0 (dro),TPR_colour_0.0 (dro),TPR_colour_1.0 (dro),TPR_colour_0.0-colour_1.0 (dro),TPR_colour_0.0÷colour_1.0 (dro),TNR_colour_0.0 (dro),TNR_colour_1.0 (dro),TNR_colour_0.0-colour_1.0 (dro),TNR_colour_0.0÷colour_1.0 (dro),eta
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.3,0.0,dro,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro,True,0,False,10,10,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7383316782522343,1.0,0.4893410852713178,0.5727804309350889,0.4724172517552658,0.9990167158308751,0.5265994640756093,0.4728822293652611,1.0,0.5034414945919371,0.4965585054080629,0.5034414945919371,1.0,1.0,0.0,1.0,0.0,0.9980237154150198,0.9980237154150198,0.0,0.3
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.3,0.0,dro,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro,True,0,False,11,11,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7457795431976166,1.0,0.5038759689922481,0.5929017996389021,0.4960474308300395,0.998003992015968,0.5019565611859285,0.4970395256916997,1.0,0.4810379241516966,0.5189620758483033,0.4810379241516966,1.0,1.0,0.0,1.0,0.0,0.9961685823754788,0.9961685823754788,0.0,0.3
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.3,0.0,dro,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro,True,0,False,12,12,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7606752730883813,0.5101832993890021,0.999031007751938,0.557620551711179,0.5061601642710473,0.9990384615384617,0.4928782972674143,0.5066473251606248,0.0,0.4826923076923077,0.4826923076923077,0.0,0.0,1.0,1.0,0.0,1.0,0.9981447124304268,0.0018552875695733,0.9981447124304268,0.3
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.3,0.0,dro,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro,True,0,False,13,13,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7447864945382324,0.9989816700610998,0.502906976744186,0.5952617220581863,0.4970472440944882,0.996993987975952,0.4999467438814637,0.4985458790013057,1.0,0.4789579158316633,0.5210420841683367,0.4789579158316633,1.0,0.9979035639412998,0.0020964360587002,0.9979035639412998,0.0,0.9961612284069098,0.9961612284069098,0.0,0.3
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.3,0.0,dro,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro,True,0,False,14,14,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7432969215491559,1.0,0.499031007751938,0.592580038537752,0.4941060903732809,0.997991967871486,0.5038858774982049,0.4951002676174928,1.0,0.4829317269076305,0.5170682730923695,0.4829317269076305,1.0,1.0,0.0,1.0,0.0,0.9961315280464216,0.9961315280464216,0.0,0.3
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.3,0.0,dro,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro,True,0,False,15,15,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7457795431976166,1.0,0.5038759689922481,0.5988195697728828,0.4990215264187866,1.0,0.5009784735812133,0.4990215264187866,1.0,0.4758064516129032,0.5241935483870968,0.4758064516129032,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.3
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.3,0.0,dro,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro,True,0,False,16,16,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7671300893743793,0.560081466395112,0.9641472868217056,0.4411873063261081,0.5430528375733855,0.997983870967742,0.4549310333943563,0.5441499140129278,0.0939334637964774,0.4949596774193548,0.4010262136228773,0.189780032761926,0.1221995926680244,0.9979633401221996,0.8757637474541751,0.1224489795918367,0.9322033898305084,0.998003992015968,0.0658006021854595,0.9340677966101696,0.3
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.3,0.0,dro,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro,True,0,False,17,17,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7428003972194638,0.4796334012219959,0.993217054263566,0.5510084931748119,0.494140625,1.0,0.505859375,0.494140625,0.0068359375,0.4757575757575757,0.4689216382575757,0.0143685310509554,0.0,1.0,1.0,0.0,0.98635477582846,1.0,0.01364522417154,0.98635477582846,0.3
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.3,0.0,dro,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro,True,0,False,18,18,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.730883813306852,0.4898167006109979,0.9602713178294574,0.5049680323742661,0.4664694280078895,0.999,0.5325305719921105,0.4669363643722618,0.039447731755424,0.482,0.4425522682445759,0.0818417671274358,0.0,1.0,1.0,0.0,0.9220272904483432,0.9980732177263968,0.0760459272780538,0.923807265912529,0.3
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.3,0.0,dro,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro,True,0,False,19,19,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7641509433962265,0.5162932790224033,1.0,0.5858146803988489,0.5329400196656834,1.0,0.4670599803343166,0.5329400196656834,0.0,0.5085255767301906,0.5085255767301906,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.3
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.3,0.0,dro,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro,True,0,False,20,20,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7383316782522343,1.0,0.4893410852713178,0.5831111503905579,0.4827586206896552,0.997997997997998,0.5152393773083428,0.4837270431985612,1.0,0.4944944944944945,0.5055055055055055,0.4944944944944945,1.0,1.0,0.0,1.0,0.0,0.9960552268244576,0.9960552268244576,0.0,0.3
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.3,0.0,dro,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro,True,0,False,21,21,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.766137040714995,0.5203665987780041,1.0,0.5825050356071827,0.5318091451292246,1.0,0.4681908548707754,0.5318091451292246,0.0,0.5069444444444444,0.5069444444444444,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.3
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.3,0.0,dro,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro,True,0,False,22,22,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.8699106256206555,0.7362525458248472,0.997093023255814,0.2741091016664577,0.7333333333333333,0.9980750721847932,0.2647417388514598,0.7347476695596271,0.2246153846153846,0.4879692011549567,0.263353816539572,0.4603064785313306,0.4570230607966457,1.0,0.5429769392033543,0.4570230607966457,0.997991967871486,0.99625468164794,0.0017372862235458,0.9982592182307328,0.3
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.3,0.0,dro,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro,True,0,False,23,23,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7398212512413108,0.9989816700610998,0.4932170542635659,0.5782853529092705,0.478,0.9980276134122288,0.5200276134122288,0.4789446640316205,1.0,0.4970414201183432,0.5029585798816568,0.4970414201183432,1.0,0.998015873015873,0.0019841269841269,0.998015873015873,0.0,0.9980392156862744,0.9980392156862744,0.0,0.3
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.3,0.0,dro,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro,True,0,False,24,24,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7562065541211519,0.5020366598778004,0.998062015503876,0.5685891934175669,0.5124626121635095,0.9980217606330366,0.4855591484695271,0.5134783953392549,0.0,0.4896142433234421,0.4896142433234421,0.0,0.0,1.0,1.0,0.0,1.0,0.996138996138996,0.0038610038610038,0.996138996138996,0.3
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.3,0.0,dro,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro,True,0,False,25,25,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7487586891757696,0.4857433808553971,0.999031007751938,0.55896020908466,0.4995044598612487,0.999004975124378,0.4995005152631294,0.500001974263501,0.0,0.4756218905472636,0.4756218905472636,0.0,0.0,1.0,1.0,0.0,1.0,0.9981060606060606,0.0018939393939394,0.9981060606060606,0.3
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.3,0.0,dro,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro,True,0,False,26,26,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7869910625620655,0.994908350305499,0.5891472868217055,0.4920243751485094,0.5596707818930041,0.9990403071017274,0.4393695252087233,0.5602084099255623,0.9300411522633744,0.4769673704414587,0.4530737818219157,0.5128454469790906,0.9897119341563786,1.0,0.0102880658436214,0.9897119341563786,0.1296296296296296,0.9981684981684982,0.8685388685388685,0.1298674821610601,0.3
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.3,0.0,dro,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro,True,0,False,27,27,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7472691161866931,0.4847250509164969,0.997093023255814,0.5715242072682989,0.5106796116504855,0.9949186991869918,0.4842390875365063,0.5132877812707638,0.0,0.4867886178861789,0.4867886178861789,0.0,0.0,0.99581589958159,0.99581589958159,0.0,1.0,0.9940711462450592,0.0059288537549406,0.9940711462450592,0.3
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.3,0.0,dro,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro,True,0,False,28,28,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7586891757696127,0.5061099796334012,0.999031007751938,0.5607580264434141,0.5086294416243655,0.9980563654033042,0.4894269237789387,0.509619956603186,0.0,0.4839650145772595,0.4839650145772595,0.0,0.0,0.997991967871486,0.997991967871486,0.0,1.0,0.9981167608286252,0.0018832391713747,0.9981167608286252,0.3
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.3,0.0,dro,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro,True,0,False,29,29,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7557100297914597,0.5,0.999031007751938,0.5607082915965241,0.5055387713997986,0.9990205680705191,0.49348179667072045,0.506034397646269,0.0,0.48188050930460335,0.48188050930460335,0.0,0.0,1.0,1.0,0.0,1.0,0.9981132075471698,0.0018867924528301883,0.9981132075471698,0.3
