bias.missing_s,bias.mixing_factor,bias.adult_biased_train,bias.subsample_context.0,bias.subsample_context.1,bias.subsample_context.2,bias.subsample_context.3,bias.subsample_train.0,bias.subsample_train.1,bias.subsample_train.2,bias.subsample_train.3,bias.log_dataset,baselines.greyscale,baselines.labelled_context_set,baselines.epochs,baselines.test_batch_size,baselines.batch_size,baselines.lr,baselines.weight_decay,baselines.eta,baselines.c,baselines.method,baselines.oversample,data.log_name,data.data_pcnt,data.context_pcnt,data.test_pcnt,data.root,data.transductive,data.quant_level,data.input_noise,data.scale,data.greyscale,data.background,data.black,data.binarize,data.rotate_data,data.shift_data,data.color_correlation,data.padding,data.filter_map_labels.2,data.filter_map_labels.4,data.colors,misc.cluster_label_file,misc.exp_group,misc.log_method,misc.use_wandb,misc.gpu,misc.use_amp,misc.seed,misc.data_split_seed,misc.save_dir,misc.results_csv,misc.resume,misc.evaluate,misc.num_workers,misc.device,misc.use_gpu,Accuracy (cnn),TPR (cnn),TNR (cnn),Renyi preds and s (cnn),Accuracy_colour_1.0 (cnn),Accuracy_colour_0.0 (cnn),Accuracy_colour_0.0-colour_1.0 (cnn),Accuracy_colour_0.0÷colour_1.0 (cnn),prob_pos_colour_1.0 (cnn),prob_pos_colour_0.0 (cnn),prob_pos_colour_0.0-colour_1.0 (cnn),prob_pos_colour_0.0÷colour_1.0 (cnn),TPR_colour_1.0 (cnn),TPR_colour_0.0 (cnn),TPR_colour_0.0-colour_1.0 (cnn),TPR_colour_0.0÷colour_1.0 (cnn),TNR_colour_1.0 (cnn),TNR_colour_0.0 (cnn),TNR_colour_0.0-colour_1.0 (cnn),TNR_colour_0.0÷colour_1.0 (cnn)
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.5,0.0,cnn,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,11,11,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.6598808341608738,0.7464358452138493,0.5775193798449613,0.2024362521443383,0.999001996007984,0.3241106719367589,0.6748913240712251,0.3244344588218106,0.4800399201596806,0.6798418972332015,0.1998019770735208,0.7061052313976699,1.0,0.5039840637450199,0.4960159362549801,0.5039840637450199,0.9980842911877394,0.1470588235294117,0.8510254676583277,0.1473410861465507
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.5,0.0,cnn,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,12,12,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7507447864945382,0.5264765784114053,0.9641472868217056,0.4804298606260633,0.9990384615384617,0.4856262833675565,0.5134121781709051,0.4860936811378814,0.4826923076923077,0.0533880903490759,0.4293042173432317,0.1106048086913127,1.0,0.0332640332640332,0.9667359667359668,0.0332640332640332,0.9981447124304268,0.9269776876267748,0.0711670248036518,0.9287006944810996
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.5,0.0,cnn,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,14,14,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.6981132075471698,0.4908350305498982,0.8953488372093024,0.4129025381641749,0.997991967871486,0.4047151277013752,0.5932768401701107,0.4055294438536919,0.4829317269076305,0.1070726915520628,0.3758590353555676,0.2217139309477226,1.0,0.0059642147117296,0.9940357852882704,0.0059642147117296,0.9961315280464216,0.7941747572815534,0.2019567707648683,0.797258931096239
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.5,0.0,cnn,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,13,13,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7477656405163853,0.4837067209775967,0.999031007751938,0.5613153152964908,0.996993987975952,0.5029527559055118,0.4940412320704401,0.5044691963755786,0.4769539078156312,0.0,0.4769539078156312,0.0,0.9958071278825996,0.0,0.9958071278825996,0.0,0.9980806142034548,1.0,0.0019193857965451,0.9980806142034548
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.5,0.0,cnn,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,15,15,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7090367428003972,0.6771894093686355,0.7393410852713178,0.0218201139377838,0.998991935483871,0.4275929549902152,0.5713989804936557,0.4280244312313759,0.4747983870967742,0.4530332681017612,0.0217651189950129,0.954159239823667,0.9978813559322034,0.3803921568627451,0.6174891990694583,0.3811997835227509,1.0,0.474609375,0.525390625,0.474609375
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.5,0.0,cnn,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,16,16,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7552135054617676,0.4979633401221996,1.0,0.5747634190144004,0.997983870967742,0.5195694716242661,0.4784143993434757,0.5206191069204769,0.4929435483870967,0.0,0.4929435483870967,0.0,0.9959266802443992,0.0,0.9959266802443992,0.0,1.0,1.0,0.0,1.0
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.5,0.0,cnn,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,17,17,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.6752730883813307,0.4979633401221996,0.8439922480620154,0.3218119950743934,1.0,0.361328125,0.638671875,0.361328125,0.4757575757575757,0.1748046875,0.3009528882575757,0.3674238654458598,1.0,0.035225048923679,0.9647749510763208,0.035225048923679,1.0,0.6861598440545809,0.3138401559454191,0.6861598440545809
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.5,0.0,cnn,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,18,18,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7502482621648461,0.4898167006109979,0.998062015503876,0.5609425257904929,1.0,0.5039447731755424,0.4960552268244576,0.5039447731755424,0.481,0.0019723865877712,0.4790276134122287,0.0041005958165721,1.0,0.0,1.0,0.0,1.0,0.9961013645224172,0.0038986354775828,0.9961013645224172
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.5,0.0,cnn,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,19,19,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7641509433962265,0.5162932790224033,1.0,0.5858146803988489,1.0,0.5329400196656834,0.4670599803343166,0.5329400196656834,0.5085255767301906,0.0,0.5085255767301906,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.5,0.0,cnn,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,20,20,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.6678252234359484,0.5325865580448065,0.7965116279069767,0.267110166557948,0.998998998998999,0.341871921182266,0.6571270778167331,0.3422144782175187,0.4934934934934935,0.2364532019704433,0.2570402915230501,0.4791414782321965,1.0,0.0632653061224489,0.936734693877551,0.0632653061224489,0.9980276134122288,0.6019047619047619,0.3961228515074668,0.6030942970073405
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.5,0.0,cnn,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,21,21,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.766137040714995,0.5203665987780041,1.0,0.5825050356071827,1.0,0.5318091451292246,0.4681908548707754,0.5318091451292246,0.5069444444444444,0.0,0.5069444444444444,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.5,0.0,cnn,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,22,22,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.76266137040715,0.5142566191446029,0.999031007751938,0.5611372787777199,0.9990375360923964,0.5107692307692308,0.4882683053231658,0.5112613013191047,0.4870067372473532,0.0,0.4870067372473532,0.0,1.0,0.0,1.0,0.0,0.99812734082397,1.0,0.0018726591760299,0.99812734082397
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.5,0.0,cnn,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,23,23,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.76266137040715,0.5132382892057027,1.0,0.5737303403077366,1.0,0.522,0.478,0.522,0.4970414201183432,0.0,0.4970414201183432,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.5,0.0,cnn,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,24,24,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7571996027805362,0.5020366598778004,1.0,0.5670661731108807,1.0,0.5124626121635095,0.4875373878364905,0.5124626121635095,0.4876360039564787,0.0,0.4876360039564787,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.5,0.0,cnn,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,25,25,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7487586891757696,0.4857433808553971,0.999031007751938,0.55896020908466,0.999004975124378,0.4995044598612487,0.4995005152631294,0.500001974263501,0.4756218905472636,0.0,0.4756218905472636,0.0,1.0,0.0,1.0,0.0,0.9981060606060606,1.0,0.0018939393939394,0.9981060606060606
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.5,0.0,cnn,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,26,26,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7581926514399205,0.505091649694501,0.999031007751938,0.5528211842415901,0.9990403071017274,0.5,0.4990403071017274,0.5004803073967339,0.4769673704414587,0.0,0.4769673704414587,0.0,1.0,0.0,1.0,0.0,0.9981684981684982,1.0,0.0018315018315018,0.9981684981684982
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.5,0.0,cnn,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,27,27,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7487586891757696,0.4867617107942973,0.998062015503876,0.5723069263828785,0.9979674796747968,0.5106796116504855,0.4872878680243112,0.5117196923259447,0.4878048780487805,0.0,0.4878048780487805,0.0,1.0,0.0,1.0,0.0,0.9960474308300395,1.0,0.0039525691699604,0.9960474308300395
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.5,0.0,cnn,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,28,28,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7591857000993049,0.5061099796334012,1.0,0.560010064016197,0.999028182701652,0.5086294416243655,0.4903987410772865,0.50912421734579,0.4829931972789115,0.0,0.4829931972789115,0.0,0.997991967871486,0.0,0.997991967871486,0.0,1.0,1.0,0.0,1.0
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.5,0.0,cnn,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_cnn,True,0,False,29,29,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7557100297914597,0.5,0.999031007751938,0.5607082915965241,0.9990205680705191,0.5055387713997986,0.49348179667072045,0.506034397646269,0.48188050930460335,0.0,0.48188050930460335,0.0,1.0,0.0,1.0,0.0,0.9981132075471698,1.0,0.0018867924528301883,0.9981132075471698
