bias.missing_s,bias.mixing_factor,bias.adult_biased_train,bias.subsample_context.0,bias.subsample_context.1,bias.subsample_context.2,bias.subsample_context.3,bias.subsample_train.0,bias.subsample_train.1,bias.subsample_train.2,bias.subsample_train.3,bias.log_dataset,baselines.greyscale,baselines.labelled_context_set,baselines.epochs,baselines.test_batch_size,baselines.batch_size,baselines.lr,baselines.weight_decay,baselines.eta,baselines.c,baselines.method,baselines.oversample,data.log_name,data.data_pcnt,data.context_pcnt,data.test_pcnt,data.root,data.transductive,data.quant_level,data.input_noise,data.scale,data.greyscale,data.background,data.black,data.binarize,data.rotate_data,data.shift_data,data.color_correlation,data.padding,data.filter_map_labels.2,data.filter_map_labels.4,data.colors,misc.cluster_label_file,misc.exp_group,misc.log_method,misc.use_wandb,misc.gpu,misc.use_amp,misc.seed,misc.data_split_seed,misc.save_dir,misc.results_csv,misc.resume,misc.evaluate,misc.num_workers,misc.device,misc.use_gpu,Accuracy (lff),TPR (lff),TNR (lff),Renyi preds and s (lff),Accuracy_colour_0.0 (lff),Accuracy_colour_1.0 (lff),Accuracy_colour_0.0-colour_1.0 (lff),Accuracy_colour_0.0÷colour_1.0 (lff),prob_pos_colour_0.0 (lff),prob_pos_colour_1.0 (lff),prob_pos_colour_0.0-colour_1.0 (lff),prob_pos_colour_0.0÷colour_1.0 (lff),TPR_colour_0.0 (lff),TPR_colour_1.0 (lff),TPR_colour_0.0-colour_1.0 (lff),TPR_colour_0.0÷colour_1.0 (lff),TNR_colour_0.0 (lff),TNR_colour_1.0 (lff),TNR_colour_0.0-colour_1.0 (lff),TNR_colour_0.0÷colour_1.0 (lff)
[0],0.0,True,0.7,0.4,0.2,1.0,0.0,0.75,0.0,1.0,subsampled_miss_s,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,lff,baseline_lff,True,0,False,10,10,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data/,,,False,4,cuda:0,True,0.766137040714995,0.5203665987780041,1.0,0.5773219401822499,0.5275827482447342,1.0,0.4724172517552658,0.5275827482447342,0.0,0.5024582104228122,0.5024582104228122,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
[0],0.0,True,0.7,0.4,0.2,1.0,0.0,0.75,0.0,1.0,subsampled_miss_s,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,lff,baseline_lff,True,0,False,11,11,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data/,,,False,4,cuda:0,True,0.7502482621648461,0.4887983706720978,0.999031007751938,0.5629344878175676,0.5039525691699605,0.999001996007984,0.4950494268380236,0.5044560182900104,0.0,0.4800399201596807,0.4800399201596807,0.0,0.0,1.0,1.0,0.0,1.0,0.9980842911877394,0.0019157088122605528,0.9980842911877394
[0],0.0,True,0.7,0.4,0.2,1.0,0.0,0.75,0.0,1.0,subsampled_miss_s,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,lff,baseline_lff,True,0,False,12,12,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data/,,,False,4,cuda:0,True,0.7606752730883813,0.5101832993890021,0.999031007751938,0.557620551711179,0.5061601642710473,0.9990384615384617,0.4928782972674143,0.5066473251606248,0.0,0.4826923076923077,0.4826923076923077,0.0,0.0,1.0,1.0,0.0,1.0,0.9981447124304268,0.001855287569573316,0.9981447124304268
[0],0.0,True,0.7,0.4,0.2,1.0,0.0,0.75,0.0,1.0,subsampled_miss_s,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,lff,baseline_lff,True,0,False,13,13,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data/,,,False,4,cuda:0,True,0.7477656405163853,0.4847250509164969,0.998062015503876,0.5628594005103043,0.5029527559055118,0.996993987975952,0.4940412320704402,0.5044691963755786,0.0,0.4789579158316633,0.4789579158316633,0.0,0.0,0.9979035639412998,0.9979035639412998,0.0,1.0,0.9961612284069098,0.003838771593090207,0.9961612284069098
[0],0.0,True,0.7,0.4,0.2,1.0,0.0,0.75,0.0,1.0,subsampled_miss_s,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,lff,baseline_lff,True,0,False,14,14,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data/,,,False,4,cuda:0,True,0.7497517378351539,0.4877800407331975,0.999031007751938,0.5655254560896157,0.5058939096267191,0.998995983935743,0.4931020743090239,0.5064023457167962,0.0,0.4819277108433735,0.4819277108433735,0.0,0.0,1.0,1.0,0.0,1.0,0.9980657640232108,0.0019342359767892112,0.9980657640232108
[0],0.0,True,0.7,0.4,0.2,1.0,0.0,0.75,0.0,1.0,subsampled_miss_s,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,lff,baseline_lff,True,0,False,15,15,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data/,,,False,4,cuda:0,True,0.7457795431976166,0.4796334012219961,0.999031007751938,0.5615629208770931,0.5009784735812133,0.9979838709677421,0.4970053973865286,0.5019905513056198,0.0,0.4758064516129033,0.4758064516129033,0.0,0.0,0.9978813559322034,0.9978813559322034,0.0,1.0,0.9980769230769232,0.001923076923076916,0.9980769230769232
[0],0.0,True,0.7,0.4,0.2,1.0,0.0,0.75,0.0,1.0,subsampled_miss_s,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,lff,baseline_lff,True,0,False,16,16,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data/,,,False,4,cuda:0,True,0.7557100297914597,0.4989816700610998,1.0,0.5755395439569727,0.5195694716242661,0.998991935483871,0.4794224638596049,0.5200937596884682,0.0,0.4939516129032258,0.4939516129032258,0.0,0.0,0.9979633401221996,0.9979633401221996,0.0,1.0,1.0,0.0,1.0
[0],0.0,True,0.7,0.4,0.2,1.0,0.0,0.75,0.0,1.0,subsampled_miss_s,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,lff,baseline_lff,True,0,False,17,17,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data/,,,False,4,cuda:0,True,0.7462760675273088,0.4796334012219961,1.0,0.5619010861121814,0.5009765625,1.0,0.4990234375,0.5009765625,0.0,0.4757575757575758,0.4757575757575758,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
[0],0.0,True,0.7,0.4,0.2,1.0,0.0,0.75,0.0,1.0,subsampled_miss_s,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,lff,baseline_lff,True,0,False,18,18,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data/,,,False,4,cuda:0,True,0.7512413108242304,0.489816700610998,1.0,0.5640536816412016,0.5059171597633136,1.0,0.4940828402366864,0.5059171597633136,0.0,0.48100000000000004,0.48100000000000004,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
[0],0.0,True,0.7,0.4,0.2,1.0,0.0,0.75,0.0,1.0,subsampled_miss_s,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,lff,baseline_lff,True,0,False,19,19,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data/,,,False,4,cuda:0,True,0.7641509433962265,0.5162932790224033,1.0,0.5858146803988489,0.5329400196656834,1.0,0.4670599803343166,0.5329400196656834,0.0,0.5085255767301906,0.5085255767301906,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
