bias.missing_s,bias.mixing_factor,bias.adult_biased_train,bias.subsample_context.0,bias.subsample_context.1,bias.subsample_context.2,bias.subsample_context.3,bias.subsample_train.0,bias.subsample_train.1,bias.subsample_train.2,bias.subsample_train.3,bias.log_dataset,baselines.greyscale,baselines.labelled_context_set,baselines.epochs,baselines.test_batch_size,baselines.batch_size,baselines.lr,baselines.weight_decay,baselines.eta,baselines.c,baselines.method,baselines.oversample,data.log_name,data.data_pcnt,data.context_pcnt,data.test_pcnt,data.root,data.transductive,data.quant_level,data.input_noise,data.scale,data.greyscale,data.background,data.black,data.binarize,data.rotate_data,data.shift_data,data.color_correlation,data.padding,data.filter_map_labels.2,data.filter_map_labels.4,data.colors,misc.cluster_label_file,misc.exp_group,misc.log_method,misc.use_wandb,misc.gpu,misc.use_amp,misc.seed,misc.data_split_seed,misc.save_dir,misc.results_csv,misc.resume,misc.evaluate,misc.num_workers,misc.device,misc.use_gpu,Accuracy (dro),TPR (dro),TNR (dro),Renyi preds and s (dro),Accuracy_colour_0.0 (dro),Accuracy_colour_1.0 (dro),Accuracy_colour_0.0-colour_1.0 (dro),Accuracy_colour_0.0÷colour_1.0 (dro),prob_pos_colour_0.0 (dro),prob_pos_colour_1.0 (dro),prob_pos_colour_0.0-colour_1.0 (dro),prob_pos_colour_0.0÷colour_1.0 (dro),TPR_colour_0.0 (dro),TPR_colour_1.0 (dro),TPR_colour_0.0-colour_1.0 (dro),TPR_colour_0.0÷colour_1.0 (dro),TNR_colour_0.0 (dro),TNR_colour_1.0 (dro),TNR_colour_0.0-colour_1.0 (dro),TNR_colour_0.0÷colour_1.0 (dro),eta
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,1.0,0.0,dro,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro,True,0,False,0,0,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7388282025819265,0.9867617107942972,0.502906976744186,0.6003358332149753,0.5014866204162537,0.9771144278606964,0.4756278074444428,0.5132322337253921,1.0,0.4706467661691542,0.5293532338308458,0.4706467661691542,1.0,0.972689075630252,0.0273109243697479,0.972689075630252,0.0,0.9810964083175804,0.9810964083175804,0.0,1.0
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,1.0,0.0,dro,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro,True,0,False,1,1,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7492552135054618,0.9918533604887984,0.5184108527131783,0.5856379290930841,0.4917525773195876,0.9885057471264368,0.4967531698068492,0.4974706305442339,1.0,0.4798850574712643,0.5201149425287357,0.4798850574712643,1.0,0.984158415841584,0.0158415841584158,0.984158415841584,0.0,0.9925788497217068,0.9925788497217068,0.0,1.0
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,1.0,0.0,dro,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro,True,0,False,2,2,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7244289970208541,0.9419551934826884,0.5174418604651163,0.5086615456580544,0.45010183299389,0.9854651162790696,0.5353632832851798,0.4567405030970447,0.9439918533604889,0.4806201550387597,0.4633716983217291,0.5091359139677044,0.8957055214723927,0.9878296146044624,0.0921240931320698,0.9067409077739006,0.0081135902636916,0.9833024118738404,0.9751888216101487,0.0082513682115656,1.0
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,1.0,0.0,dro,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro,True,0,False,3,3,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7676266137040715,0.9908350305498982,0.5552325581395349,0.5255876253709013,0.5299586776859504,0.9875717017208412,0.4576130240348909,0.5366280511708655,0.9586776859504132,0.4818355640535373,0.4768421218968759,0.5026043383661898,0.9856262833675564,0.995959595959596,0.0103333125920395,0.9896247672757412,0.0686070686070686,0.9800362976406534,0.9114292290335848,0.07000462000462,1.0
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,1.0,0.0,dro,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro,True,0,False,4,4,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7557100297914597,0.5122199592668024,0.9874031007751938,0.5910005997841797,0.5355029585798816,0.979,0.4434970414201183,0.5469897431868045,0.0,0.516,0.516,0.0,0.0,0.9843444227005872,0.9843444227005872,0.0,1.0,0.9734151329243352,0.0265848670756646,0.9734151329243352,1.0
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,1.0,0.0,dro,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro,True,0,False,5,5,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7477656405163853,0.994908350305499,0.5125968992248062,0.59592210288708,0.5025025025025025,0.9891625615763546,0.4866600590738521,0.508008008008008,1.0,0.4738916256157635,0.5261083743842365,0.4738916256157635,1.0,0.9895833333333334,0.0104166666666666,0.9895833333333334,0.0,0.988785046728972,0.988785046728972,0.0,1.0
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,1.0,0.0,dro,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro,True,0,False,6,6,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7581926514399205,0.5101832993890021,0.994186046511628,0.5783004403805292,0.5229083665338645,0.992079207920792,0.4691708413869275,0.5270832836319392,0.0,0.501980198019802,0.501980198019802,0.0,0.0,0.9960238568588468,0.9960238568588468,0.0,1.0,0.9881656804733728,0.0118343195266271,0.9881656804733728,1.0
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,1.0,0.0,dro,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro,True,0,False,7,7,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7348560079443893,0.979633401221996,0.501937984496124,0.6019412816059236,0.5039840637450199,0.9643564356435644,0.4603723718985444,0.5226118114809755,1.0,0.4673267326732673,0.5326732673267327,0.4673267326732673,1.0,0.957983193277311,0.042016806722689,0.957983193277311,0.0,0.9700374531835206,0.9700374531835206,0.0,1.0
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,1.0,0.0,dro,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro,True,0,False,8,8,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7363455809334657,1.0,0.4854651162790697,0.5777294550005391,0.4856577645895153,0.9890329012961117,0.5033751367065964,0.4910430825436329,1.0,0.5004985044865404,0.4995014955134595,0.5004985044865404,1.0,1.0,0.0,1.0,0.0,0.978515625,0.978515625,0.0,1.0
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,1.0,0.0,dro,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro,True,0,False,9,9,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7348560079443893,1.0,0.4825581395348837,0.5788659016822706,0.4837758112094395,0.9909729187562688,0.5071971075468293,0.4881826758864486,1.0,0.5005015045135406,0.4994984954864594,0.5005015045135406,1.0,1.0,0.0,1.0,0.0,0.9822485207100592,0.9822485207100592,0.0,1.0
