bias.missing_s,bias.mixing_factor,bias.adult_biased_train,bias.subsample_context.0,bias.subsample_context.1,bias.subsample_context.2,bias.subsample_context.3,bias.subsample_train.0,bias.subsample_train.1,bias.subsample_train.2,bias.subsample_train.3,bias.log_dataset,baselines.greyscale,baselines.labelled_context_set,baselines.epochs,baselines.test_batch_size,baselines.batch_size,baselines.lr,baselines.weight_decay,baselines.eta,baselines.c,baselines.method,baselines.oversample,data.log_name,data.data_pcnt,data.context_pcnt,data.test_pcnt,data.root,data.transductive,data.quant_level,data.input_noise,data.scale,data.greyscale,data.background,data.black,data.binarize,data.rotate_data,data.shift_data,data.color_correlation,data.padding,data.filter_map_labels.2,data.filter_map_labels.4,data.colors,misc.cluster_label_file,misc.exp_group,misc.log_method,misc.use_wandb,misc.gpu,misc.use_amp,misc.seed,misc.data_split_seed,misc.save_dir,misc.results_csv,misc.resume,misc.evaluate,misc.num_workers,misc.device,misc.use_gpu,Accuracy (dro),TPR (dro),TNR (dro),Renyi preds and s (dro),Accuracy_colour_0.0 (dro),Accuracy_colour_1.0 (dro),Accuracy_colour_0.0-colour_1.0 (dro),Accuracy_colour_0.0÷colour_1.0 (dro),prob_pos_colour_0.0 (dro),prob_pos_colour_1.0 (dro),prob_pos_colour_0.0-colour_1.0 (dro),prob_pos_colour_0.0÷colour_1.0 (dro),TPR_colour_0.0 (dro),TPR_colour_1.0 (dro),TPR_colour_0.0-colour_1.0 (dro),TPR_colour_0.0÷colour_1.0 (dro),TNR_colour_0.0 (dro),TNR_colour_1.0 (dro),TNR_colour_0.0-colour_1.0 (dro),TNR_colour_0.0÷colour_1.0 (dro),eta
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.01,0.0,dro,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro,True,0,False,0,0,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7348560079443893,0.9663951120162932,0.5145348837209303,0.5430815693565019,0.4727452923686818,0.9980099502487564,0.5252646578800744,0.4736879549656283,0.9633300297324084,0.4756218905472636,0.4877081391851446,0.49372683905575,0.9347826086956522,1.0,0.0652173913043477,0.9347826086956522,0.0079522862823061,0.996219281663516,0.98826699538121,0.0079824657368879,0.01
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.01,0.0,dro,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro,True,0,False,1,1,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7631578947368421,0.5142566191446029,1.0,0.5576178748888596,0.5082474226804123,1.0,0.4917525773195876,0.5082474226804123,0.0,0.4837164750957854,0.4837164750957854,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.01
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.01,0.0,dro,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro,True,0,False,2,2,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7542204568023834,0.5020366598778004,0.994186046511628,0.5506309467803413,0.4979633401221996,0.998062015503876,0.5000986753816763,0.498930259229233,0.0040733197556008,0.4796511627906977,0.4755778430350968,0.0084922545207677,0.0,1.0,1.0,0.0,0.9918864097363084,0.9962894248608536,0.0044030151245452,0.9955805863088828,0.01
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.01,0.0,dro,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro,True,0,False,3,3,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.689175769612711,0.5274949083503055,0.8430232558139535,0.298056320871561,0.3533057851239669,1.0,0.6466942148760331,0.3533057851239669,0.1911157024793388,0.4732313575525813,0.2821156550732424,0.4038525753401786,0.0472279260780287,1.0,0.9527720739219712,0.0472279260780287,0.6632016632016632,1.0,0.3367983367983368,0.6632016632016632,0.01
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.01,0.0,dro,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro,True,0,False,4,4,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.766137040714995,0.5203665987780041,1.0,0.5871511789871734,0.5355029585798816,1.0,0.4644970414201184,0.5355029585798816,0.0,0.511,0.511,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.01
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.01,0.0,dro,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro,True,0,False,5,5,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7651439920556107,0.9908350305498982,0.5503875968992248,0.5320053163500209,0.5285285285285285,0.9980295566502464,0.4695010281217178,0.5295720201939352,0.955955955955956,0.4748768472906404,0.4810791086653155,0.4967559899930364,0.9820717131474104,1.0,0.0179282868525896,0.9820717131474104,0.0704225352112676,0.9962616822429906,0.925839147031723,0.0706867848743492,0.01
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.01,0.0,dro,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro,True,0,False,6,6,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7616683217477657,0.5122199592668024,0.999031007751938,0.5760139005600906,0.5229083665338645,0.999009900990099,0.4761015344562345,0.5234266107028773,0.0,0.499009900990099,0.499009900990099,0.0,0.0,1.0,1.0,0.0,1.0,0.9980276134122288,0.0019723865877712,0.9980276134122288,0.01
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.01,0.0,dro,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro,True,0,False,7,7,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7522343594836147,0.9989816700610998,0.5174418604651163,0.5996515678500549,0.5039840637450199,0.999009900990099,0.4950258372450791,0.5044835524107731,1.0,0.4702970297029702,0.5297029702970297,0.4702970297029702,1.0,0.9978991596638656,0.0021008403361344,0.9978991596638656,0.0,1.0,1.0,0.0,0.01
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.01,0.0,dro,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro,True,0,False,8,8,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7477656405163853,0.5040733197556008,0.9796511627906976,0.5323712523162419,0.4975272007912957,1.0,0.5024727992087042,0.4975272007912957,0.0247279920870425,0.489531405782652,0.4648034136956095,0.0505135968702722,0.0081466395112016,1.0,0.9918533604887984,0.0081466395112016,0.9596153846153846,1.0,0.0403846153846153,0.9596153846153846,0.01
[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,False,False,60,1000,256,0.001,1e-08,0.01,0.0,dro,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro,True,0,False,9,9,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data,,,False,4,cuda:0,True,0.7557100297914597,0.4989816700610998,1.0,0.5726884888770287,0.5162241887905604,1.0,0.4837758112094396,0.5162241887905604,0.0,0.4914744232698094,0.4914744232698094,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.01
