seed,data,method,wandb_url,Accuracy,TPR,TNR,Renyi preds and s,Accuracy_colour_1.0,Accuracy_colour_0.0,Accuracy_colour_0.0-colour_1.0,Accuracy_colour_0.0÷colour_1.0,prob_pos_colour_1.0,prob_pos_colour_0.0,prob_pos_colour_0.0-colour_1.0,prob_pos_colour_0.0÷colour_1.0,TPR_colour_1.0,TPR_colour_0.0,TPR_colour_0.0-colour_1.0,TPR_colour_0.0÷colour_1.0,TNR_colour_1.0,TNR_colour_0.0,TNR_colour_0.0-colour_1.0,TNR_colour_0.0÷colour_1.0,eta
1,baseline,"dro",(None),0.7537239324726912,0.5631364562118126,0.935077519379845,0.4139956198495629,0.9980861244019139,0.49019607843137253,0.5078900459705413,0.4911360517361307,0.49186602870813395,0.10939112487100103,0.3824749038371329,0.22240024414435033,1.0,0.08723404255319149,0.9127659574468086,0.08723404255319149,0.9962476547842402,0.8697394789579158,0.12650817582632434,0.873015333869245,0.01
1,baseline,"dro",(None),0.7606752730883813,0.5437881873727087,0.9670542635658915,0.4842683874144148,0.9980861244019139,0.5046439628482973,0.49344216155361664,0.5056116406294061,0.49186602870813395,0.05572755417956656,0.4361384745285674,0.11329823758297093,1.0,0.04680851063829787,0.9531914893617022,0.04680851063829787,0.9962476547842402,0.935871743486974,0.06037591129726616,0.9393966841404089,0.1
1,baseline,"dro",(None),0.766137040714995,0.5274949083503055,0.9932170542635659,0.5514163311073658,0.9961722488038277,0.5180598555211559,0.47811239328267185,0.5200504793656175,0.4937799043062201,0.009287925696594427,0.4844919786096257,0.01880984952120383,1.0,0.01276595744680851,0.9872340425531915,0.01276595744680851,0.9924953095684803,0.9939879759519038,0.001492666383423491,0.9984983053924832,0.3
1,baseline,"dro",(None),0.7318768619662364,0.960285132382892,0.5145348837209303,0.6050030645657684,0.9607655502392345,0.4850361197110423,0.47572943052819217,0.5048433716115929,0.45454545454545453,1.0,0.5454545454545454,0.45454545454545453,0.923828125,1.0,0.076171875,0.923828125,0.9962476547842402,0.0,0.9962476547842402,0.0,1.0
2,baseline,"dro",(None),0.7656405163853028,0.5244399185336049,0.9951550387596899,0.576068063773702,0.5249237029501526,0.9951503394762367,0.4702266365260841,0.5274818106643346,0.0,0.504364694471387,0.504364694471387,0.0,0.0,1.0,1.0,0.0,1.0,0.9903100775193798,0.009689922480620172,0.9903100775193798,0.01
2,baseline,"dro",(None),0.7656405163853028,0.5244399185336049,0.9951550387596899,0.576068063773702,0.5249237029501526,0.9951503394762367,0.4702266365260841,0.5274818106643346,0.0,0.504364694471387,0.504364694471387,0.0,0.0,1.0,1.0,0.0,1.0,0.9903100775193798,0.009689922480620172,0.9903100775193798,0.1
2,baseline,"dro",(None),0.766137040714995,0.5244399185336049,0.9961240310077519,0.5753213738555039,0.5249237029501526,0.9961202715809894,0.4711965686308368,0.526968196437787,0.0,0.5033947623666344,0.5033947623666344,0.0,0.0,1.0,1.0,0.0,1.0,0.9922480620155039,0.007751937984496138,0.9922480620155039,0.3
2,baseline,"dro",(None),0.573982125124131,0.5244399185336049,0.6211240310077519,0.8829612511114883,0.5249237029501526,0.6207565470417071,0.09583284409155457,0.8456192777212613,0.0,0.8787584869059166,0.8787584869059166,0.0,0.0,1.0,1.0,0.0,1.0,0.24224806201550386,0.7577519379844961,0.24224806201550386,1.0
3,baseline,"dro",(None),0.9602780536246276,0.9287169042769857,0.9903100775193798,0.06412181559404427,0.9183884297520661,0.9990439770554493,0.0806555473033832,0.9192672703546997,0.42458677685950413,0.48852772466539196,0.06394094780588783,0.869115007035306,0.8516949152542372,1.0,0.14830508474576276,0.8516949152542372,0.9818548387096774,0.9981343283582089,0.016279489648531542,0.9836900813988544,0.01
3,baseline,"dro",(None),0.9622641509433962,0.9969450101832994,0.9292635658914729,0.07037408988005237,0.9225206611570248,0.9990439770554493,0.07652331589842454,0.9234034560480842,0.5588842975206612,0.48852772466539196,0.0703565728552692,0.8741124537451006,0.9936440677966102,1.0,0.006355932203389814,0.9936440677966102,0.8548387096774194,0.9981343283582089,0.14329561868078955,0.8564365390413025,0.1
