bias.missing_s,bias.mixing_factor,bias.adult_biased_train,bias.subsample_context.0,bias.subsample_context.1,bias.subsample_context.2,bias.subsample_context.3,bias.subsample_train.0,bias.subsample_train.1,bias.subsample_train.2,bias.subsample_train.3,bias.log_dataset,baselines.greyscale,baselines.labelled_context_set,baselines.epochs,baselines.test_batch_size,baselines.batch_size,baselines.lr,baselines.weight_decay,baselines.eta,baselines.method,baselines.pred_s,baselines.oversample,data.log_name,data.data_pcnt,data.context_pcnt,data.test_pcnt,data.root,data.transductive,data.quant_level,data.input_noise,data.scale,data.greyscale,data.background,data.black,data.binarize,data.rotate_data,data.shift_data,data.color_correlation,data.padding,data.filter_map_labels.2,data.filter_map_labels.4,data.colors,misc.cluster_label_file,misc.exp_group,misc.log_method,misc.use_wandb,misc.gpu,misc.use_amp,misc.seed,misc.data_split_seed,misc.save_dir,misc.results_csv,misc.resume,misc.evaluate,misc.num_workers,misc.device,misc.use_gpu,Accuracy (dro),TPR (dro),TNR (dro),Renyi preds and s (dro),Accuracy_colour_1.0 (dro),Accuracy_colour_0.0 (dro),Accuracy_colour_0.0-colour_1.0 (dro),Accuracy_colour_0.0÷colour_1.0 (dro),prob_pos_colour_1.0 (dro),prob_pos_colour_0.0 (dro),prob_pos_colour_0.0-colour_1.0 (dro),prob_pos_colour_0.0÷colour_1.0 (dro),TPR_colour_1.0 (dro),TPR_colour_0.0 (dro),TPR_colour_0.0-colour_1.0 (dro),TPR_colour_0.0÷colour_1.0 (dro),TNR_colour_1.0 (dro),TNR_colour_0.0 (dro),TNR_colour_0.0-colour_1.0 (dro),TNR_colour_0.0÷colour_1.0 (dro),eta
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,0.01,dro,False,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro_0.01,True,0,False,0,0,results/cmnist/2v4/subsampled-0.66cont,,,False,4,cuda:0,True,0.7497517378351539,0.4908350305498982,0.996124031007752,0.564530919338874,0.9960238568588468,0.503968253968254,0.4920556028905929,0.5059801032854925,0.4831013916500994,0.0,0.4831013916500994,0.0,1.0,0.0,1.0,0.0,0.9923664122137404,1.0,0.0076335877862595,0.9923664122137404,0.01
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,0.01,dro,False,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro_0.01,True,0,False,1,1,results/cmnist/2v4/subsampled-0.66cont,,,False,4,cuda:0,True,0.7651439920556107,0.5213849287169042,0.997093023255814,0.5644253895575759,0.9971291866028708,0.5149638802889577,0.4821653063139132,0.5164465018252982,0.492822966507177,0.0,0.492822966507177,0.0,1.0,0.0,1.0,0.0,0.9943714821763602,1.0,0.0056285178236398,0.9943714821763602,0.01
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,0.01,dro,False,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro_0.01,True,0,False,2,2,results/cmnist/2v4/subsampled-0.66cont,,,False,4,cuda:0,True,0.766137040714995,0.5244399185336049,0.996124031007752,0.5753213738555039,0.9961202715809894,0.5249237029501526,0.4711965686308368,0.526968196437787,0.5033947623666344,0.0,0.5033947623666344,0.0,1.0,0.0,1.0,0.0,0.992248062015504,1.0,0.0077519379844961,0.992248062015504,0.01
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,0.01,dro,False,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro_0.01,True,0,False,3,3,results/cmnist/2v4/subsampled-0.66cont,,,False,4,cuda:0,True,0.7651439920556107,0.5193482688391039,0.999031007751938,0.5609224162662126,0.9990439770554492,0.512396694214876,0.4866472828405733,0.512887025979675,0.4885277246653919,0.0,0.4885277246653919,0.0,1.0,0.0,1.0,0.0,0.9981343283582088,1.0,0.001865671641791,0.9981343283582088,0.01
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,0.01,dro,False,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro_0.01,True,0,False,4,4,results/cmnist/2v4/subsampled-0.66cont,,,False,4,cuda:0,True,0.7482621648460774,0.4857433808553971,0.998062015503876,0.5619546260922559,0.998001998001998,0.5014807502467917,0.4965212477552062,0.5024847157127513,0.4785214785214785,0.0,0.4785214785214785,0.0,1.0,0.0,1.0,0.0,0.9961832061068704,1.0,0.0038167938931297,0.9961832061068704,0.01
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,0.01,dro,False,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro_0.01,True,0,False,5,5,results/cmnist/2v4/subsampled-0.66cont,,,False,4,cuda:0,True,0.7631578947368421,0.5173116089613035,0.997093023255814,0.5801957781430049,0.9970355731225296,0.5269461077844312,0.4700894653380985,0.5285128454686268,0.5049407114624506,0.0,0.5049407114624506,0.0,1.0,0.0,1.0,0.0,0.9940476190476192,1.0,0.0059523809523809,0.9940476190476192,0.01
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,0.01,dro,False,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro_0.01,True,0,False,6,6,results/cmnist/2v4/subsampled-0.66cont,,,False,4,cuda:0,True,0.7681231380337636,0.5285132382892057,0.996124031007752,0.5899115663381014,0.9950544015825916,0.53938185443669,0.4556725471459015,0.542062678762916,0.5173095944609297,0.0,0.5173095944609297,0.0,0.9980769230769232,0.0,0.9980769230769232,0.0,0.9918533604887984,1.0,0.0081466395112016,0.9918533604887984,0.01
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,0.01,dro,False,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro_0.01,True,0,False,7,7,results/cmnist/2v4/subsampled-0.66cont,,,False,4,cuda:0,True,0.7557100297914597,0.5061099796334012,0.993217054263566,0.5760139005600906,0.9930693069306932,0.5169322709163346,0.4761370360143584,0.5205399737043849,0.499009900990099,0.0,0.499009900990099,0.0,1.0,0.0,1.0,0.0,0.98635477582846,1.0,0.01364522417154,0.98635477582846,0.01
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,0.01,dro,False,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro_0.01,True,0,False,8,8,results/cmnist/2v4/subsampled-0.66cont,,,False,4,cuda:0,True,0.7522343594836147,0.4969450101832994,0.99515503875969,0.5715891336142577,0.9940179461615156,0.5123639960435212,0.4816539501179943,0.5154474303226196,0.4915254237288136,0.0,0.4915254237288136,0.0,0.9979550102249488,0.0,0.9979550102249488,0.0,0.990272373540856,1.0,0.0097276264591439,0.990272373540856,0.01
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,0.01,dro,False,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,baseline_dro_0.01,True,0,False,9,9,results/cmnist/2v4/subsampled-0.66cont,,,False,4,cuda:0,True,0.7507447864945382,0.4928716904276985,0.996124031007752,0.5705769557119561,0.9939879759519038,0.5118110236220472,0.4821769523298566,0.5149066548133097,0.4889779559118236,0.0,0.4889779559118236,0.0,0.9958847736625516,0.0,0.9958847736625516,0.0,0.9921875,1.0,0.0078125,0.9921875,0.01
