bias.missing_s,bias.mixing_factor,bias.adult_biased_train,bias.subsample_context.0,bias.subsample_context.1,bias.subsample_context.2,bias.subsample_context.3,bias.subsample_train.0,bias.subsample_train.1,bias.subsample_train.2,bias.subsample_train.3,bias.log_dataset,baselines.greyscale,baselines.labelled_context_set,baselines.epochs,baselines.test_batch_size,baselines.batch_size,baselines.lr,baselines.weight_decay,baselines.eta,baselines.method,baselines.pred_s,baselines.oversample,data.log_name,data.data_pcnt,data.context_pcnt,data.test_pcnt,data.root,data.transductive,data.quant_level,data.input_noise,data.scale,data.greyscale,data.background,data.black,data.binarize,data.rotate_data,data.shift_data,data.color_correlation,data.padding,data.filter_map_labels.2,data.filter_map_labels.4,data.colors,misc.cluster_label_file,misc.exp_group,misc.log_method,misc.use_wandb,misc.gpu,misc.use_amp,misc.seed,misc.data_split_seed,misc.save_dir,misc.results_csv,misc.resume,misc.evaluate,misc.num_workers,misc.device,misc.use_gpu,Accuracy (cnn),TPR (cnn),TNR (cnn),Renyi preds and s (cnn),Accuracy_colour_0.0 (cnn),Accuracy_colour_1.0 (cnn),Accuracy_colour_0.0-colour_1.0 (cnn),Accuracy_colour_0.0÷colour_1.0 (cnn),prob_pos_colour_0.0 (cnn),prob_pos_colour_1.0 (cnn),prob_pos_colour_0.0-colour_1.0 (cnn),prob_pos_colour_0.0÷colour_1.0 (cnn),TPR_colour_0.0 (cnn),TPR_colour_1.0 (cnn),TPR_colour_0.0-colour_1.0 (cnn),TPR_colour_0.0÷colour_1.0 (cnn),TNR_colour_0.0 (cnn),TNR_colour_1.0 (cnn),TNR_colour_0.0-colour_1.0 (cnn),TNR_colour_0.0÷colour_1.0 (cnn)
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,,True,0,False,3,3,results/cmnist/2v4/subsampled-0.66cont,,,False,4,cuda:0,True,0.7651439920556107,0.5193482688391039,0.999031007751938,0.5609224162662126,0.512396694214876,0.9990439770554492,0.4866472828405733,0.512887025979675,0.0,0.4885277246653919,0.4885277246653919,0.0,0.0,1.0,1.0,0.0,1.0,0.9981343283582088,0.001865671641791,0.9981343283582088
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,,True,0,False,2,2,results/cmnist/2v4/subsampled-0.66cont,,,False,4,cuda:0,True,0.766137040714995,0.5244399185336049,0.996124031007752,0.5753213738555039,0.5249237029501526,0.9961202715809894,0.4711965686308368,0.526968196437787,0.0,0.5033947623666344,0.5033947623666344,0.0,0.0,1.0,1.0,0.0,1.0,0.992248062015504,0.0077519379844961,0.992248062015504
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,,True,0,False,1,1,results/cmnist/2v4/subsampled-0.66cont,,,False,4,cuda:0,True,0.7646474677259185,0.5213849287169042,0.996124031007752,0.5651616539616161,0.5149638802889577,0.9961722488038276,0.48120836851487,0.5169426079749864,0.0,0.4937799043062201,0.4937799043062201,0.0,0.0,1.0,1.0,0.0,1.0,0.9924953095684804,0.0075046904315196,0.9924953095684804
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,,True,0,False,0,0,results/cmnist/2v4/subsampled-0.66cont,,,False,4,cuda:0,True,0.7502482621648461,0.4908350305498982,0.997093023255814,0.5637653791154283,0.503968253968254,0.9970178926441352,0.4930496386758812,0.5054756365823165,0.0,0.4821073558648111,0.4821073558648111,0.0,0.0,1.0,1.0,0.0,1.0,0.9942748091603052,0.0057251908396946,0.9942748091603052
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,,True,0,False,4,4,results/cmnist/2v4/subsampled-0.66cont,,,False,4,cuda:0,True,0.7487586891757696,0.4857433808553971,0.999031007751938,0.561184961507622,0.5014807502467917,0.999000999000999,0.4975202487542073,0.5019822309970385,0.0,0.4775224775224775,0.4775224775224775,0.0,0.0,1.0,1.0,0.0,1.0,0.9980916030534353,0.0019083969465648,0.9980916030534353
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,,True,0,False,5,5,results/cmnist/2v4/subsampled-0.66cont,,,False,4,cuda:0,True,0.7631578947368421,0.5173116089613035,0.997093023255814,0.5801957781430049,0.5269461077844312,0.9970355731225296,0.4700894653380985,0.5285128454686268,0.0,0.5049407114624506,0.5049407114624506,0.0,0.0,1.0,1.0,0.0,1.0,0.9940476190476192,0.0059523809523809,0.9940476190476192
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,,True,0,False,6,6,results/cmnist/2v4/subsampled-0.66cont,,,False,4,cuda:0,True,0.7681231380337636,0.5285132382892057,0.996124031007752,0.5899115663381014,0.53938185443669,0.9950544015825916,0.4556725471459015,0.542062678762916,0.0,0.5173095944609297,0.5173095944609297,0.0,0.0,0.9980769230769232,0.9980769230769232,0.0,1.0,0.9918533604887984,0.0081466395112016,0.9918533604887984
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,,True,0,False,7,7,results/cmnist/2v4/subsampled-0.66cont,,,False,4,cuda:0,True,0.7562065541211519,0.5061099796334012,0.994186046511628,0.5752517252856835,0.5169322709163346,0.994059405940594,0.4771271350242594,0.5200215075951176,0.0,0.498019801980198,0.498019801980198,0.0,0.0,1.0,1.0,0.0,1.0,0.9883040935672516,0.0116959064327485,0.9883040935672516
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,,True,0,False,8,8,results/cmnist/2v4/subsampled-0.66cont,,,False,4,cuda:0,True,0.7522343594836147,0.4969450101832994,0.99515503875969,0.5715891336142577,0.5123639960435212,0.9940179461615156,0.4816539501179943,0.5154474303226196,0.0,0.4915254237288136,0.4915254237288136,0.0,0.0,0.9979550102249488,0.9979550102249488,0.0,1.0,0.990272373540856,0.0097276264591439,0.990272373540856
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,,True,0,False,9,9,results/cmnist/2v4/subsampled-0.66cont,,,False,4,cuda:0,True,0.7517378351539226,0.4928716904276985,0.998062015503876,0.5690337699323125,0.5118110236220472,0.995991983967936,0.4841809603458886,0.5138706253267638,0.0,0.4869739478957915,0.4869739478957915,0.0,0.0,0.9958847736625516,0.9958847736625516,0.0,1.0,0.99609375,0.00390625,0.99609375
