bias.missing_s,bias.mixing_factor,bias.adult_biased_train,bias.subsample_context.0,bias.subsample_context.1,bias.subsample_context.2,bias.subsample_context.3,bias.subsample_train.0,bias.subsample_train.1,bias.subsample_train.2,bias.subsample_train.3,bias.log_dataset,baselines.greyscale,baselines.labelled_context_set,baselines.epochs,baselines.test_batch_size,baselines.batch_size,baselines.lr,baselines.weight_decay,baselines.eta,baselines.method,baselines.pred_s,baselines.oversample,data.log_name,data.data_pcnt,data.context_pcnt,data.test_pcnt,data.root,data.transductive,data.quant_level,data.input_noise,data.scale,data.greyscale,data.background,data.black,data.binarize,data.rotate_data,data.shift_data,data.color_correlation,data.padding,data.filter_map_labels.2,data.filter_map_labels.4,data.colors,misc.cluster_label_file,misc.exp_group,misc.log_method,misc.use_wandb,misc.gpu,misc.use_amp,misc.seed,misc.data_split_seed,misc.save_dir,misc.results_csv,misc.resume,misc.evaluate,misc.num_workers,misc.device,misc.use_gpu,Accuracy (dro),TPR (dro),TNR (dro),Renyi preds and s (dro),Accuracy_colour_1.0 (dro),Accuracy_colour_0.0 (dro),Accuracy_colour_0.0-colour_1.0 (dro),Accuracy_colour_0.0÷colour_1.0 (dro),prob_pos_colour_1.0 (dro),prob_pos_colour_0.0 (dro),prob_pos_colour_0.0-colour_1.0 (dro),prob_pos_colour_0.0÷colour_1.0 (dro),TPR_colour_1.0 (dro),TPR_colour_0.0 (dro),TPR_colour_0.0-colour_1.0 (dro),TPR_colour_0.0÷colour_1.0 (dro),TNR_colour_1.0 (dro),TNR_colour_0.0 (dro),TNR_colour_0.0-colour_1.0 (dro),TNR_colour_0.0÷colour_1.0 (dro),eta
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,1.0,dro,False,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,,True,0,False,10,10,results/cmnist/2v4/subsampled-0.66cont,,,False,4,cuda:0,True,0.5124131082423039,0.0,1.0,1.0,0.5196463654223968,0.5050200803212851,0.0146262851011117,0.9718533870833048,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,1.0,0.0,1.0,1.0
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,1.0,dro,False,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,,True,0,False,11,11,results/cmnist/2v4/subsampled-0.66cont,,,False,4,cuda:0,True,0.67974180734856,0.3584521384928716,0.9854651162790696,0.4743977581514279,0.8483033932135728,0.5128458498023716,0.3354575434112012,0.6045547547082074,0.3662674650698603,0.0,0.3662674650698603,0.0,0.7198364008179959,0.0,0.7198364008179959,0.0,0.9707602339181286,1.0,0.0292397660818714,0.9707602339181286,1.0
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,1.0,dro,False,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,,True,0,False,12,12,results/cmnist/2v4/subsampled-0.66cont,,,False,4,cuda:0,True,0.5173783515392254,0.5346232179226069,0.500968992248062,1.0,0.5048076923076923,0.5308008213552361,0.0259931290475438,0.9510303526260974,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,1.0,dro,False,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,,True,0,False,13,13,results/cmnist/2v4/subsampled-0.66cont,,,False,4,cuda:0,True,0.6936444885799404,0.3757637474541752,0.996124031007752,0.48199701111345,0.8744979919678715,0.5166994106090373,0.3577985813588341,0.5908525981246856,0.3744979919678715,0.0,0.3744979919678715,0.0,0.753061224489796,0.0,0.753061224489796,0.0,0.9920948616600792,1.0,0.0079051383399209,0.9920948616600792,1.0
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,1.0,dro,False,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,,True,0,False,14,14,results/cmnist/2v4/subsampled-0.66cont,,,False,4,cuda:0,True,0.5124131082423039,0.0,1.0,1.0,0.4989979959919839,0.5255905511811023,0.0265925551891183,0.9494044268311904,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,1.0,0.0,1.0,1.0
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,1.0,dro,False,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,,True,0,False,15,15,results/cmnist/2v4/subsampled-0.66cont,,,False,4,cuda:0,True,0.7164846077457795,0.4246435845213849,0.994186046511628,0.5238851443623596,0.9364278506559032,0.5034213098729228,0.4330065407829804,0.5375975410388647,0.4268415741675075,0.0,0.4268415741675075,0.0,0.879746835443038,0.0,0.879746835443038,0.0,0.988394584139265,1.0,0.011605415860735,0.988394584139265,1.0
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,1.0,dro,False,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,,True,0,False,16,16,results/cmnist/2v4/subsampled-0.66cont,,,False,4,cuda:0,True,0.7130089374379345,0.4765784114052953,0.937984496124031,0.6081368582636851,0.9344758064516128,0.4980430528375734,0.4364327536140395,0.5329651654960872,0.5362903225806451,0.0,0.5362903225806451,0.0,0.997867803837953,0.0,0.997867803837953,0.0,0.8776290630975143,1.0,0.1223709369024856,0.8776290630975143,1.0
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,1.0,dro,False,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,,True,0,False,17,17,results/cmnist/2v4/subsampled-0.66cont,,,False,4,cuda:0,True,0.6658391261171798,0.3156822810590631,0.999031007751938,0.4346155407713596,0.8383838383838383,0.4990234375,0.3393604008838383,0.5952207266566265,0.3141414141414141,0.0,0.3141414141414141,0.0,0.6609808102345416,0.0,0.6609808102345416,0.0,0.9980806142034548,1.0,0.0019193857965451,0.9980806142034548,1.0
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,1.0,dro,False,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,,True,0,False,18,18,results/cmnist/2v4/subsampled-0.66cont,,,False,4,cuda:0,True,0.7333664349553128,0.4643584521384928,0.9893410852713178,0.5532638071807467,0.967,0.5029585798816568,0.4640414201183431,0.5201226265580733,0.467,0.0,0.467,0.0,0.9539748953974896,0.0,0.9539748953974896,0.0,0.978927203065134,1.0,0.0210727969348658,0.978927203065134,1.0
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,1.0,dro,False,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,,True,0,False,19,19,results/cmnist/2v4/subsampled-0.66cont,,,False,4,cuda:0,True,0.7452830188679245,0.4887983706720977,0.9893410852713178,0.5740305605018674,0.9809236947791165,0.5147347740667977,0.4661889207123187,0.5247449692635932,0.4929718875502008,0.0,0.4929718875502008,0.0,0.9836065573770492,0.0,0.9836065573770492,0.0,0.9783464566929134,1.0,0.0216535433070865,0.9783464566929134,1.0
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,1.0,dro,False,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,,True,0,False,20,20,results/cmnist/2v4/subsampled-0.66cont,,,False,4,cuda:0,True,0.5129096325719961,0.0020366598778004,0.999031007751938,0.0388931903882649,0.52,0.5059171597633136,0.0140828402366863,0.9729176149294492,0.003,0.0,0.003,0.0,0.0041580041580041,0.0,0.0041580041580041,0.0,0.9980732177263968,1.0,0.0019267822736031,0.9980732177263968,1.0
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,1.0,dro,False,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,,True,0,False,21,21,results/cmnist/2v4/subsampled-0.66cont,,,False,4,cuda:0,True,0.5124131082423039,0.0,1.0,1.0,0.5222993062438057,0.5024875621890548,0.0198117440547509,0.9620682167908088,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,1.0,0.0,1.0,1.0
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,1.0,dro,False,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,,True,0,False,22,22,results/cmnist/2v4/subsampled-0.66cont,,,False,4,cuda:0,True,0.7462760675273088,0.4837067209775967,0.996124031007752,0.5411380855694333,0.960538979788258,0.517948717948718,0.44259026183954,0.5392271722933046,0.4610202117420596,0.0,0.4610202117420596,0.0,0.927734375,0.0,0.927734375,0.0,0.9924098671726757,1.0,0.0075901328273244,0.9924098671726757,1.0
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,1.0,dro,False,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,,True,0,False,23,23,results/cmnist/2v4/subsampled-0.66cont,,,False,4,cuda:0,True,0.528798411122145,0.0346232179226069,0.999031007751938,0.1321975605413601,0.5528134254689042,0.5044955044955045,0.0483179209733997,0.9125963322391896,0.0345508390918065,0.0,0.0345508390918065,0.0,0.0699588477366255,0.0,0.0699588477366255,0.0,0.9981024667931688,1.0,0.0018975332068311,0.9981024667931688,1.0
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,1.0,dro,False,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,,True,0,False,24,24,results/cmnist/2v4/subsampled-0.66cont,,,False,4,cuda:0,True,0.7135054617676266,0.4185336048879837,0.994186046511628,0.5094736637694409,0.9356435643564356,0.4900398406374502,0.4456037237189855,0.52374628470246,0.4128712871287128,0.0,0.4128712871287128,0.0,0.874468085106383,0.0,0.874468085106383,0.0,0.9888888888888888,1.0,0.011111111111111,0.9888888888888888,1.0
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,1.0,dro,False,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,,True,0,False,25,25,results/cmnist/2v4/subsampled-0.66cont,,,False,4,cuda:0,True,0.5158887785501489,0.0071283095723014,1.0,0.0592337412990465,0.5109561752988048,0.5207920792079208,0.009835903909116,0.98111356853953,0.0069721115537848,0.0,0.0069721115537848,0.0,0.0140562248995983,0.0,0.0140562248995983,0.0,1.0,1.0,0.0,1.0,1.0
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,1.0,dro,False,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,,True,0,False,26,26,results/cmnist/2v4/subsampled-0.66cont,,,False,4,cuda:0,True,0.7447864945382324,0.4959266802443992,0.9815891472868216,0.5589102166241596,0.9645254074784276,0.5087538619979403,0.4557715454804874,0.5274654851529341,0.4851390220517737,0.0,0.4851390220517737,0.0,0.9643564356435644,0.0,0.9643564356435644,0.0,0.9646840148698884,1.0,0.0353159851301114,0.9646840148698884,1.0
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,1.0,dro,False,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,,True,0,False,27,27,results/cmnist/2v4/subsampled-0.66cont,,,False,4,cuda:0,True,0.7149950347567031,0.4429735234215886,0.9738372093023256,0.5587630805791943,0.960325534079349,0.481086323957323,0.4792392101220259,0.500961712341153,0.4699898270600203,0.0,0.4699898270600203,0.0,0.9731543624161074,0.0,0.9731543624161074,0.0,0.9496268656716418,1.0,0.0503731343283582,0.9496268656716418,1.0
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,1.0,dro,False,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,,True,0,False,28,28,results/cmnist/2v4/subsampled-0.66cont,,,False,4,cuda:0,True,0.7269116186693148,0.5295315682281059,0.9147286821705426,0.6427440517286311,0.9145631067961164,0.5304878048780488,0.3840753019180677,0.5800450520428772,0.5902912621359223,0.0,0.5902912621359223,0.0,1.0,0.0,1.0,0.0,0.8274509803921568,1.0,0.1725490196078432,0.8274509803921568,1.0
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,256,0.001,1e-08,1.0,dro,False,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,,,True,0,False,29,29,results/cmnist/2v4/subsampled-0.66cont,,,False,4,cuda:0,True,0.5124131082423039,0.0,1.0,1.0,0.5195694716242661,0.5050403225806451,0.014529149043621015,0.9720361764169856,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,1.0,0.0,1.0,1.0
