bias.missing_s,bias.mixing_factor,bias.adult_biased_train,bias.subsample_context.0,bias.subsample_context.1,bias.subsample_context.2,bias.subsample_context.3,bias.subsample_train.0,bias.subsample_train.1,bias.subsample_train.2,bias.subsample_train.3,bias.log_dataset,baselines.greyscale,baselines.labelled_context_set,baselines.epochs,baselines.test_batch_size,baselines.batch_size,baselines.lr,baselines.weight_decay,baselines.eta,baselines.c,baselines.method,baselines.oversample,data.log_name,data.data_pcnt,data.context_pcnt,data.test_pcnt,data.root,data.transductive,data.quant_level,data.input_noise,data.scale,data.greyscale,data.background,data.black,data.binarize,data.rotate_data,data.shift_data,data.color_correlation,data.padding,data.filter_map_labels.2,data.filter_map_labels.4,data.colors,misc.cluster_label_file,misc.exp_group,misc.log_method,misc.use_wandb,misc.gpu,misc.use_amp,misc.seed,misc.data_split_seed,misc.save_dir,misc.results_csv,misc.resume,misc.evaluate,misc.num_workers,misc.device,misc.use_gpu,Accuracy (lff),TPR (lff),TNR (lff),Renyi preds and s (lff),Accuracy_colour_1.0 (lff),Accuracy_colour_0.0 (lff),Accuracy_colour_0.0-colour_1.0 (lff),Accuracy_colour_0.0÷colour_1.0 (lff),prob_pos_colour_1.0 (lff),prob_pos_colour_0.0 (lff),prob_pos_colour_0.0-colour_1.0 (lff),prob_pos_colour_0.0÷colour_1.0 (lff),TPR_colour_1.0 (lff),TPR_colour_0.0 (lff),TPR_colour_0.0-colour_1.0 (lff),TPR_colour_0.0÷colour_1.0 (lff),TNR_colour_1.0 (lff),TNR_colour_0.0 (lff),TNR_colour_0.0-colour_1.0 (lff),TNR_colour_0.0÷colour_1.0 (lff)
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,lff,baseline_lff,True,0,False,10,10,results/cmnist/2v4/subsampled-0.66cont/,,,False,4,cuda:0,True,0.7537239324726912,0.4959266802443992,0.999031007751938,0.5593561589979588,0.9970530451866404,0.5050200803212851,0.4920329648653554,0.5065127505094268,0.4793713163064833,0.0,0.4793713163064833,0.0,0.9959100204498976,0.0,0.9959100204498976,0.0,0.9981096408317579,1.0,0.001890359168241984,0.9981096408317579
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,lff,baseline_lff,True,0,False,11,11,results/cmnist/2v4/subsampled-0.66cont/,,,False,4,cuda:0,True,0.7517378351539226,0.4979633401221996,0.993217054263566,0.574462055631133,0.9930139720558884,0.5128458498023716,0.4801681222535167,0.5164538105547499,0.4950099800399202,0.0,0.4950099800399202,0.0,1.0,0.0,1.0,0.0,0.98635477582846,1.0,0.013645224171540016,0.98635477582846
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,lff,baseline_lff,True,0,False,12,12,results/cmnist/2v4/subsampled-0.66cont/,,,False,4,cuda:0,True,0.7701092353525323,0.5346232179226069,0.994186046511628,0.5790812374963571,0.9942307692307693,0.5308008213552361,0.4634299478755332,0.5338809034907597,0.5105769230769229,0.0,0.5105769230769229,0.0,1.0,0.0,1.0,0.0,0.9883495145631068,1.0,0.011650485436893177,0.9883495145631068
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,lff,baseline_lff,True,0,False,13,13,results/cmnist/2v4/subsampled-0.66cont/,,,False,4,cuda:0,True,0.7542204568023834,0.4989816700610998,0.997093023255814,0.5755765244160533,0.9969879518072288,0.5166994106090373,0.4802885411981915,0.5182604360187324,0.4949799196787149,0.0,0.4949799196787149,0.0,1.0,0.0,1.0,0.0,0.9940711462450592,1.0,0.005928853754940677,0.9940711462450592
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,lff,baseline_lff,True,0,False,14,14,results/cmnist/2v4/subsampled-0.66cont/,,,False,4,cuda:0,True,0.7591857000993049,0.5091649694501018,0.9970930232558141,0.5821479114393819,0.9969939879759521,0.5255905511811023,0.4714034367948496,0.5271752463102916,0.5040080160320641,0.0,0.5040080160320641,0.0,1.0,0.0,1.0,0.0,0.993975903614458,1.0,0.0060240963855421326,0.993975903614458
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,lff,baseline_lff,True,0,False,15,15,results/cmnist/2v4/subsampled-0.66cont/,,,False,4,cuda:0,True,0.7462760675273088,0.4826883910386965,0.997093023255814,0.5660088807594602,0.9969727547931384,0.5034213098729228,0.4935514449202155,0.5049499170891361,0.4813319878910192,0.0,0.4813319878910192,0.0,1.0,0.0,1.0,0.0,0.9941972920696324,1.0,0.005802707930367522,0.9941972920696324
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,lff,baseline_lff,True,0,False,16,16,results/cmnist/2v4/subsampled-0.66cont/,,,False,4,cuda:0,True,0.7423038728897716,0.4765784114052953,0.99515503875969,0.5623398527430223,0.9939516129032258,0.4980430528375734,0.4959085600656524,0.5010737407858751,0.4768145161290322,0.0,0.4768145161290322,0.0,0.997867803837953,0.0,0.997867803837953,0.0,0.9904397705544932,1.0,0.009560229445506718,0.9904397705544932
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,lff,baseline_lff,True,0,False,17,17,results/cmnist/2v4/subsampled-0.66cont/,,,False,4,cuda:0,True,0.7418073485600795,0.4775967413441955,0.993217054263566,0.5657931558037839,0.9929292929292928,0.4990234375,0.4939058554292929,0.5025770123346898,0.4808080808080808,0.0,0.4808080808080808,0.0,1.0,0.0,1.0,0.0,0.9865642994241842,1.0,0.01343570057581578,0.9865642994241842
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,lff,baseline_lff,True,0,False,18,18,results/cmnist/2v4/subsampled-0.66cont/,,,False,4,cuda:0,True,0.7482621648460774,0.4857433808553971,0.998062015503876,0.5625129748775022,0.997,0.5029585798816568,0.4940414201183432,0.5044719958692646,0.479,0.0,0.479,0.0,0.997907949790795,0.0,0.997907949790795,0.0,0.9961685823754788,1.0,0.0038314176245211047,0.9961685823754788
[],0.0,True,0.7,0.4,0.2,1.0,1.0,0.3,0.0,1.0,subsampled,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.66666666,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,lff,baseline_lff,True,0,False,19,19,results/cmnist/2v4/subsampled-0.66cont/,,,False,4,cuda:0,True,0.7532274081429989,0.4959266802443992,0.998062015503876,0.5724844932078601,0.9969879518072288,0.5147347740667977,0.4822531777404312,0.5162898640186612,0.4909638554216868,0.0,0.4909638554216868,0.0,0.9979508196721312,0.0,0.9979508196721312,0.0,0.9960629921259844,1.0,0.003937007874015741,0.9960629921259844
