data.log_name,data.data_pcnt,data.context_pcnt,data.test_pcnt,data.root,data.transductive,data.quant_level,data.input_noise,data.scale,data.greyscale,data.background,data.black,data.binarize,data.rotate_data,data.shift_data,data.color_correlation,data.padding,data.filter_map_labels.2,data.filter_map_labels.4,data.colors,bias.missing_s,bias.mixing_factor,bias.adult_biased_train,bias.subsample_context.0,bias.subsample_context.1,bias.subsample_context.2,bias.subsample_context.3,bias.subsample_train.0,bias.subsample_train.1,bias.subsample_train.2,bias.subsample_train.3,bias.log_dataset,misc.cluster_label_file,misc.exp_group,misc.log_method,misc.use_wandb,misc.gpu,misc.use_amp,misc.seed,misc.data_split_seed,misc.save_dir,misc.results_csv,misc.resume,misc.evaluate,misc.num_workers,misc.device,misc.use_gpu,baselines.greyscale,baselines.labelled_context_set,baselines.epochs,baselines.test_batch_size,baselines.batch_size,baselines.lr,baselines.weight_decay,baselines.eta,baselines.method,baselines.pred_s,baselines.oversample,Accuracy (cnn),TPR (cnn),TNR (cnn),Renyi preds and s (cnn),Accuracy_colour_0.0 (cnn),Accuracy_colour_1.0 (cnn),Accuracy_colour_0.0-colour_1.0 (cnn),Accuracy_colour_0.0÷colour_1.0 (cnn),prob_pos_colour_0.0 (cnn),prob_pos_colour_1.0 (cnn),prob_pos_colour_0.0-colour_1.0 (cnn),prob_pos_colour_0.0÷colour_1.0 (cnn),TPR_colour_0.0 (cnn),TPR_colour_1.0 (cnn),TPR_colour_0.0-colour_1.0 (cnn),TPR_colour_0.0÷colour_1.0 (cnn),TNR_colour_0.0 (cnn),TNR_colour_1.0 (cnn),TNR_colour_0.0-colour_1.0 (cnn),TNR_colour_0.0÷colour_1.0 (cnn)
cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,,,,True,0,False,10,10,results/cmnist/2_digits/baselines,more-data.csv,,False,4,cuda:0,True,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,0.6817279046673287,0.7953156822810591,0.5736434108527132,0.2145689654412623,0.3570712136409227,1.0,0.6429287863590772,0.3570712136409227,0.7121364092276831,0.5024582104228122,0.2096781988048708,0.7055645574528786,0.5732484076433121,1.0,0.4267515923566879,0.5732484076433121,0.1634980988593156,1.0,0.8365019011406845,0.1634980988593156
cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,,,,True,0,False,11,11,results/cmnist/2_digits/baselines,more-data.csv,,False,4,cuda:0,True,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,0.7497517378351539,0.4887983706720977,0.998062015503876,0.5637032412115671,0.5039525691699605,0.998003992015968,0.4940514228460075,0.5049604743083004,0.0,0.4810379241516966,0.4810379241516966,0.0,0.0,1.0,1.0,0.0,1.0,0.9961685823754788,0.0038314176245211,0.9961685823754788
cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,,,,True,0,False,12,12,results/cmnist/2_digits/baselines,more-data.csv,,False,4,cuda:0,True,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,0.7974180734856008,0.6262729124236253,0.9602713178294574,0.3482332001163672,0.5831622176591376,0.9980769230769232,0.4149147054177855,0.5842858442827582,0.1570841889117043,0.4836538461538461,0.3265696572421418,0.3247863945689314,0.237006237006237,1.0,0.762993762993763,0.237006237006237,0.920892494929006,0.9962894248608536,0.0753969299318474,0.9243222621354455
cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,,,,True,0,False,13,13,results/cmnist/2_digits/baselines,more-data.csv,,False,4,cuda:0,True,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,0.7487586891757696,0.4857433808553971,0.999031007751938,0.5628594005103043,0.5029527559055118,0.998997995991984,0.4960452400864722,0.5034572220598804,0.0,0.4789579158316633,0.4789579158316633,0.0,0.0,1.0,1.0,0.0,1.0,0.9980806142034548,0.0019193857965451,0.9980806142034548
cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,,,,True,0,False,14,14,results/cmnist/2_digits/baselines,more-data.csv,,False,4,cuda:0,True,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,0.7497517378351539,0.4877800407331975,0.999031007751938,0.5655254560896157,0.5058939096267191,0.998995983935743,0.4931020743090238,0.5064023457167962,0.0,0.4819277108433735,0.4819277108433735,0.0,0.0,1.0,1.0,0.0,1.0,0.9980657640232108,0.0019342359767892,0.9980657640232108
cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,,,,True,0,False,15,15,results/cmnist/2_digits/baselines,more-data.csv,,False,4,cuda:0,True,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,0.733862959285005,0.4806517311608961,0.9748062015503876,0.5218945262441221,0.4755381604696673,1.0,0.5244618395303327,0.4755381604696673,0.0254403131115459,0.4758064516129032,0.4503661385013572,0.0534677767090119,0.0,1.0,1.0,0.0,0.94921875,1.0,0.05078125,0.94921875
cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,,,,True,0,False,16,16,results/cmnist/2_digits/baselines,more-data.csv,,False,4,cuda:0,True,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,0.73733862959285,0.5305498981670062,0.9341085271317828,0.4364125203440173,0.4833659491193737,0.998991935483871,0.5156259863644972,0.483853704870251,0.0968688845401174,0.4939516129032258,0.3970827283631084,0.1961100682934622,0.0631364562118126,0.9979633401221996,0.9348268839103868,0.0632653061224489,0.871939736346516,1.0,0.128060263653484,0.871939736346516
cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,,,,True,0,False,17,17,results/cmnist/2_digits/baselines,more-data.csv,,False,4,cuda:0,True,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,0.7462760675273088,0.4796334012219959,1.0,0.5619010861121814,0.5009765625,1.0,0.4990234375,0.5009765625,0.0,0.4757575757575757,0.4757575757575757,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,,,,True,0,False,18,18,results/cmnist/2_digits/baselines,more-data.csv,,False,4,cuda:0,True,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,0.7507447864945382,0.4898167006109979,0.999031007751938,0.5648239634262823,0.5059171597633136,0.999,0.4930828402366863,0.5064235833466603,0.0,0.482,0.482,0.0,0.0,1.0,1.0,0.0,1.0,0.9980732177263968,0.0019267822736031,0.9980732177263968
cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,,,,True,0,False,19,19,results/cmnist/2_digits/baselines,more-data.csv,,False,4,cuda:0,True,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,0.7641509433962265,0.5162932790224033,1.0,0.5858146803988489,0.5329400196656834,1.0,0.4670599803343166,0.5329400196656834,0.0,0.5085255767301906,0.5085255767301906,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
