approach,seed,data,method,wandb_url,cluster_test_acc,cluster_context_acc,Accuracy,TPR,TNR,Renyi preds and s,Accuracy_colour_0.0,Accuracy_colour_2.0,Accuracy_colour_1.0,Accuracy_colour_0.0-colour_1.0,Accuracy_colour_0.0-colour_2.0,Accuracy_colour_1.0-colour_2.0,Accuracy_colour_0.0/colour_1.0,Accuracy_colour_0.0/colour_2.0,Accuracy_colour_1.0/colour_2.0,prob_pos_colour_0.0,prob_pos_colour_2.0,prob_pos_colour_1.0,prob_pos_colour_0.0-colour_1.0,prob_pos_colour_0.0-colour_2.0,prob_pos_colour_1.0-colour_2.0,prob_pos_colour_0.0/colour_1.0,prob_pos_colour_0.0/colour_2.0,prob_pos_colour_1.0/colour_2.0,TPR_colour_0.0,TPR_colour_2.0,TPR_colour_1.0,TPR_colour_0.0-colour_1.0,TPR_colour_0.0-colour_2.0,TPR_colour_1.0-colour_2.0,TPR_colour_0.0/colour_1.0,TPR_colour_0.0/colour_2.0,TPR_colour_1.0/colour_2.0,TNR_colour_0.0,TNR_colour_2.0,TNR_colour_1.0,TNR_colour_0.0-colour_1.0,TNR_colour_0.0-colour_2.0,TNR_colour_1.0-colour_2.0,TNR_colour_0.0/colour_1.0,TNR_colour_0.0/colour_2.0,TNR_colour_1.0/colour_2.0
no_cluster,888,x_rand_s,pytorch_classifier,https://app.wandb.ai/predictive-analytics-lab/suds/runs/3l5de0pz,0,0,0.786991063,0.67107943,0.897286822,0.317439743,0.995488722,0.353846154,0.991416309,0.004072413,0.641642568,0.637570155,0.995909132,0.355449686,0.356909757,0.476691729,0.156923077,0.494992847,0.018301118,0.319768652,0.33806977,0.963027511,0.329191944,0.317020898,0.993710692,0.00621118,0.997076023,0.003365332,0.987499512,0.990864843,0.996624799,0.006250491,0.006229395,0.997118156,0.695121951,0.985994398,0.011123758,0.301996204,0.290872447,0.988844093,0.697130974,0.704995843
no_cluster,1,x_rand_s,pytorch_classifier,https://app.wandb.ai/predictive-analytics-lab/suds/runs/20ikn5jn,0,0,0.988083416,0.979633401,0.996124031,0.017227992,0.996996997,0.975254731,0.992435703,0.004561294,0.017180973,0.021742266,0.995424968,0.982688075,0.978192245,0.490990991,0.470160116,0.47806354,0.012927451,0.007903424,0.020830875,0.973670696,0.983467839,0.957573815,1,0.95,0.990536278,0.009463722,0.040536278,0.05,0.990536278,0.959076433,0.95,0.994134897,1,0.994186047,5.11E-05,0.005813953,0.005865103,0.999948552,0.994186047,0.994134897
no_cluster,2410,x_rand_s,pytorch_classifier,https://app.wandb.ai/predictive-analytics-lab/suds/runs/jbiv0jc1,0,0,0.925521351,0.877800407,0.970930233,0.140770338,0.980582524,0.83,0.972701149,0.007881375,0.150582524,0.142701149,0.991962558,0.846435644,0.853293944,0.496763754,0.347142857,0.49137931,0.005384444,0.149620897,0.144236453,0.989160957,0.698808748,0.706466165,0.996632997,0.671270718,1,0.003367003,0.325362278,0.328729282,0.996632997,0.673538525,0.671270718,0.965732087,1,0.949061662,0.016670425,0.034267913,0.050938338,0.982738044,0.965732087,0.949061662
no_cluster,1996,x_rand_s,pytorch_classifier,https://app.wandb.ai/predictive-analytics-lab/suds/runs/2evpxxja,0,0,0.997517378,0.99694501,0.998062016,0.043619037,0.997142857,0.998491704,0.996927803,0.001563901,0.000215054,0.001348847,0.998433737,0.99978433,0.998649115,0.514285714,0.461538462,0.483870968,0.022332506,0.030414747,0.052747253,0.953846154,0.940860215,0.897435897,0.997222222,0.996742671,0.996825397,8.27E-05,0.000396825,0.000479551,0.999917011,0.999602069,0.999519113,0.997058824,1,0.99702381,0.00297619,3.50E-05,0.002941176,0.99702381,0.999964883,0.997058824
no_cluster,711,x_rand_s,pytorch_classifier,https://app.wandb.ai/predictive-analytics-lab/suds/runs/29ad8efn,0,0,0.846077458,0.738289206,0.948643411,0.063133699,0.858006042,0.839694656,0.840746055,0.017259988,0.001051398,0.018311386,0.979883606,0.998749446,0.978658209,0.342900302,0.401526718,0.413199426,0.070299124,0.011672709,0.058626415,0.829866356,0.971750424,0.853991247,0.70846395,0.740853659,0.764179104,0.055715155,0.023325446,0.032389709,0.927091497,0.969476467,0.956280558,0.997084548,0.93883792,0.91160221,0.085482338,0.027235711,0.058246628,0.914267713,0.970989976,0.941583061
cnn,2410,train,CNN,n/a,nan,nan,0.819265144,0.630346232,0.999031008,0.486902687,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.478964401,0,0.465517241,0.01344716,0.478964401,0.465517241,0.971924511,0,0,0.996632997,0,1,0.003367003,0.996632997,1,0.996632997,0,0,1,1,0.997319035,0.002680965,0,0.002680965,0.997319035,1,0.997319035
cnn,1996,train,CNN,n/a,nan,nan,0.839126117,0.845213849,0.833333333,0.066596323,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.541428571,0.463046757,0.485407066,0.022360309,0.056021505,0.078381814,0.953934933,0.896530201,0.855231478,0.577777778,1,1,0,0.422222222,0.422222222,1,0.577777778,0.577777778,0.497058824,1,0.99702381,0.00297619,0.499964986,0.502941176,0.99702381,0.498542581,0.497058824
cnn,888,train,CNN,n/a,nan,nan,0.837636544,0.67107943,0.996124031,0.483713854,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.479699248,0,0.492131617,0.012432368,0.479699248,0.492131617,0.974737716,0,0,1,0,0.997076023,0.002923977,1,0.997076023,0.997076023,0,0,0.997118156,1,0.991596639,0.005521517,0.002881844,0.008403361,0.994462525,0.997118156,0.991596639
cnn,711,train,CNN,n/a,nan,nan,0.835650447,0.66395112,0.999031008,0.480887652,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.481873112,0,0.479196557,0.002676555,0.479196557,0.481873112,0.994445519,0,0,0.996865204,0,0.997014925,0.000149722,0.997014925,0.996865204,0.99984983,0,0,0.997084548,1,1,0.002915452,0,0.002915452,0.997084548,1,0.997084548
cnn,1,train,CNN,n/a,nan,nan,0.829195631,0.652749491,0.997093023,0.493338668,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.487987988,0,0.482602118,0.00538587,0.482602118,0.487987988,0.98896311,0,0,1,0,0.996845426,0.003154574,0.996845426,1,0.996845426,0,0,1,1,0.99127907,0.00872093,0.00872093,0,0.99127907,0.99127907,1
