seed,data,method,wandb_url,cluster_test_acc,cluster_context_acc,Accuracy,TPR,TNR,Renyi preds and s,prob_pos_sex_Male_1.0,prob_pos_sex_Male_0.0,prob_pos_sex_Male_0.0-sex_Male_1.0,prob_pos_sex_Male_0.0/sex_Male_1.0,TPR_sex_Male_1.0,TPR_sex_Male_0.0,TPR_sex_Male_0.0-sex_Male_1.0,TPR_sex_Male_0.0/sex_Male_1.0,TNR_sex_Male_1.0,TNR_sex_Male_0.0,TNR_sex_Male_0.0-sex_Male_1.0,TNR_sex_Male_0.0/sex_Male_1.0
888,original_data,"Logistic Regression (C=1.0)",https://app.wandb.ai/predictive-analytics-lab/suds/runs/ypd7r6fa,0.5808383233532934,0.6104046881910659,0.7567365269461078,0.5793413173652695,0.9341317365269461,0.10727829882065684,0.3727544910179641,0.27245508982035926,0.10029940119760483,0.7309236947791163,0.6407185628742516,0.5179640718562875,0.1227544910179641,0.8084112149532711,0.8952095808383234,0.9730538922155688,0.07784431137724546,0.92
888,original_data,"Majority",https://app.wandb.ai/predictive-analytics-lab/suds/runs/ypd7r6fa,0.5808383233532934,0.6104046881910659,0.5,0.0,1.0,1.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
888,original_data,"Kamiran & Calders LR",https://app.wandb.ai/predictive-analytics-lab/suds/runs/ypd7r6fa,0.5808383233532934,0.6104046881910659,0.7567365269461078,0.5793413173652695,0.9341317365269461,0.10727829882065684,0.3727544910179641,0.27245508982035926,0.10029940119760483,0.7309236947791163,0.6407185628742516,0.5179640718562875,0.1227544910179641,0.8084112149532711,0.8952095808383234,0.9730538922155688,0.07784431137724546,0.92
888,original_data,"LRCV",https://app.wandb.ai/predictive-analytics-lab/suds/runs/ypd7r6fa,0.5808383233532934,0.6104046881910659,0.7732035928143712,0.6167664670658682,0.9296407185628742,0.06146932831953534,0.3727544910179641,0.3143712574850299,0.058383233532934176,0.8433734939759036,0.6407185628742516,0.592814371257485,0.04790419161676651,0.9252336448598131,0.8952095808383234,0.9640718562874252,0.06886227544910184,0.9285714285714285
888,original_data,"SVM",https://app.wandb.ai/predictive-analytics-lab/suds/runs/ypd7r6fa,0.5808383233532934,0.6104046881910659,0.7118263473053892,0.47604790419161674,0.9476047904191617,0.171457806017459,0.3398203592814371,0.18862275449101795,0.15119760479041916,0.5550660792951542,0.592814371257485,0.3592814371257485,0.23353293413173654,0.6060606060606061,0.9131736526946108,0.9820359281437125,0.06886227544910173,0.9298780487804879
1,original_data,"Logistic Regression (C=1.0)",https://app.wandb.ai/predictive-analytics-lab/suds/runs/8qkdjetm,0.5276946107784432,0.6070875718708536,0.7455089820359282,0.5658682634730539,0.9251497005988024,0.10907974247216597,0.3712574850299401,0.2694610778443114,0.10179640718562871,0.7258064516129032,0.6287425149700598,0.5029940119760479,0.12574850299401197,0.8,0.8862275449101796,0.9640718562874252,0.07784431137724557,0.9192546583850931
1,original_data,"Majority",https://app.wandb.ai/predictive-analytics-lab/suds/runs/8qkdjetm,0.5276946107784432,0.6070875718708536,0.5,0.0,1.0,1.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
1,original_data,"Kamiran & Calders LR",https://app.wandb.ai/predictive-analytics-lab/suds/runs/8qkdjetm,0.5276946107784432,0.6070875718708536,0.7455089820359282,0.5658682634730539,0.9251497005988024,0.10907974247216597,0.3712574850299401,0.2694610778443114,0.10179640718562871,0.7258064516129032,0.6287425149700598,0.5029940119760479,0.12574850299401197,0.8,0.8862275449101796,0.9640718562874252,0.07784431137724557,0.9192546583850931
1,original_data,"LRCV",https://app.wandb.ai/predictive-analytics-lab/suds/runs/8qkdjetm,0.5276946107784432,0.6070875718708536,0.7282934131736527,0.5239520958083832,0.9326347305389222,0.16238347650194818,0.36976047904191617,0.2215568862275449,0.14820359281437126,0.5991902834008097,0.625748502994012,0.4221556886227545,0.20359281437125748,0.6746411483253588,0.8862275449101796,0.9790419161676647,0.09281437125748504,0.9051987767584098
1,original_data,"SVM",https://app.wandb.ai/predictive-analytics-lab/suds/runs/8qkdjetm,0.5276946107784432,0.6070875718708536,0.7028443113772455,0.46107784431137727,0.9446107784431138,0.17615332693134686,0.33532934131736525,0.18113772455089822,0.15419161676646703,0.5401785714285715,0.5718562874251497,0.3502994011976048,0.22155688622754494,0.6125654450261779,0.9011976047904192,0.9880239520958084,0.08682634730538918,0.9121212121212121
2410,original_data,"Logistic Regression (C=1.0)",https://app.wandb.ai/predictive-analytics-lab/suds/runs/rjjaziy1,0.5920658682634731,0.6189186200796107,0.75,0.5658682634730539,0.9341317365269461,0.0740676402193102,0.3502994011976048,0.281437125748503,0.06886227544910178,0.8034188034188035,0.5988023952095808,0.5329341317365269,0.06586826347305386,0.89,0.8982035928143712,0.9700598802395209,0.07185628742514971,0.9259259259259259
2410,original_data,"Majority",https://app.wandb.ai/predictive-analytics-lab/suds/runs/rjjaziy1,0.5920658682634731,0.6189186200796107,0.5,0.0,1.0,1.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
2410,original_data,"Kamiran & Calders LR",https://app.wandb.ai/predictive-analytics-lab/suds/runs/rjjaziy1,0.5920658682634731,0.6189186200796107,0.75,0.5658682634730539,0.9341317365269461,0.0740676402193102,0.3502994011976048,0.281437125748503,0.06886227544910178,0.8034188034188035,0.5988023952095808,0.5329341317365269,0.06586826347305386,0.89,0.8982035928143712,0.9700598802395209,0.07185628742514971,0.9259259259259259
