Seed,Accuracy,Renyi preds and s,TPR,TNR,prob_pos_sens_1.0,prob_pos_sens_0.0,prob_pos_sens_0.0-sens_1.0,prob_pos_sens_0.0/sens_1.0,TPR_sens_1.0,TPR_sens_0.0,TPR_sens_0.0-sens_1.0,TPR_sens_0.0/sens_1.0,TNR_sens_1.0,TNR_sens_0.0,TNR_sens_0.0-sens_1.0,TNR_sens_0.0/sens_1.0,eta
888,0.813622754491018,0.029042381352533248,0.7125748502994012,0.9146706586826348,0.3847305389221557,0.41317365269461076,0.028443113772455064,0.9311594202898551,0.6646706586826348,0.7604790419161677,0.09580838323353291,0.8740157480314961,0.8952095808383234,0.9341317365269461,0.038922155688622784,0.9583333333333333,0.01
888,0.813622754491018,0.029042381352533248,0.7125748502994012,0.9146706586826348,0.3847305389221557,0.41317365269461076,0.028443113772455064,0.9311594202898551,0.6646706586826348,0.7604790419161677,0.09580838323353291,0.8740157480314961,0.8952095808383234,0.9341317365269461,0.038922155688622784,0.9583333333333333,0.1
888,0.8061377245508982,0.022972681458002034,0.7005988023952096,0.9116766467065869,0.38323353293413176,0.405688622754491,0.022455089820359264,0.944649446494465,0.655688622754491,0.7455089820359282,0.08982035928143717,0.8795180722891566,0.8892215568862275,0.9341317365269461,0.04491017964071864,0.9519230769230769,0.5
888,0.5,1.0,0.0,1.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0,1.0
1,0.7964071856287425,0.030370035426970608,0.7125748502994012,0.8802395209580839,0.40119760479041916,0.4311377245508982,0.029940119760479056,0.9305555555555556,0.6676646706586826,0.7574850299401198,0.08982035928143717,0.8814229249011857,0.8652694610778443,0.8952095808383234,0.029940119760479056,0.9665551839464883,0.01
1,0.7941616766467066,0.03803351553956347,0.7050898203592815,0.8832335329341318,0.39221556886227543,0.4296407185628742,0.03742514970059879,0.9128919860627178,0.655688622754491,0.7544910179640718,0.09880239520958078,0.8690476190476191,0.8712574850299402,0.8952095808383234,0.0239520958083832,0.9732441471571907,0.1
1,0.7889221556886228,0.0397297228351007,0.688622754491018,0.8892215568862275,0.38023952095808383,0.41916167664670656,0.03892215568862273,0.9071428571428573,0.6317365269461078,0.7455089820359282,0.11377245508982037,0.8473895582329317,0.8712574850299402,0.907185628742515,0.0359281437125748,0.9603960396039605,0.5
1,0.5,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,nan,1.0
2410,0.782185628742515,0.11705853800593874,0.6407185628742516,0.9236526946107785,0.3023952095808383,0.41467065868263475,0.11227544910179643,0.7292418772563176,0.5299401197604791,0.7514970059880239,0.22155688622754488,0.7051792828685259,0.9251497005988024,0.9221556886227545,0.0029940119760478723,0.9967637540453075,0.01
2410,0.7791916167664671,0.12029150368173744,0.6362275449101796,0.9221556886227545,0.2994011976047904,0.41467065868263475,0.11526946107784436,0.7220216606498194,0.5239520958083832,0.7485029940119761,0.22455089820359286,0.7,0.9251497005988024,0.9191616766467066,0.005988023952095856,0.9935275080906149,0.1
2410,0.780688622754491,0.10759534815771546,0.6407185628742516,0.9206586826347305,0.3083832335329341,0.4116766467065868,0.1032934131736527,0.749090909090909,0.5359281437125748,0.7455089820359282,0.2095808383233534,0.718875502008032,0.9191616766467066,0.9221556886227545,0.0029940119760479833,0.9967532467532466,0.5
2410,0.5,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,nan,1.0
1996,0.7380239520958084,0.11282053848668841,0.5224550898203593,0.9535928143712575,0.33532934131736525,0.23353293413173654,0.10179640718562871,0.6964285714285715,0.5988023952095808,0.44610778443113774,0.15269461077844304,0.7450000000000001,0.9281437125748503,0.9790419161676647,0.050898203592814384,0.9480122324159022,0.01
1996,0.7327844311377245,0.12513929499166526,0.5119760479041916,0.9535928143712575,0.33532934131736525,0.22305389221556887,0.11227544910179638,0.6651785714285715,0.5988023952095808,0.4251497005988024,0.17365269461077837,0.7100000000000001,0.9281437125748503,0.9790419161676647,0.050898203592814384,0.9480122324159022,0.1
1996,0.7267964071856288,0.13894779916660785,0.5029940119760479,0.9505988023952096,0.3383233532934132,0.21407185628742514,0.12425149700598803,0.6327433628318584,0.5988023952095808,0.40718562874251496,0.19161676646706582,0.68,0.9221556886227545,0.9790419161676647,0.05688622754491013,0.9418960244648319,0.5
1996,0.5,1.0,0.0,1.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0,1.0
711,0.7522455089820359,0.1473891505818473,0.561377245508982,0.9431137724550899,0.3772455089820359,0.2410179640718563,0.1362275449101796,0.638888888888889,0.6616766467065869,0.46107784431137727,0.2005988023952096,0.6968325791855203,0.907185628742515,0.9790419161676647,0.07185628742514971,0.926605504587156,0.01
711,0.7522455089820359,0.16056223960673963,0.5598802395209581,0.9446107784431138,0.38173652694610777,0.23353293413173654,0.14820359281437123,0.611764705882353,0.6706586826347305,0.4491017964071856,0.22155688622754488,0.6696428571428572,0.907185628742515,0.9820359281437125,0.07485029940119758,0.9237804878048781,0.1
711,0.7514970059880239,0.16296763432166508,0.5538922155688623,0.9491017964071856,0.3772455089820359,0.2275449101796407,0.1497005988023952,0.6031746031746031,0.6676646706586826,0.44011976047904194,0.22754491017964068,0.6591928251121076,0.9131736526946108,0.9850299401197605,0.07185628742514971,0.9270516717325228,0.5
711,0.5,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,nan,1.0
