bias.missing_s,bias.mixing_factor,bias.adult_biased_train,bias.log_dataset,baseline.greyscale,baseline.labelled_context_set,baseline.epochs,baseline.test_batch_size,baseline.batch_size,baseline.lr,baseline.weight_decay,baseline.eta,baseline.c,baseline.method,baseline.oversample,data.log_name,data.data_pcnt,data.context_pcnt,data.test_pcnt,data.root,data.transductive,data.drop_native,data.adult_split,data.drop_discrete,data.adult_balanced_test,data.balance_all_quadrants,misc.cluster_label_file,misc.exp_group,misc.log_method,misc.use_wandb,misc.gpu,misc.use_amp,misc.seed,misc.data_split_seed,misc.save_dir,misc.results_csv,misc.resume,misc.evaluate,misc.num_workers,misc.device,misc.use_gpu,Accuracy (erm),TPR (erm),TNR (erm),Renyi preds and s (erm),Accuracy_sex_Male_1.0 (erm),Accuracy_sex_Male_0.0 (erm),Accuracy_sex_Male_0.0-sex_Male_1.0 (erm),Accuracy_sex_Male_0.0÷sex_Male_1.0 (erm),prob_pos_sex_Male_1.0 (erm),prob_pos_sex_Male_0.0 (erm),prob_pos_sex_Male_0.0-sex_Male_1.0 (erm),prob_pos_sex_Male_0.0÷sex_Male_1.0 (erm),TPR_sex_Male_1.0 (erm),TPR_sex_Male_0.0 (erm),TPR_sex_Male_0.0-sex_Male_1.0 (erm),TPR_sex_Male_0.0÷sex_Male_1.0 (erm),TNR_sex_Male_1.0 (erm),TNR_sex_Male_0.0 (erm),TNR_sex_Male_0.0-sex_Male_1.0 (erm),TNR_sex_Male_0.0÷sex_Male_1.0 (erm)
[0],0.0,True,miss_s,False,False,60.0,1000.0,64.0,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0.0,False,3.0,3.0,results/adult/missing_demo/,,,False,4.0,cuda:0,True,0.7350299401197605,0.5089820359281437,0.9610778443113772,0.1544050205506501,0.7679640718562875,0.7020958083832335,0.0658682634730539,0.9142300194931772,0.342814371257485,0.2050898203592814,0.1377245508982036,0.5982532751091703,0.6107784431137725,0.4071856287425149,0.2035928143712575,0.6666666666666666,0.9251497005988024,0.997005988023952,0.0718562874251497,0.927927927927928
[0],0.0,True,miss_s,False,False,60.0,1000.0,64.0,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0.0,False,5.0,5.0,results/adult/missing_demo/,,,False,4.0,cuda:0,True,0.8143712574850299,0.7365269461077845,0.8922155688622755,0.0212167976057432,0.7799401197604791,0.8488023952095808,0.0688622754491017,0.9188712522045857,0.4116766467065868,0.4326347305389221,0.0209580838323353,0.9515570934256056,0.6916167664670658,0.781437125748503,0.0898203592814371,0.8850574712643677,0.8682634730538922,0.9161676646706588,0.0479041916167665,0.9477124183006536
[0],0.0,True,miss_s,False,False,60.0,1000.0,64.0,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0.0,False,7.0,7.0,results/adult/missing_demo/,,,False,4.0,cuda:0,True,0.75,0.5583832335329342,0.9416167664670658,0.1329013090756448,0.7829341317365269,0.7170658682634731,0.0658682634730538,0.9158699808795412,0.3697604790419161,0.2470059880239521,0.122754491017964,0.6680161943319838,0.6526946107784432,0.4640718562874251,0.188622754491018,0.7110091743119266,0.9131736526946108,0.9700598802395208,0.0568862275449101,0.941358024691358
[0],0.0,True,miss_s,False,False,60.0,1000.0,64.0,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0.0,False,10.0,10.0,results/adult/missing_demo/,,,False,4.0,cuda:0,True,0.7761976047904192,0.6392215568862275,0.9131736526946108,0.104289156139268,0.7844311377245509,0.7679640718562875,0.0164670658682634,0.9790076335877864,0.4131736526946107,0.312874251497006,0.1002994011976047,0.7572463768115942,0.6976047904191617,0.5808383233532934,0.1167664670658682,0.832618025751073,0.8712574850299402,0.9550898203592816,0.0838323353293413,0.9122257053291536
[0],0.0,True,miss_s,False,False,60.0,1000.0,64.0,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0.0,False,11.0,11.0,results/adult/missing_demo/,,,False,4.0,cuda:0,True,0.7754491017964071,0.6272455089820359,0.9236526946107784,0.0815071051278961,0.7829341317365269,0.7679640718562875,0.0149700598802394,0.9808795411089868,0.3907185628742515,0.312874251497006,0.0778443113772455,0.8007662835249042,0.6736526946107785,0.5808383233532934,0.092814371257485,0.8622222222222222,0.8922155688622755,0.9550898203592816,0.0628742514970059,0.9341692789968652
[0],0.0,True,miss_s,False,False,60.0,1000.0,64.0,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0.0,False,15.0,15.0,results/adult/missing_demo/,,,False,4.0,cuda:0,True,0.7529940119760479,0.6032934131736527,0.9026946107784432,0.1663118046600835,0.7859281437125748,0.7200598802395209,0.0658682634730538,0.9161904761904762,0.4296407185628742,0.2709580838323353,0.1586826347305389,0.6306620209059234,0.7155688622754491,0.4910179640718562,0.2245508982035928,0.6861924686192468,0.8562874251497006,0.9491017964071856,0.092814371257485,0.9022082018927444
[0],0.0,True,miss_s,False,False,60.0,1000.0,64.0,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0.0,False,16.0,16.0,results/adult/missing_demo/,,,False,4.0,cuda:0,True,0.7200598802395209,0.5149700598802395,0.9251497005988024,0.2166707910447083,0.7679640718562875,0.6721556886227545,0.0958083832335329,0.8752436647173489,0.3937125748502994,0.1961077844311377,0.1976047904191617,0.4980988593155893,0.6616766467065869,0.3682634730538922,0.2934131736526946,0.5565610859728507,0.874251497005988,0.9760479041916168,0.1017964071856287,0.8957055214723926
[0],0.0,True,miss_s,False,False,60.0,1000.0,64.0,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0.0,False,17.0,17.0,results/adult/missing_demo/,,,False,4.0,cuda:0,True,0.7544910179640718,0.5643712574850299,0.9446107784431138,0.1003520060259758,0.7604790419161677,0.7485029940119761,0.0119760479041916,0.984251968503937,0.3562874251497006,0.2634730538922156,0.0928143712574849,0.7394957983193279,0.6167664670658682,0.5119760479041916,0.1047904191616766,0.8300970873786407,0.9041916167664672,0.9850299401197604,0.0808383233532934,0.917933130699088
[0],0.0,True,miss_s,False,False,60.0,1000.0,64.0,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0.0,False,21.0,21.0,results/adult/missing_demo/,,,False,4.0,cuda:0,True,0.7238023952095808,0.5014970059880239,0.9461077844311376,0.1721419083575845,0.7679640718562875,0.6796407185628742,0.0883233532934132,0.884990253411306,0.3547904191616766,0.2005988023952095,0.154191616766467,0.5654008438818565,0.6227544910179641,0.3802395209580838,0.2425149700598802,0.610576923076923,0.9131736526946108,0.9790419161676648,0.0658682634730538,0.9327217125382264
[0],0.0,True,miss_s,False,False,60.0,1000.0,64.0,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0.0,False,18.0,18.0,results/adult/missing_demo/,,,False,4.0,cuda:0,True,0.7582335329341318,0.5853293413173652,0.9311377245508982,0.1515664368366368,0.7994011976047904,0.7170658682634731,0.0823353293413173,0.897003745318352,0.3982035928143712,0.2559880239520958,0.1422155688622754,0.6428571428571429,0.6976047904191617,0.4730538922155688,0.2245508982035928,0.6781115879828327,0.9011976047904192,0.9610778443113772,0.059880239520958,0.9376947040498445
