bias.missing_s,bias.mixing_factor,bias.adult_biased_train,bias.log_dataset,baseline.greyscale,baseline.labelled_context_set,baseline.epochs,baseline.test_batch_size,baseline.batch_size,baseline.lr,baseline.weight_decay,baseline.eta,baseline.c,baseline.method,baseline.oversample,data.log_name,data.data_pcnt,data.context_pcnt,data.test_pcnt,data.root,data.transductive,data.drop_native,data.adult_split,data.drop_discrete,data.adult_balanced_test,data.balance_all_quadrants,misc.cluster_label_file,misc.exp_group,misc.log_method,misc.use_wandb,misc.gpu,misc.use_amp,misc.seed,misc.data_split_seed,misc.save_dir,misc.results_csv,misc.resume,misc.evaluate,misc.num_workers,misc.device,misc.use_gpu,Accuracy (dro),TPR (dro),TNR (dro),Renyi preds and s (dro),Accuracy_sex_Male_1.0 (dro),Accuracy_sex_Male_0.0 (dro),Accuracy_sex_Male_0.0-sex_Male_1.0 (dro),Accuracy_sex_Male_0.0÷sex_Male_1.0 (dro),prob_pos_sex_Male_1.0 (dro),prob_pos_sex_Male_0.0 (dro),prob_pos_sex_Male_0.0-sex_Male_1.0 (dro),prob_pos_sex_Male_0.0÷sex_Male_1.0 (dro),TPR_sex_Male_1.0 (dro),TPR_sex_Male_0.0 (dro),TPR_sex_Male_0.0-sex_Male_1.0 (dro),TPR_sex_Male_0.0÷sex_Male_1.0 (dro),TNR_sex_Male_1.0 (dro),TNR_sex_Male_0.0 (dro),TNR_sex_Male_0.0-sex_Male_1.0 (dro),TNR_sex_Male_0.0÷sex_Male_1.0 (dro),eta
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.3,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,0,0,results/adult/missing_demo/,,,False,4,cuda:0,True,0.7986526946107785,0.7260479041916168,0.8712574850299402,0.0136173856720541,0.7829341317365269,0.8143712574850299,0.0314371257485029,0.9613970588235294,0.4206586826347305,0.4341317365269461,0.0134730538922155,0.9689655172413794,0.7035928143712575,0.7485029940119761,0.0449101796407185,0.94,0.8622754491017964,0.8802395209580839,0.0179640718562874,0.979591836734694,0.3
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.3,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,1,1,results/adult/missing_demo/,,,False,4,cuda:0,True,0.7911676646706587,0.6991017964071856,0.8832335329341318,0.0411222880883602,0.7619760479041916,0.8203592814371258,0.0583832335329341,0.9288321167883212,0.3877245508982035,0.4281437125748503,0.0404191616766467,0.9055944055944056,0.6497005988023952,0.7485029940119761,0.0988023952095809,0.8679999999999999,0.874251497005988,0.8922155688622755,0.0179640718562874,0.9798657718120805,0.3
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.3,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,2,2,results/adult/missing_demo/,,,False,4,cuda:0,True,0.7994011976047904,0.7125748502994012,0.8862275449101796,0.003040201895567,0.7559880239520959,0.842814371257485,0.0868263473053891,0.896980461811723,0.4146706586826347,0.4116766467065868,0.0029940119760479,0.9927797833935016,0.6706586826347305,0.7544910179640718,0.0838323353293413,0.8888888888888888,0.8413173652694611,0.9311377245508982,0.089820359281437,0.9035369774919616,0.3
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.3,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,3,3,results/adult/missing_demo/,,,False,4,cuda:0,True,0.7252994011976048,0.4850299401197604,0.9655688622754492,0.1348541165045338,0.75,0.7005988023952096,0.0494011976047904,0.934131736526946,0.3188622754491018,0.2005988023952095,0.1182634730538922,0.6291079812206573,0.5688622754491018,0.4011976047904191,0.1676646706586826,0.7052631578947368,0.9311377245508982,1.0,0.0688622754491018,0.9311377245508982,0.3
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.3,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,5,5,results/adult/missing_demo/,,,False,4,cuda:0,True,0.8068862275449101,0.7200598802395209,0.8937125748502994,0.0334422208512365,0.7679640718562875,0.8458083832335329,0.0778443113772454,0.9079646017699116,0.3967065868263473,0.4296407185628742,0.0329341317365269,0.9233449477351916,0.6646706586826348,0.7754491017964071,0.1107784431137723,0.8571428571428572,0.8712574850299402,0.9161676646706588,0.0449101796407185,0.9509803921568628,0.3
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.3,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,4,4,results/adult/missing_demo/,,,False,4,cuda:0,True,0.7155688622754491,0.4745508982035928,0.9565868263473054,0.1435237057947769,0.7470059880239521,0.6841317365269461,0.0628742514970059,0.9158316633266532,0.3218562874251497,0.1961077844311377,0.125748502994012,0.6093023255813953,0.5688622754491018,0.3802395209580838,0.188622754491018,0.6684210526315789,0.9251497005988024,0.9880239520958084,0.0628742514970059,0.9363636363636364,0.3
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.3,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,6,6,results/adult/missing_demo/,,,False,4,cuda:0,True,0.7148203592814372,0.4910179640718562,0.938622754491018,0.1757773362951062,0.75,0.6796407185628742,0.0703592814371257,0.906187624750499,0.3547904191616766,0.1976047904191616,0.1571856287425149,0.5569620253164557,0.6047904191616766,0.3772455089820359,0.2275449101796407,0.6237623762376238,0.8952095808383234,0.9820359281437124,0.0868263473053891,0.9115853658536586,0.3
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.3,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,7,7,results/adult/missing_demo/,,,False,4,cuda:0,True,0.7537425149700598,0.561377245508982,0.9461077844311376,0.1573185579985226,0.7934131736526946,0.7140718562874252,0.0793413173652693,0.9000000000000001,0.3802395209580838,0.2350299401197604,0.1452095808383233,0.6181102362204725,0.6736526946107785,0.4491017964071856,0.2245508982035928,0.6666666666666666,0.9131736526946108,0.9790419161676648,0.0658682634730538,0.9327217125382264,0.3
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.3,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,8,8,results/adult/missing_demo/,,,False,4,cuda:0,True,0.7979041916167665,0.7095808383233533,0.8862275449101796,0.0091255412509522,0.7904191616766467,0.8053892215568862,0.0149700598802394,0.9814126394052044,0.4161676646706587,0.4071856287425149,0.0089820359281437,0.9784172661870504,0.7065868263473054,0.7125748502994012,0.0059880239520957,0.9915966386554624,0.874251497005988,0.8982035928143712,0.0239520958083832,0.9733333333333334,0.3
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.3,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,11,11,results/adult/missing_demo/,,,False,4,cuda:0,True,0.7732035928143712,0.6167664670658682,0.9296407185628742,0.0709261480610022,0.7784431137724551,0.7679640718562875,0.0104790419161676,0.9865384615384616,0.3772455089820359,0.309880239520958,0.0673652694610778,0.8214285714285714,0.655688622754491,0.5778443113772455,0.0778443113772455,0.8812785388127853,0.9011976047904192,0.9580838323353292,0.0568862275449101,0.940625,0.3
