seed,data,method,wandb_url,Accuracy,TPR,TNR,Renyi preds and s,Accuracy_sex_Male_1.0,Accuracy_sex_Male_0.0,Accuracy_sex_Male_0.0-sex_Male_1.0,Accuracy_sex_Male_0.0÷sex_Male_1.0,prob_pos_sex_Male_1.0,prob_pos_sex_Male_0.0,prob_pos_sex_Male_0.0-sex_Male_1.0,prob_pos_sex_Male_0.0÷sex_Male_1.0,TPR_sex_Male_1.0,TPR_sex_Male_0.0,TPR_sex_Male_0.0-sex_Male_1.0,TPR_sex_Male_0.0÷sex_Male_1.0,TNR_sex_Male_1.0,TNR_sex_Male_0.0,TNR_sex_Male_0.0-sex_Male_1.0,TNR_sex_Male_0.0÷sex_Male_1.0
1,baseline,"SVM",(None),0.7028443113772455,0.46107784431137727,0.9446107784431138,0.17615332693134686,0.7365269461077845,0.6691616766467066,0.0673652694610779,0.9085365853658536,0.33532934131736525,0.18113772455089822,0.15419161676646703,0.5401785714285715,0.5718562874251497,0.3502994011976048,0.22155688622754494,0.6125654450261779,0.9011976047904192,0.9880239520958084,0.08682634730538918,0.9121212121212121
2,baseline,"SVM",(None),0.7043413173652695,0.45209580838323354,0.9565868263473054,0.16471250704577298,0.7380239520958084,0.6706586826347305,0.0673652694610779,0.9087221095334684,0.3188622754491018,0.17664670658682635,0.14221556886227543,0.5539906103286385,0.5568862275449101,0.3473053892215569,0.20958083832335322,0.6236559139784947,0.9191616766467066,0.9940119760479041,0.07485029940119758,0.924698795180723
3,baseline,"SVM",(None),0.7170658682634731,0.47305389221556887,0.9610778443113772,0.18523263734428616,0.7589820359281437,0.6751497005988024,0.08383233532934131,0.8895463510848126,0.33682634730538924,0.1751497005988024,0.16167664670658685,0.5199999999999999,0.5958083832335329,0.3502994011976048,0.24550898203592814,0.5879396984924623,0.9221556886227545,1.0,0.07784431137724546,0.9221556886227545
4,baseline,"SVM",(None),0.7095808383233533,0.46706586826347307,0.9520958083832335,0.18487947453686202,0.7455089820359282,0.6736526946107785,0.07185628742514971,0.9036144578313253,0.3383233532934132,0.17664670658682635,0.16167664670658682,0.5221238938053098,0.5838323353293413,0.3502994011976048,0.23353293413173654,0.6,0.907185628742515,0.9970059880239521,0.08982035928143717,0.9099099099099098
27,baseline,"SVM",(None),0.7073353293413174,0.45808383233532934,0.9565868263473054,0.1744142366400002,0.7485029940119761,0.6661676646706587,0.08233532934131738,0.89,0.3263473053892216,0.1751497005988024,0.1511976047904192,0.536697247706422,0.5748502994011976,0.3413173652694611,0.23353293413173648,0.5937500000000001,0.9221556886227545,0.9910179640718563,0.06886227544910173,0.9305135951661632
5,baseline,"SVM",(None),0.7013473053892215,0.4655688622754491,0.937125748502994,0.171457806017459,0.7260479041916168,0.6766467065868264,0.04940119760479045,0.9319587628865978,0.3398203592814371,0.18862275449101795,0.15119760479041916,0.5550660792951542,0.5658682634730539,0.3652694610778443,0.20059880239520955,0.6455026455026456,0.8862275449101796,0.9880239520958084,0.10179640718562877,0.896969696969697
28,baseline,"SVM",(None),0.7133233532934131,0.4865269461077844,0.9401197604790419,0.14277852087271609,0.7410179640718563,0.6856287425149701,0.05538922155688619,0.9252525252525253,0.33682634730538924,0.20958083832335328,0.12724550898203596,0.6222222222222221,0.5778443113772455,0.39520958083832336,0.1826347305389221,0.683937823834197,0.9041916167664671,0.9760479041916168,0.07185628742514971,0.9263803680981595
29,baseline,"SVM",(None),0.7327844311377245,0.5044910179640718,0.9610778443113772,0.14638936265270025,0.7649700598802395,0.7005988023952096,0.06437125748502992,0.9158512720156556,0.33682634730538924,0.20658682634730538,0.13023952095808386,0.6133333333333333,0.6017964071856288,0.40718562874251496,0.1946107784431138,0.6766169154228855,0.9281437125748503,0.9940119760479041,0.06586826347305386,0.9337349397590362
30,baseline,"SVM",(None),0.717814371257485,0.48502994011976047,0.9505988023952096,0.14716136200816773,0.7485029940119761,0.687125748502994,0.06137724550898205,0.918,0.3323353293413174,0.20209580838323354,0.13023952095808383,0.6081081081081081,0.5808383233532934,0.38922155688622756,0.19161676646706588,0.6701030927835051,0.9161676646706587,0.9850299401197605,0.06886227544910184,0.9300911854103343
7,baseline,"SVM",(None),0.7208083832335329,0.49700598802395207,0.9446107784431138,0.18916989525092393,0.7709580838323353,0.6706586826347305,0.10029940119760483,0.8699029126213592,0.36077844311377244,0.19161676646706588,0.16916167664670656,0.5311203319502075,0.6317365269461078,0.36227544910179643,0.2694610778443114,0.5734597156398105,0.9101796407185628,0.9790419161676647,0.06886227544910184,0.929663608562691
