seed,data,method,wandb_url,Accuracy,TPR,TNR,Renyi preds and s,Accuracy_sens_Label_1.0,Accuracy_sens_Label_0.0,Accuracy_sens_Label_0.0-sens_Label_1.0,Accuracy_sens_Label_0.0÷sens_Label_1.0,prob_pos_sens_Label_1.0,prob_pos_sens_Label_0.0,prob_pos_sens_Label_0.0-sens_Label_1.0,prob_pos_sens_Label_0.0÷sens_Label_1.0,TPR_sens_Label_1.0,TPR_sens_Label_0.0,TPR_sens_Label_0.0-sens_Label_1.0,TPR_sens_Label_0.0÷sens_Label_1.0,TNR_sens_Label_1.0,TNR_sens_Label_0.0,TNR_sens_Label_0.0-sens_Label_1.0,TNR_sens_Label_0.0÷sens_Label_1.0
3,baseline,"cnn",(None),0.8181137724550899,0.7979041916167665,0.8383233532934131,0.1722964872814072,0.8143712574850299,0.8218562874251497,0.007485029940119792,0.9908925318761383,0.5658682634730539,0.3937125748502994,0.17215568862275443,0.6957671957671958,0.8802395209580839,0.7155688622754491,0.16467065868263475,0.8129251700680272,0.7485029940119761,0.9281437125748503,0.17964071856287422,0.8064516129032259
1,baseline,"cnn",(None),0.8203592814371258,0.8233532934131736,0.8173652694610778,0.07485164136957864,0.7949101796407185,0.8458083832335329,0.050898203592814384,0.9398230088495575,0.5404191616766467,0.4655688622754491,0.07485029940119764,0.8614958448753463,0.8353293413173652,0.811377245508982,0.0239520958083832,0.971326164874552,0.7544910179640718,0.8802395209580839,0.12574850299401208,0.857142857142857
4,baseline,"cnn",(None),0.7934131736526946,0.7200598802395209,0.8667664670658682,0.18160568240963287,0.8188622754491018,0.7679640718562875,0.050898203592814384,0.9378427787934186,0.5164670658682635,0.33682634730538924,0.17964071856287428,0.6521739130434783,0.8353293413173652,0.6047904191616766,0.2305389221556886,0.7240143369175628,0.8023952095808383,0.9311377245508982,0.12874251497005984,0.8617363344051447
2,baseline,"cnn",(None),0.8158682634730539,0.7904191616766467,0.8413173652694611,0.04496846567811342,0.7784431137724551,0.8532934131736527,0.07485029940119758,0.912280701754386,0.49700598802395207,0.45209580838323354,0.04491017964071853,0.9096385542168676,0.7754491017964071,0.8053892215568862,0.029940119760479056,0.9628252788104089,0.781437125748503,0.9011976047904192,0.11976047904191622,0.8671096345514949
24,baseline,"cnn",(None),0.7926646706586826,0.7739520958083832,0.811377245508982,0.08838527303814828,0.7649700598802395,0.8203592814371258,0.0553892215568863,0.9324817518248174,0.5254491017964071,0.437125748502994,0.08832335329341312,0.831908831908832,0.7904191616766467,0.7574850299401198,0.03293413173652693,0.9583333333333334,0.7395209580838323,0.8832335329341318,0.14371257485029942,0.8372881355932204
27,baseline,"cnn",(None),0.8068862275449101,0.7709580838323353,0.842814371257485,0.09305491860774995,0.8008982035928144,0.812874251497006,0.0119760479041916,0.9852670349907919,0.5104790419161677,0.4176646706586826,0.09281437125748504,0.8181818181818181,0.811377245508982,0.7305389221556886,0.08083832335329344,0.9003690036900369,0.7904191616766467,0.8952095808383234,0.10479041916167664,0.882943143812709
5,baseline,"cnn",(None),0.8308383233532934,0.811377245508982,0.8502994011976048,0.04194795390281446,0.7979041916167665,0.8637724550898204,0.06586826347305386,0.9237435008665512,0.5014970059880239,0.4595808383233533,0.041916167664670656,0.9164179104477612,0.7994011976047904,0.8233532934131736,0.0239520958083832,0.9709090909090909,0.7964071856287425,0.9041916167664671,0.10778443113772462,0.8807947019867549
16,baseline,"cnn",(None),0.7664670658682635,0.7050898203592815,0.8278443113772455,0.25039672730817375,0.7784431137724551,0.7544910179640718,0.02395209580838331,0.9692307692307691,0.562874251497006,0.3143712574850299,0.24850299401197606,0.5585106382978723,0.8413173652694611,0.5688622754491018,0.27245508982035926,0.6761565836298933,0.7155688622754491,0.9401197604790419,0.22455089820359275,0.7611464968152867
28,baseline,"cnn",(None),0.7844311377245509,0.7380239520958084,0.8308383233532934,0.17741252017473852,0.7934131736526946,0.7754491017964071,0.017964071856287456,0.9773584905660377,0.5419161676646707,0.3652694610778443,0.17664670658682635,0.6740331491712707,0.8353293413173652,0.6407185628742516,0.1946107784431137,0.7670250896057349,0.7514970059880239,0.9101796407185628,0.1586826347305389,0.8256578947368421
29,baseline,"cnn",(None),0.8248502994011976,0.7994011976047904,0.8502994011976048,0.04197056796623923,0.8038922155688623,0.8458083832335329,0.041916167664670656,0.9504424778761063,0.49550898203592814,0.4535928143712575,0.041916167664670656,0.9154078549848943,0.7994011976047904,0.7994011976047904,0.0,1.0,0.8083832335329342,0.8922155688622755,0.08383233532934131,0.9060402684563759
17,baseline,"cnn",(None),0.8158682634730539,0.7395209580838323,0.8922155688622755,0.11209290940408297,0.811377245508982,0.8203592814371258,0.008982035928143728,0.9890510948905109,0.47904191616766467,0.36826347305389223,0.11077844311377244,0.76875,0.7904191616766467,0.688622754491018,0.10179640718562877,0.8712121212121212,0.8323353293413174,0.9520958083832335,0.11976047904191611,0.8742138364779874
18,baseline,"cnn",(None),0.7979041916167665,0.7335329341317365,0.8622754491017964,0.19322477238864355,0.8158682634730539,0.7799401197604791,0.0359281437125748,0.9559633027522937,0.531437125748503,0.3398203592814371,0.19161676646706588,0.6394366197183098,0.8473053892215568,0.6197604790419161,0.22754491017964074,0.7314487632508834,0.7844311377245509,0.9401197604790419,0.15568862275449102,0.8343949044585988
