bias.missing_s,bias.mixing_factor,bias.adult_biased_train,bias.log_dataset,baseline.greyscale,baseline.labelled_context_set,baseline.epochs,baseline.test_batch_size,baseline.batch_size,baseline.lr,baseline.weight_decay,baseline.eta,baseline.c,baseline.method,baseline.oversample,data.log_name,data.data_pcnt,data.context_pcnt,data.test_pcnt,data.root,data.transductive,data.drop_native,data.adult_split,data.drop_discrete,data.adult_balanced_test,data.balance_all_quadrants,misc.cluster_label_file,misc.exp_group,misc.log_method,misc.use_wandb,misc.gpu,misc.use_amp,misc.seed,misc.data_split_seed,misc.save_dir,misc.results_csv,misc.resume,misc.evaluate,misc.num_workers,misc.device,misc.use_gpu,Accuracy (lff),TPR (lff),TNR (lff),Renyi preds and s (lff),Accuracy_sex_Male_1.0 (lff),Accuracy_sex_Male_0.0 (lff),Accuracy_sex_Male_0.0-sex_Male_1.0 (lff),Accuracy_sex_Male_0.0÷sex_Male_1.0 (lff),prob_pos_sex_Male_1.0 (lff),prob_pos_sex_Male_0.0 (lff),prob_pos_sex_Male_0.0-sex_Male_1.0 (lff),prob_pos_sex_Male_0.0÷sex_Male_1.0 (lff),TPR_sex_Male_1.0 (lff),TPR_sex_Male_0.0 (lff),TPR_sex_Male_0.0-sex_Male_1.0 (lff),TPR_sex_Male_0.0÷sex_Male_1.0 (lff),TNR_sex_Male_1.0 (lff),TNR_sex_Male_0.0 (lff),TNR_sex_Male_0.0-sex_Male_1.0 (lff),TNR_sex_Male_0.0÷sex_Male_1.0 (lff)
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_lff,True,0,False,4,4,results/adult/missing_demo/,,,False,4,cuda:0,True,0.281437125748503,0.5179640718562875,0.0449101796407185,0.1393301072556781,0.25,0.312874251497006,0.0628742514970059,0.799043062200957,0.6751497005988024,0.7979041916167665,0.1227544910179641,0.8461538461538461,0.4251497005988024,0.6107784431137725,0.18562874251497,0.696078431372549,0.0748502994011976,0.0149700598802395,0.059880239520958,0.2
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_lff,True,0,False,2,2,results/adult/missing_demo/,,,False,4,cuda:0,True,0.3263473053892216,0.5913173652694611,0.061377245508982,0.3000949239264932,0.248502994011976,0.4041916167664671,0.155688622754491,0.6148148148148147,0.6377245508982036,0.8922155688622755,0.2544910179640719,0.7147651006711409,0.3862275449101796,0.7964071856287425,0.4101796407185628,0.4849624060150376,0.1107784431137724,0.0119760479041916,0.0988023952095808,0.1081081081081081
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_lff,True,0,False,5,5,results/adult/missing_demo/,,,False,4,cuda:0,True,0.3405688622754491,0.6152694610778443,0.0658682634730539,0.324283724346148,0.2589820359281437,0.4221556886227545,0.1631736526946107,0.6134751773049646,0.6392215568862275,0.9101796407185628,0.2709580838323353,0.7023026315789473,0.3982035928143712,0.8323353293413174,0.4341317365269461,0.4784172661870503,0.1197604790419161,0.0119760479041916,0.1077844311377245,0.1
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_lff,True,0,False,1,1,results/adult/missing_demo/,,,False,4,cuda:0,True,0.3473053892215569,0.6467065868263473,0.0479041916167664,0.2728976729808914,0.2769461077844311,0.4176646706586826,0.1407185628742515,0.6630824372759857,0.6901197604790419,0.9086826347305388,0.218562874251497,0.7594728171334432,0.467065868263473,0.8263473053892215,0.3592814371257484,0.5652173913043479,0.0868263473053892,0.0089820359281437,0.0778443113772455,0.1034482758620689
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_lff,True,0,False,14,14,results/adult/missing_demo/,,,False,4,cuda:0,True,0.3031437125748503,0.5673652694610778,0.0389221556886227,0.121669281332095,0.2664670658682634,0.3398203592814371,0.0733532934131736,0.7841409691629956,0.7125748502994012,0.8158682634730539,0.1032934131736527,0.873394495412844,0.4790419161676646,0.655688622754491,0.1766467065868263,0.730593607305936,0.0538922155688622,0.0239520958083832,0.029940119760479,0.4444444444444445
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_lff,True,0,False,16,16,results/adult/missing_demo/,,,False,4,cuda:0,True,0.2836826347305389,0.497005988023952,0.0703592814371257,0.1903496151316207,0.2529940119760479,0.3143712574850299,0.0613772455089819,0.8047619047619049,0.6272455089820359,0.7994011976047904,0.1721556886227545,0.7846441947565542,0.3802395209580838,0.6137724550898204,0.2335329341317365,0.6195121951219512,0.1257485029940119,0.0149700598802395,0.1107784431137724,0.119047619047619
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_lff,True,0,False,15,15,results/adult/missing_demo/,,,False,4,cuda:0,True,0.3218562874251497,0.5958083832335329,0.0479041916167664,0.168214764822099,0.2844311377245509,0.3592814371257485,0.0748502994011975,0.7916666666666667,0.7035928143712575,0.844311377245509,0.1407185628742514,0.8333333333333334,0.4880239520958084,0.7035928143712575,0.2155688622754491,0.6936170212765957,0.0808383233532934,0.0149700598802395,0.0658682634730538,0.1851851851851851
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_lff,True,0,False,17,17,results/adult/missing_demo/,,,False,4,cuda:0,True,0.279940119760479,0.5194610778443114,0.0404191616766467,0.1637205288270304,0.2425149700598802,0.3173652694610778,0.0748502994011976,0.7641509433962264,0.6676646706586826,0.811377245508982,0.1437125748502994,0.8228782287822878,0.4101796407185629,0.6287425149700598,0.2185628742514969,0.6523809523809524,0.0748502994011976,0.0059880239520958,0.0688622754491017,0.08
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_lff,True,0,False,19,19,results/adult/missing_demo/,,,False,4,cuda:0,True,0.2859281437125748,0.5089820359281437,0.0628742514970059,0.1940298571706747,0.25,0.3218562874251497,0.0718562874251497,0.7767441860465116,0.6362275449101796,0.8098802395209581,0.1736526946107784,0.7855822550831792,0.3862275449101796,0.6317365269461078,0.2455089820359282,0.6113744075829384,0.1137724550898203,0.0119760479041916,0.1017964071856287,0.1052631578947368
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_lff,True,0,False,18,18,results/adult/missing_demo/,,,False,4,cuda:0,True,0.2934131736526946,0.5508982035928144,0.0359281437125748,0.1746373926283142,0.2425149700598802,0.344311377245509,0.1017964071856287,0.7043478260869566,0.6826347305389222,0.8323353293413174,0.1497005988023951,0.8201438848920863,0.4251497005988024,0.6766467065868264,0.2514970059880239,0.6283185840707964,0.059880239520958,0.0119760479041916,0.0479041916167664,0.2
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_lff,True,0,False,20,20,results/adult/missing_demo/,,,False,4,cuda:0,True,0.2791916167664671,0.5269461077844312,0.0314371257485029,0.0913436107668633,0.2589820359281437,0.2994011976047904,0.0404191616766466,0.8650000000000001,0.7080838323353293,0.7874251497005988,0.0793413173652695,0.8992395437262357,0.467065868263473,0.5868263473053892,0.1197604790419161,0.7959183673469389,0.0508982035928143,0.0119760479041916,0.0389221556886227,0.2352941176470588
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_lff,True,0,False,21,21,results/adult/missing_demo/,,,False,4,cuda:0,True,0.2829341317365269,0.5059880239520959,0.059880239520958,0.1940298571706747,0.2380239520958083,0.3278443113772455,0.0898203592814371,0.7260273972602739,0.6362275449101796,0.8098802395209581,0.1736526946107784,0.7855822550831792,0.374251497005988,0.6377245508982036,0.2634730538922155,0.5868544600938967,0.1017964071856287,0.0179640718562874,0.0838323353293413,0.1764705882352941
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_lff,True,0,False,22,22,results/adult/missing_demo/,,,False,4,cuda:0,True,0.2754491017964072,0.4940119760479042,0.0568862275449101,0.1364848080808975,0.2559880239520958,0.2949101796407186,0.0389221556886227,0.8680203045685279,0.657185628742515,0.7799401197604791,0.1227544910179641,0.8426103646833013,0.4131736526946107,0.5748502994011976,0.1616766467065868,0.71875,0.0988023952095808,0.0149700598802395,0.0838323353293413,0.1515151515151515
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_lff,True,0,False,29,29,results/adult/missing_demo/,,,False,4,cuda:0,True,0.2934131736526946,0.5284431137724551,0.0583832335329341,0.2849390072286525,0.2110778443113772,0.3757485029940119,0.1646706586826347,0.5617529880478088,0.6092814371257484,0.8607784431137725,0.251497005988024,0.7078260869565216,0.3203592814371258,0.7365269461077845,0.4161676646706587,0.4349593495934959,0.1017964071856287,0.0149700598802395,0.0868263473053892,0.1470588235294117
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_lff,True,0,False,24,24,results/adult/missing_demo/,,,False,4,cuda:0,True,0.3450598802395209,0.6362275449101796,0.0538922155688622,0.2596447331113761,0.278443113772455,0.4116766467065868,0.1332335329341317,0.6763636363636363,0.6856287425149701,0.8967065868263473,0.2110778443113772,0.7646076794657763,0.4640718562874251,0.8083832335329342,0.344311377245509,0.5740740740740741,0.092814371257485,0.0149700598802395,0.0778443113772455,0.1612903225806451
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_lff,True,0,False,23,23,results/adult/missing_demo/,,,False,4,cuda:0,True,0.3143712574850299,0.6032934131736527,0.0254491017964071,0.2641299398710018,0.2260479041916167,0.4026946107784431,0.1766467065868263,0.5613382899628253,0.6811377245508982,0.8967065868263473,0.2155688622754491,0.7595993322203672,0.4071856287425149,0.7994011976047904,0.3922155688622755,0.5093632958801498,0.0449101796407185,0.0059880239520958,0.0389221556886227,0.1333333333333333
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_lff,True,0,False,27,27,results/adult/missing_demo/,,,False,4,cuda:0,True,0.3046407185628742,0.5733532934131736,0.0359281437125748,0.168639437049679,0.2604790419161676,0.3488023952095808,0.0883233532934131,0.7467811158798283,0.6976047904191617,0.8398203592814372,0.1422155688622755,0.8306595365418894,0.4580838323353293,0.688622754491018,0.2305389221556886,0.6652173913043479,0.0628742514970059,0.0089820359281437,0.0538922155688622,0.1428571428571428
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_lff,True,0,False,26,26,results/adult/missing_demo/,,,False,4,cuda:0,True,0.2874251497005988,0.5194610778443114,0.0553892215568862,0.1554808429883198,0.2709580838323353,0.3038922155688622,0.0329341317365269,0.8916256157635468,0.6631736526946108,0.8008982035928144,0.1377245508982035,0.8280373831775701,0.4341317365269461,0.6047904191616766,0.1706586826347305,0.7178217821782178,0.1077844311377245,0.0029940119760479,0.1047904191616766,0.0277777777777777
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_lff,True,0,False,28,28,results/adult/missing_demo/,,,False,4,cuda:0,True,0.3076347305389221,0.5703592814371258,0.0449101796407185,0.096771164321557,0.2844311377245509,0.3308383233532934,0.0464071856287425,0.8597285067873303,0.7215568862275449,0.8038922155688623,0.0823353293413173,0.8975791433891992,0.5059880239520959,0.6347305389221557,0.1287425149700598,0.7971698113207548,0.0628742514970059,0.0269461077844311,0.0359281437125748,0.4285714285714286
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_lff,True,0,False,25,25,results/adult/missing_demo/,,,False,4,cuda:0,True,0.3218562874251497,0.6107784431137725,0.03293413173652695,0.12472802716130636,0.2949101796407186,0.34880239520958084,0.053892215568862256,0.8454935622317598,0.7380239520958084,0.8398203592814372,0.10179640718562877,0.8787878787878788,0.5329341317365269,0.688622754491018,0.15568862275449102,0.7739130434782608,0.05688622754491018,0.008982035928143712,0.04790419161676646,0.15789473684210525
