seed,data,method,wandb_url,Accuracy,TPR,TNR,Renyi preds and s,Accuracy_sens_Label_1.0,Accuracy_sens_Label_0.0,Accuracy_sens_Label_0.0-sens_Label_1.0,Accuracy_sens_Label_0.0÷sens_Label_1.0,prob_pos_sens_Label_1.0,prob_pos_sens_Label_0.0,prob_pos_sens_Label_0.0-sens_Label_1.0,prob_pos_sens_Label_0.0÷sens_Label_1.0,TPR_sens_Label_1.0,TPR_sens_Label_0.0,TPR_sens_Label_0.0-sens_Label_1.0,TPR_sens_Label_0.0÷sens_Label_1.0,TNR_sens_Label_1.0,TNR_sens_Label_0.0,TNR_sens_Label_0.0-sens_Label_1.0,TNR_sens_Label_0.0÷sens_Label_1.0,eta
1,baseline,"dro",(None),0.8196107784431138,0.8353293413173652,0.8038922155688623,0.08537153778683523,0.7949101796407185,0.844311377245509,0.04940119760479045,0.9414893617021276,0.5583832335329342,0.47305389221556887,0.0853293413173653,0.8471849865951742,0.8532934131736527,0.8173652694610778,0.03592814371257491,0.9578947368421052,0.7365269461077845,0.8712574850299402,0.1347305389221557,0.845360824742268,0.1
1,baseline,"dro",(None),0.8181137724550899,0.8233532934131736,0.812874251497006,0.08233985034807043,0.7949101796407185,0.8413173652694611,0.046407185628742575,0.9448398576512455,0.5464071856287425,0.46407185628742514,0.08233532934131732,0.8493150684931507,0.8413173652694611,0.8053892215568862,0.03592814371257491,0.9572953736654803,0.7485029940119761,0.8772455089820359,0.12874251497005984,0.8532423208191127,0.3
1,baseline,"dro",(None),0.8203592814371258,0.8383233532934131,0.8023952095808383,0.08688244070911172,0.7979041916167665,0.842814371257485,0.04491017964071853,0.9467140319715809,0.561377245508982,0.4745508982035928,0.08682634730538924,0.8453333333333333,0.8592814371257484,0.8173652694610778,0.041916167664670656,0.9512195121951219,0.7365269461077845,0.8682634730538922,0.1317365269461077,0.8482758620689655,0.01
1,baseline,"dro",(None),0.5,0.0,1.0,1.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0,1.0
2,baseline,"dro",(None),0.8158682634730539,0.7859281437125748,0.8458083832335329,0.05698848948756794,0.7799401197604791,0.8517964071856288,0.07185628742514971,0.9156414762741651,0.49850299401197606,0.4416167664670659,0.056886227544910184,0.8858858858858859,0.7784431137724551,0.7934131736526946,0.014970059880239472,0.9811320754716982,0.781437125748503,0.9101796407185628,0.12874251497005984,0.8585526315789475,0.01
2,baseline,"dro",(None),0.8196107784431138,0.7934131736526946,0.8458083832335329,0.055465407306411106,0.7829341317365269,0.8562874251497006,0.07335329341317365,0.9143356643356644,0.5014970059880239,0.44610778443113774,0.05538922155688619,0.8895522388059702,0.7844311377245509,0.8023952095808383,0.017964071856287456,0.9776119402985074,0.781437125748503,0.9101796407185628,0.12874251497005984,0.8585526315789475,0.1
4,baseline,"dro",(None),0.7859281437125748,0.7080838323353293,0.8637724550898204,0.19398214953822449,0.8143712574850299,0.7574850299401198,0.05688622754491013,0.9301470588235294,0.5179640718562875,0.3263473053892216,0.19161676646706588,0.630057803468208,0.8323353293413174,0.5838323353293413,0.24850299401197606,0.7014388489208633,0.7964071856287425,0.9311377245508982,0.1347305389221557,0.8553054662379421,0.1
5,baseline,"dro",(None),0.5,0.0,1.0,1.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0,1.0
2,baseline,"dro",(None),0.8188622754491018,0.7919161676646707,0.8458083832335329,0.059967386610114484,0.781437125748503,0.8562874251497006,0.07485029940119758,0.9125874125874126,0.5029940119760479,0.4431137724550898,0.059880239520958056,0.880952380952381,0.7844311377245509,0.7994011976047904,0.014970059880239583,0.9812734082397003,0.7784431137724551,0.9131736526946108,0.1347305389221557,0.8524590163934426,0.3
7,baseline,"dro",(None),0.8046407185628742,0.8173652694610778,0.7919161676646707,0.12429175272332992,0.7784431137724551,0.8308383233532934,0.05239520958083832,0.9369369369369369,0.5748502994011976,0.4505988023952096,0.12425149700598798,0.7838541666666667,0.8532934131736527,0.781437125748503,0.07185628742514971,0.9157894736842105,0.7035928143712575,0.8802395209580839,0.17664670658682635,0.7993197278911565,0.1
2,baseline,"dro",(None),0.5,0.0,1.0,1.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0,1.0
9,baseline,"dro",(None),0.5,0.0,1.0,1.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0,1.0
3,baseline,"dro",(None),0.8143712574850299,0.7904191616766467,0.8383233532934131,0.18883955453900692,0.8008982035928144,0.8278443113772455,0.026946107784431073,0.9674502712477396,0.5703592814371258,0.38173652694610777,0.188622754491018,0.6692913385826771,0.8712574850299402,0.7095808383233533,0.16167664670658688,0.8144329896907216,0.7305389221556886,0.9461077844311377,0.21556886227544914,0.7721518987341772,0.01
10,baseline,"dro",(None),0.8143712574850299,0.7964071856287425,0.8323353293413174,0.12582974171664474,0.7994011976047904,0.8293413173652695,0.029940119760479056,0.963898916967509,0.5449101796407185,0.41916167664670656,0.12574850299401197,0.7692307692307693,0.844311377245509,0.7485029940119761,0.09580838323353291,0.8865248226950355,0.7544910179640718,0.9101796407185628,0.15568862275449102,0.8289473684210527,0.3
3,baseline,"dro",(None),0.8158682634730539,0.7859281437125748,0.8458083832335329,0.17996365101337217,0.8083832335329342,0.8233532934131736,0.014970059880239472,0.9818181818181819,0.5598802395209581,0.38023952095808383,0.17964071856287428,0.6791443850267379,0.8682634730538922,0.7035928143712575,0.16467065868263464,0.810344827586207,0.7485029940119761,0.9431137724550899,0.1946107784431138,0.7936507936507936,0.1
11,baseline,"dro",(None),0.7934131736526946,0.7395209580838323,0.8473053892215568,0.15961249101567143,0.7919161676646707,0.7949101796407185,0.0029940119760478723,0.9962335216572505,0.5254491017964071,0.36676646706586824,0.1586826347305389,0.698005698005698,0.8173652694610778,0.6616766467065869,0.1556886227544909,0.8095238095238096,0.7664670658682635,0.9281437125748503,0.16167664670658677,0.8258064516129033,0.1
3,baseline,"dro",(None),0.8173652694610778,0.7859281437125748,0.8488023952095808,0.18599674508544123,0.812874251497006,0.8218562874251497,0.008982035928143728,0.9890710382513661,0.561377245508982,0.37574850299401197,0.18562874251497008,0.6693333333333333,0.874251497005988,0.6976047904191617,0.17664670658682635,0.797945205479452,0.7514970059880239,0.9461077844311377,0.1946107784431138,0.7943037974683544,0.3
