bias.missing_s,bias.mixing_factor,bias.adult_biased_train,bias.log_dataset,baseline.greyscale,baseline.labelled_context_set,baseline.epochs,baseline.test_batch_size,baseline.batch_size,baseline.lr,baseline.weight_decay,baseline.eta,baseline.c,baseline.method,baseline.oversample,data.log_name,data.data_pcnt,data.context_pcnt,data.test_pcnt,data.root,data.transductive,data.drop_native,data.adult_split,data.drop_discrete,data.adult_balanced_test,data.balance_all_quadrants,misc.cluster_label_file,misc.exp_group,misc.log_method,misc.use_wandb,misc.gpu,misc.use_amp,misc.seed,misc.data_split_seed,misc.save_dir,misc.results_csv,misc.resume,misc.evaluate,misc.num_workers,misc.device,misc.use_gpu,Accuracy (dro),TPR (dro),TNR (dro),Renyi preds and s (dro),Accuracy_sex_Male_1.0 (dro),Accuracy_sex_Male_0.0 (dro),Accuracy_sex_Male_0.0-sex_Male_1.0 (dro),Accuracy_sex_Male_0.0÷sex_Male_1.0 (dro),prob_pos_sex_Male_1.0 (dro),prob_pos_sex_Male_0.0 (dro),prob_pos_sex_Male_0.0-sex_Male_1.0 (dro),prob_pos_sex_Male_0.0÷sex_Male_1.0 (dro),TPR_sex_Male_1.0 (dro),TPR_sex_Male_0.0 (dro),TPR_sex_Male_0.0-sex_Male_1.0 (dro),TPR_sex_Male_0.0÷sex_Male_1.0 (dro),TNR_sex_Male_1.0 (dro),TNR_sex_Male_0.0 (dro),TNR_sex_Male_0.0-sex_Male_1.0 (dro),TNR_sex_Male_0.0÷sex_Male_1.0 (dro),eta
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.01,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,10,10,results/adult/missing_demo/,,,False,4,cuda:0,True,0.7874251497005988,0.6601796407185628,0.9146706586826348,0.0866864756102313,0.7859281437125748,0.7889221556886228,0.0029940119760479,0.9962049335863375,0.4146706586826347,0.3308383233532934,0.0838323353293413,0.7978339350180506,0.7005988023952096,0.6197604790419161,0.0808383233532934,0.8846153846153846,0.8712574850299402,0.9580838323353292,0.0868263473053891,0.909375,0.01
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.01,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,11,11,results/adult/missing_demo/,,,False,4,cuda:0,True,0.7836826347305389,0.6452095808383234,0.9221556886227544,0.0638757151862188,0.781437125748503,0.7859281437125748,0.0044910179640718,0.9942857142857144,0.3922155688622754,0.3308383233532934,0.0613772455089819,0.8435114503816795,0.6736526946107785,0.6167664670658682,0.0568862275449102,0.9155555555555556,0.8892215568862275,0.9550898203592816,0.0658682634730539,0.9310344827586208,0.01
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.01,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,13,13,results/adult/missing_demo/,,,False,4,cuda:0,True,0.7881736526946108,0.6497005988023952,0.9266467065868264,0.0981504891885801,0.7949101796407185,0.781437125748503,0.0134730538922155,0.9830508474576272,0.4086826347305389,0.3143712574850299,0.0943113772455089,0.7692307692307693,0.7035928143712575,0.5958083832335329,0.1077844311377246,0.8468085106382978,0.8862275449101796,0.9670658682634732,0.0808383233532934,0.91640866873065,0.01
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.01,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,12,12,results/adult/missing_demo/,,,False,4,cuda:0,True,0.7522455089820359,0.5494011976047904,0.9550898203592816,0.1490436037201689,0.781437125748503,0.7230538922155688,0.0583832335329341,0.925287356321839,0.3652694610778443,0.2290419161676646,0.1362275449101796,0.6270491803278688,0.6467065868263473,0.4520958083832335,0.1946107784431137,0.6990740740740741,0.9161676646706588,0.994011976047904,0.0778443113772454,0.9216867469879518,0.01
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.01,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,14,14,results/adult/missing_demo/,,,False,4,cuda:0,True,0.7365269461077845,0.5284431137724551,0.9446107784431138,0.135000687653975,0.7754491017964071,0.6976047904191617,0.0778443113772454,0.8996138996138997,0.3532934131736527,0.2305389221556886,0.122754491017964,0.652542372881356,0.6287425149700598,0.4281437125748503,0.2005988023952095,0.680952380952381,0.9221556886227544,0.9670658682634732,0.0449101796407185,0.953560371517028,0.01
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.01,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,15,15,results/adult/missing_demo/,,,False,4,cuda:0,True,0.7559880239520959,0.6182634730538922,0.8937125748502994,0.1588392009145641,0.7919161676646707,0.7200598802395209,0.0718562874251497,0.9092627599243857,0.4386227544910179,0.2859281437125748,0.1526946107784431,0.6518771331058021,0.7305389221556886,0.5059880239520959,0.2245508982035927,0.6926229508196722,0.8532934131736527,0.934131736526946,0.0808383233532934,0.9134615384615384,0.01
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.01,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,16,16,results/adult/missing_demo/,,,False,4,cuda:0,True,0.7065868263473054,0.4790419161676646,0.934131736526946,0.1916553853451207,0.75,0.6631736526946108,0.0868263473053891,0.8842315369261478,0.3577844311377245,0.187125748502994,0.1706586826347305,0.5230125523012552,0.6077844311377245,0.3502994011976048,0.2574850299401197,0.5763546798029556,0.8922155688622755,0.9760479041916168,0.0838323353293413,0.9141104294478528,0.01
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.01,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,17,17,results/adult/missing_demo/,,,False,4,cuda:0,True,0.7627245508982036,0.5838323353293413,0.9416167664670658,0.1009969502511394,0.7694610778443114,0.7559880239520959,0.0134730538922155,0.9824902723735408,0.3682634730538922,0.2739520958083832,0.0943113772455089,0.7439024390243902,0.6377245508982036,0.5299401197604791,0.1077844311377245,0.8309859154929577,0.9011976047904192,0.9820359281437124,0.0808383233532933,0.9176829268292684,0.01
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.01,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,18,18,results/adult/missing_demo/,,,False,4,cuda:0,True,0.7687125748502994,0.6167664670658682,0.9206586826347304,0.1367047794828488,0.7994011976047904,0.7380239520958084,0.061377245508982,0.9232209737827716,0.4131736526946107,0.2829341317365269,0.1302395209580838,0.6847826086956521,0.7125748502994012,0.5209580838323353,0.1916167664670658,0.73109243697479,0.8862275449101796,0.9550898203592816,0.0688622754491018,0.927899686520376,0.01
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.01,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,19,19,results/adult/missing_demo/,,,False,4,cuda:0,True,0.7148203592814372,0.4925149700598802,0.937125748502994,0.1587716630482576,0.7410179640718563,0.688622754491018,0.0523952095808383,0.9292929292929292,0.3488023952095808,0.2065868263473053,0.1422155688622754,0.592274678111588,0.5898203592814372,0.3952095808383233,0.1946107784431138,0.6700507614213198,0.8922155688622755,0.9820359281437124,0.089820359281437,0.9085365853658536,0.01
